boro,boro_name,NEIGHBORHOOD,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,gini_p_value,ci_p_value,ki_p_value,mki_p_value,accuracy,uniformity,vertical_equity,BORO,BORO_NAME,NBHD,NBHD_NAME
All,All,,prediction,GROSSCON,20710,1.0037,0.9548741329943173,0.9565546430283309,10.883754073064331,1.0413892441406285,-0.023995556993631297,1.0375807157421355,0.4783532888368486,0.4545726040488471,-0.023780684788001247,0.9502863566678422,0,0,0,0,TRUE,TRUE,TRUE,,,,
1,Manhattan,1010,prediction,GROSSCON,61,1.0073,0.9670237454046259,0.8944682097044359,7.480862557242634,1.0229923489929342,-0.05324808460967714,1.0708527337440747,0.2779196155044601,0.25026748123558784,-0.02765213426887226,0.9005031213119659,0,0,9.83e-5,0,TRUE,TRUE,TRUE,1,Manhattan,ABCD CITY,ALPHABET CITY
1,Manhattan,1030,prediction,GROSSCON,339,0.9907,0.9458861362546739,0.8708896681677557,13.223166220407132,1.044043040241211,-0.07058601066818859,1.1066677326635093,0.35381082954349213,0.31911105762513176,-0.034699771918360205,0.9019256364675663,0,0,0,0,TRUE,TRUE,FALSE,1,Manhattan,CHELSEA,CHELSEA
1,Manhattan,1040,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,,1,Manhattan,CHINATOWN,CHINATOWN
1,Manhattan,1050,prediction,GROSSCON,42,0.967,0.9874729635025403,0.9662498843427217,6.239723437157297,1.0179823850199385,-0.029460034788966683,1.0475541471184497,0.37009961511141604,0.3555464955269058,-0.014553119584510226,0.9606778310749418,0,0,0.0595438,0,TRUE,TRUE,TRUE,1,Manhattan,CIVIC CTR,CIVIC CENTER
1,Manhattan,1060,prediction,GROSSCON,80,1.0311,0.9451744213661302,0.9156136032079795,6.752079843329051,1.0086316243875395,-0.02160440579263774,1.0314900731737027,0.21327053865962675,0.19905061620200787,-0.01421992245761883,0.9333244875406194,0,0,0.0119767,0,TRUE,TRUE,TRUE,1,Manhattan,CLINTON,CLINTON
1,Manhattan,1070,prediction,GROSSCON,54,1.0182,0.7531720944246663,0.8850619545288264,10.250861941661482,1.0429184685306527,-0.10258116695722344,1.1685526464303992,0.24345965528223493,0.19373139520168842,-0.04972826008054649,0.7957433233736487,0,0,0.0115112,0,TRUE,TRUE,FALSE,1,Manhattan,EAST VILAG,EAST VILLAGE
1,Manhattan,1080,prediction,GROSSCON,40,1.0352,0.8899293463659667,0.8871329912350859,13.830534429568745,1.0573590981113659,-0.05834027101777747,1.0719372965679488,0.36658619375960005,0.31871269759514864,-0.0478734961644514,0.8694072581581018,0,0,0.0216195,0,TRUE,TRUE,FALSE,1,Manhattan,FASHION,FASHION
1,Manhattan,1090,prediction,GROSSCON,18,1.001,0.7959973367932496,0.8895367905339002,21.74519739284954,1.1130167742546984,-0.08683819986687703,1.113850491409363,0.39941695968950297,0.32639045397608407,-0.073026505713419,0.8171672385414285,1e-7,6e-7,0.1294566,6e-7,TRUE,FALSE,FALSE,1,Manhattan,FINANCIAL,FINANCIAL
1,Manhattan,1100,prediction,GROSSCON,198,0.9975,0.9493292133184154,0.899743493046773,9.86893316037093,1.0269267826496107,-0.04037537523435093,1.0536684814056478,0.33770527142390777,0.31310648183943585,-0.0245987895844724,0.9271590002704032,0,0,3.01e-5,0,TRUE,TRUE,TRUE,1,Manhattan,FLATIRON,FLATIRON
