boro,boro_name,decile,cutoff,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,gini_p_value,ci_p_value,ki_p_value,mki_p_value,accuracy,uniformity,vertical_equity
All,All,All,,prediction,GROSSCON,20710,1.0037,0.9548741329943173,0.9565546430283309,10.883754073064331,1.0413892441406285,-0.0239955569936313,1.0375807157421355,0.4783532888368486,0.4545726040488471,-0.02378068478800125,0.9502863566678422,0,0,0,0,TRUE,TRUE,TRUE
1,Manhattan,1,"$400,000",prediction,GROSSCON,995,1.0712,0.36761283808986506,0.4716275946299251,11.144693593503,1.003661940130176,0.23768082869517743,0.8064767871298878,0.07954304844878578,0.06951322947011675,-0.01002981897866905,0.8739070330561092,0,0,0,0,TRUE,TRUE,TRUE
1,Manhattan,2,"$499,000",prediction,GROSSCON,994,1.0544,0.12813045658977898,0.19199351747079815,10.674963537239245,1.0004887045275728,0.8159973192879914,0.49888763835376304,0.037745876282595334,0.033214276882986636,-0.004531599399608499,0.8799445172320015,0,0,1.955e-4,0,TRUE,TRUE,TRUE
1,Manhattan,3,"$592,500",prediction,GROSSCON,994,1.0569,0.07645355535110288,0.10284192214508617,10.305314270544056,1.0005256896450303,0.9472731867994086,0.3946296292792121,0.029199092119839346,0.023030308110424173,-0.006168784009415181,0.7887337050036712,0,0,0,0,TRUE,TRUE,TRUE
1,Manhattan,4,"$690,000",prediction,GROSSCON,994,1.046,0.04740998211530507,0.06908953863499781,10.958905712179037,1.0004431850321098,1.0899790261194389,0.3336836626949789,0.025339986030037502,0.019634433175793893,-0.005705552854243631,0.7748399368697212,0,0,1e-7,0,TRUE,TRUE,TRUE
1,Manhattan,5,"$810,000",prediction,GROSSCON,994,1.0288,0.06401987663335179,0.0855642273213932,10.022559593655702,1.0003770837052197,1.0212962549806806,0.3488948457192487,0.026061831632446315,0.021318586599680035,-0.004743245032766283,0.8180003194072927,0,0,1e-7,0,TRUE,TRUE,TRUE
1,Manhattan,6,"$975,000",prediction,GROSSCON,994,0.995,0.06731073416951518,0.08884028594176965,11.274285874771502,1.0006001797534423,0.9787657209598488,0.38026983730921243,0.030907854924173656,0.024490457370500998,-0.006417397553672521,0.7923700117845116,0,0,0,0,TRUE,TRUE,TRUE
1,Manhattan,7,"$1,275,000",prediction,GROSSCON,994,0.9746,0.12355945436674012,0.1733058469527441,13.08724587723496,1.0012557391091783,0.7629686825538154,0.5150608045585007,0.04786551679544623,0.039440085066763594,-0.008425431728682733,0.8239770028037353,0,0,0,0,TRUE,TRUE,TRUE
1,Manhattan,8,"$1,700,000",prediction,GROSSCON,994,0.9594,0.14286000974799423,0.18648210751166677,13.449752309120738,1.0012659844415879,0.7146054018575745,0.5186311441884964,0.051836228662340576,0.04384547137708983,-0.007990757285250848,0.8458460908238057,0,0,1e-7,0,TRUE,TRUE,TRUE
1,Manhattan,9,"$2,510,000",prediction,GROSSCON,994,0.9439,0.1652994552968974,0.22314193165017102,14.98188316286446,1.00195028546684,0.633306834471017,0.5240335139068245,0.06632863848322314,0.0566756989851447,-0.009652939498078281,0.8544679987586409,0,0,2e-7,0,TRUE,TRUE,TRUE
1,Manhattan,10,"$36,000,000",prediction,GROSSCON,994,0.9501,0.9096360227458823,0.7189842066924892,13.079314659820401,0.9960790610905987,0.07754913222007627,0.8658884592812662,0.24800015875858175,0.25258734896829843,0.004587190209716161,1.0184967228758153,0,0,0.0780861,0,TRUE,TRUE,TRUE
2,Bronx,1,"$142,986",prediction,GROSSCON,139,1.0833,0.13061725808206037,0.32175381989784346,15.439689609050145,1.0162538199963598,0.31874190477982123,0.8625613311198327,0.08580511950317242,0.059548373087114935,-0.02625674641605742,0.6939955731302643,0,0,2.768e-4,0,TRUE,FALSE,TRUE
2,Bronx,2,"$169,100",prediction,GROSSCON,139,1.0264,0.035085827690476,0.084034701410581,8.795489806959747,1.000940359459167,1.0782842162696749,0.4253738245634358,0.02701301628759468,0.014950348825635201,-0.012062667461959362,0.5534498134701448,0,0.005157,0.0226497,0.005157,TRUE,TRUE,TRUE
2,Bronx,3,"$195,000",prediction,GROSSCON,139,1.011,0.09681558297145532,0.20807701566512113,9.730356519997487,0.9998184470005558,1.0690846852171416,0.3729359636133277,0.026169388686635337,0.029646727747031688,0.0034773390603962348,1.1328781158029817,0,0,0.1906948,0,TRUE,TRUE,TRUE
