boro,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity
All,selected_comparable_GROSSCON,GROSSCON,20710,0.9966,0.8150557691590593,0.8944638019890703,17.354555941928716,1.08949385397983,-0.03787912323397879,1.0658987521119294,0.4783301911406198,0.4284841688787672,-0.049846022261852585,0.8957916034047727,TRUE,FALSE,TRUE
1,selected_comparable_GROSSCON,GROSSCON,9941,0.98740000000000006,0.7799890845069054,0.8201149132190693,19.73895635473092,1.0981695505146973,-0.05131206349494612,1.085986968947327,0.4395610377818057,0.3772437312061369,-0.06231730657566881,0.8582283204850322,TRUE,FALSE,FALSE
2,selected_comparable_GROSSCON,GROSSCON,1390,1,0.6756018545118241,0.727051439787507,18.85042498248394,1.0687840600020697,-0.10258865890368112,1.1256272340189724,0.27701415905196736,0.20943094795857015,-0.06758321109339721,0.7560297591838303,TRUE,FALSE,FALSE
3,selected_comparable_GROSSCON,GROSSCON,3589,1,0.8473910818005812,0.8409707598215653,16.928644797709246,1.0510064202031166,-0.03498548003391255,1.0573195981699433,0.35376234357206754,0.31502918727846146,-0.038733156293606075,0.8905107991356478,TRUE,FALSE,TRUE
4,selected_comparable_GROSSCON,GROSSCON,5618,1,0.7675523687797862,0.714409599096749,13.372209924911155,1.031834557047172,-0.08220121446141034,1.11944807920927,0.20742120488692395,0.1614874025376422,-0.04593380234928174,0.7785481847223739,TRUE,TRUE,FALSE
5,selected_comparable_GROSSCON,GROSSCON,172,1,0.7104547743428137,0.691887990310853,12.085106237107043,1.0296659381525892,-0.14926860059573105,1.185555320115863,0.17463046856146613,0.12454495457290135,-0.050085513988564784,0.7131914356002786,TRUE,TRUE,TRUE
