boro,boro_name,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,gini_p_value,ci_p_value,ki_p_value,mki_p_value,accuracy,uniformity,vertical_equity
All,All,prediction,GROSSCON,20710,1.0037,0.9548741329943173,0.9565546430283309,10.883754073064331,1.0413892441406285,-0.023995556993631297,1.0375807157421355,0.4783532888368486,0.4545726040488471,-0.023780684788001247,0.9502863566678422,0,0,0,0,TRUE,TRUE,TRUE
1,Manhattan,prediction,GROSSCON,9941,1.0101,0.9465864796226009,0.9209222994924342,12.628107586914236,1.0500836866029115,-0.04147898396495321,1.0676499890826299,0.43960525921417787,0.4072367626157508,-0.032368496598424966,0.9263691779841707,0,0,0,0,TRUE,TRUE,TRUE
2,Bronx,prediction,GROSSCON,1390,0.9948,0.8730777600465502,0.903222326223728,10.870411394711555,1.032991232285491,-0.060577517146361747,1.0784008073931268,0.2772135932917455,0.24451229912904196,-0.032701294162703495,0.8820357480511879,0,0,0,0,TRUE,TRUE,FALSE
3,Brooklyn,prediction,GROSSCON,3589,0.9995,0.9599368847988485,0.9483964548259252,9.567421099017716,1.032933478513171,-0.04735459239204846,1.0677714121923825,0.3538609395429624,0.32716038643116374,-0.02670055311179865,0.9245450680533299,0,0,0,0,TRUE,TRUE,TRUE
4,Queens,prediction,GROSSCON,5618,0.9995,0.9051293992495912,0.8798922931550301,8.623642121066634,1.0181217032568415,-0.06198653209428358,1.1041338949170796,0.207458132286762,0.18014224062981488,-0.027315891656947124,0.8683305814245442,0,0,0,0,TRUE,TRUE,TRUE
5,Staten Island,prediction,GROSSCON,172,0.9885,0.8909284136497728,0.8623513884330678,8.42173366176531,1.0138272493185836,-0.07212441849322722,1.1161543526950124,0.1756516993717671,0.15144996723671936,-0.02420173213504779,0.8622174893746691,0,0,0,0,TRUE,TRUE,TRUE
