boro,boro_name,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,gini_p_value,ci_p_value,ki_p_value,mki_p_value,accuracy,uniformity,vertical_equity
All,All,prediction,GROSSCON,13404,1.0022,0.9626313292003404,0.9635771644197468,9.909472722123681,1.037743518448784,-0.024715488529893203,1.0391271800359485,0.46733159962528675,0.44481141334482716,-0.02252018628045826,0.9518111202013355,0,0,0,0,TRUE,TRUE,TRUE
1,Manhattan,prediction,GROSSCON,6511,1.0079,0.9558998728298489,0.9323737754209371,11.384861472118578,1.0447001517206882,-0.04143452231301433,1.068911579984578,0.42846037388173924,0.3982602053795926,-0.03020016850214642,0.929514675468022,0,0,0,0,TRUE,TRUE,TRUE
2,Bronx,prediction,GROSSCON,877,0.9967,0.9143282870925293,0.9229655790450286,9.521878147938772,1.0272481234623425,-0.05256808721166602,1.0811265141824558,0.27850313260374937,0.25003777679002664,-0.028465355813722476,0.8977916135176015,0,0,0,0,TRUE,TRUE,TRUE
3,Brooklyn,prediction,GROSSCON,2307,0.9987,0.9636567399631831,0.9573797023037591,8.9587791959738,1.0339566396535784,-0.05114790655477951,1.0766505366300643,0.3539098203285841,0.32648843377958786,-0.027421386548996035,0.9225187181199517,0,0,0,0,TRUE,TRUE,FALSE
4,Queens,prediction,GROSSCON,3587,0.9997,0.926863153031045,0.8997085801559724,7.904791345688189,1.0168434046192352,-0.05873374603282112,1.0978216331586206,0.21347203788860106,0.18864391031967326,-0.0248281275689282,0.8836937717253424,0,0,0,0,TRUE,TRUE,TRUE
5,Staten Island,prediction,GROSSCON,122,0.9846,0.8825017567089775,0.8620592450881759,8.352016328041739,1.014564132889957,-0.08887307537457553,1.1479015011972262,0.16536522428531153,0.1383527436068628,-0.027012480678448955,0.8366495688849115,0,0,0,0,TRUE,TRUE,TRUE
