PID,bbl,SALEKEY,COOPUNITKEY,COOPID,BLDGNO,ADRNO,ADRSTR,ZIP1,UNITNO,id,SALDATE,BC,yrbuilt,flag_prewar,flag_postwar,flag_post1980,flag_post2000,AC,Parking,doorman,pool,laundry,gym,salyear,TAXYR,salmonth,salyear2022,salyear2023,salyear2024,elevatorcat_none,elevatorcat_yes,floor_catph,stories,floor,floor_cat0_2,floor_cat3_6,floor_cat7_12,floor_cat13_29,floor_cat30andmore,log_floor,floor_stor_ratio,boro,block,lot,xCentroid,yCentroid,NEIGHBORHOOD,boro1,boro2,boro3,boro4,boro5,RailStationmean_dist,CulFacilmean_dist,Hospitalmean_dist,College_10Kmean_dist,SbwStmean_dist,Rail_grd_dist,Park_5a_dist,BridgeTunnel_dist,PubWaterFr_dist,unit_shares,TOTAL_ROOMS,BEDROOMS,BATHROOMS,total_shares,LANDSIZE,percent_shares,sqft,sqft_perc,bed_cat0,bed_cat1,bed_cat2,bed_cat3,bed_cat4,bed_cat5andmore,log_sqft,GROSSCON,log_grosscon,sqrt_log_grosscon,grosscon_psqft,log_grosscon_psqft,salquarter,salquarteryr,mortgage_rate,pts_excd_flag,nycha,hdfc,prod_file,not_fully_affordable,incomplete_bldg,xcoord,ycoord,affordable,grosscon,prev_grosscon,saldate,prev_saldate,grosscon_diff,pct_change,prev_year,BC_lv,AC_lv,Parking_lv,boro_lv,BC_lv_norm,NEIGHBORHOOD_lv_norm,COOPID_lv_norm,yrbuilt_norm,stories_norm,floor_norm,log_floor_norm,floor_stor_ratio_norm,log_sqft_norm,sqft_norm,unit_shares_norm,total_shares_norm,percent_shares_norm,bed_cat1_norm,bed_cat2_norm,bed_cat3_norm,bed_cat4_norm,BEDROOMS_norm,BATHROOMS_norm,TOTAL_ROOMS_norm,LANDSIZE_norm,Parking_lv_norm,AC_lv_norm,RailStationmean_dist_norm,CulFacilmean_dist_norm,Hospitalmean_dist_norm,College_10Kmean_dist_norm,SbwStmean_dist_norm,Rail_grd_dist_norm,Park_5a_dist_norm,BridgeTunnel_dist_norm,mortgage_rate_norm,multiplier,TASP,log_tasp,sqrt_tasp,tasp_psqft,log_tasp_psqft,building,boro_str,NEIGHBORHOOD_str,COOPID_str,xcoord_norm,ycoord_norm,xCentroid_norm,yCentroid_norm,lon,lat,park_dist,cultural_facility_dist,subway_dist,park_dist_norm,subway_dist_norm,cultural_facility_dist_norm,building_lv,NEIGHBORHOOD_lv,COOPID_lv,BORO,BORO_NAME,NBHD,NBHD_NAME,above_125,geometry,NEIGHBORHOOD_char,prev_sale
581067,4005570003,36335921,400557000300000010-0000    11B,400045,10-0,21,34 AVENUE,11106,11B,18895,2022-09-08,D4,1950,0,1,0,0,U,NA,0,0,0,0,2022,2026,9,1,0,0,0,1,0,15,11,0,0,1,0,0,2.3978952727983707,0.733333333333333,4,557,3,1003167.2636,217121.272351,4040,0,0,0,1,0,13964.1072,12574.4594,9622.8937,17862.6867,3817.6726,1613.82914498,2501.5137669,2989.06649186,2245.66127959,25.5,0,0,0,18223,449820,0.0013993305163804,700,0,1,0,0,0,0,0,6.551080335043404,510000,13.142166004700508,3.6252125461413303,728.5714285714286,6.591085669657104,Q3,Q32022,5.62,0,0,0,0,0,0,1003167.26360458,217121.272351049,0,510000,NA,2022-09-08T00:00:00Z,NA,NA,NA,NA,0.9676166427206182,0.9657518251314998,0.9706102879702246,0.9671718497878036,0.14591971433923862,0.3943464956198012,0.3191330286111287,0.6875,0.30434782608695654,0.1111111111111111,0.5218351971229079,0.06666666666666664,0.4313945977736041,0.04347826086956521,0.00182468694096601,0.00308438090097984,0.00269500692043632,0,0,0,0,0,0,0,0.10619927473666034,0.3119989200322116,0.27610986778438457,0.16556466427970667,0.1532193423966895,0.1636077224398519,0.21430741594660355,0.11565361022240928,0.1292764937386373,0.22043803135162215,0.090011879577545445,0.5172413793103449,1,510000,13.142166004700508,714.142842854285,728.5714285714286,6.591085669657104,21 34 AVENUE,4,4040,400045,0.4949711596683892,0.5910528094583265,0.49482131788117795,0.5914521986208506,-73.93171166366733,40.762603902871525,0.00778186235420367,0.00506948317171879,0.0060549955249762,0.45849179370447096,0.06857955296706364,0.239696069419759,0.998460436833177,0.9956879452713332,0.9976788321883268,NA,NA,NA,NA,NA,"c(-73.9317116636673, 40.7626039028715)",4040,0
47019,1008850001,36263773,100885000100000001-0000     4A,101067,1-0,425,PARK AVENUE SOUTH,10016,4A,2986,2022-01-18,D4,1927,1,0,0,0,U,N,1,0,1,0,2022,2026,1,1,0,0,0,1,0,20,4,0,1,0,0,0,1.3862943611198906,0.2,1,885,1,989079.135788,210301.104785,1220,1,0,0,0,0,3905.4708,9979.3727,4406.8406,5910.9924,1708.6232,5049.11438281,1219.61626897,2815.20583877,2930.06034466,630,4,1,1,58790,5293,0.0107161081816635,775,0.00752595239713722,0,1,0,0,0,0,6.652863029353347,840000,13.641157170819495,3.693393719984304,1083.8709677419354,6.98829414146615,Q1,Q12022,3.82,0,0,0,0,0,0,988894.347933264,210327.161731622,0,840000,NA,2022-01-18T00:00:00Z,NA,NA,NA,NA,1.038161973838858,1.035816995439636,1.038161973838858,1.0372326234815268,0.5830425668101763,0.4457911893638075,0.5308923176226048,0.5568181818181818,0.4130434782608696,0.04040404040404041,0.3016884012457883,0.01818181818181818,0.4504638189744838,0.04865424430641821,0.04508050089445438,0.0099521606918602,0.02063843057209267,1,0,0,0,0.02222222222222222,0.1111111111111111,0.04232804232804232,0.00104626214981679,0.981898046536308,0.9593337813783755,0.04630499842168194,0.12159830287618376,0.0749247758729238,0.07091707581278982,0.0517614951030022,0.4044932637772933,0.10747484698808168,0.08437490091883004,0,1,840000,13.641157170819495,916.515138991168,1083.8709677419354,6.98829414146615,425 PARK AVENUE SOUTH,1,1220,101067,0.3824130914997439,0.5402684468700499,0.38368754724051607,0.5404683583648042,-73.98323932637224,40.743974811783986,0.00508272051514192,0.00236587321892583,8.740304023614573e-4,0.29641184343650534,0.0089085771586267,0.108937640882533,1.0662380014439317,1.0072631870542803,1.0662380014439317,1,Manhattan,MURRAY HIL,MURRAY HILL,0,"c(-73.9832393263722, 40.743974811784)",1220,0
48842,1008980039,36383591,100898003900000001-0000     1E,101123,1-0,230,EAST 18 STREET,10003,1E,3371,2023-03-31,D4,1945,1,0,0,0,U,N,0,0,1,0,2023,2026,3,0,1,0,0,1,0,4,1,1,0,0,0,0,0,0.25,1,898,39,988557.147146,207067.173196,1110,1,0,0,0,0,5506.6422,11743.9883,2510.0296,5461.7724,2271.0994,6378.91871307,1429.52820161,5131.67564714,2688.29113277,300,5,2,2.5,4206,6000,0.0713266761768902,1500,0.0714285714285714,0,0,1,0,0,0,7.313220387090301,1700000,14.346138809026444,3.787629708541537,1133.3333333333333,7.032918421936143,Q1,Q12023,6.37,0,0,0,0,0,0,988652.464173255,207076.396035074,0,1700000,NA,2023-03-31T00:00:00Z,NA,NA,NA,NA,1.038161973838858,1.035816995439636,1.038161973838858,1.0372326234815268,0.5830425668101763,0.5508366141058126,0.4413031600887878,0.6590909090909091,0.06521739130434782,0.0101010101010101,0,0.02272727272727272,0.57418328436777,0.0986887508626639,0.02146690518783542,7.113765050725784e-4,0.13736989485919598,0,1,0,0,0.04444444444444444,0.2777777777777778,0.05291005291005291,0.00121350323955689,0.981898046536308,0.9593337813783755,0.06528919852115325,0.14310008145880335,0.04267533643363559,0.06552756308111697,0.06880130181512883,0.5110301092558831,0.12597267570309978,0.1594803985760876,0.7327586206896552,0.9818181818181818,1669090.9090909092,14.327789670358248,1291.933012617492,1112.7272727272727,7.014569283267947,230 EAST 18 STREET,1,1110,101123,0.38050556472841346,0.5159697456756691,0.3795698556074485,0.5162932556364618,-73.98411437180437,40.73505239078979,0.00122871362066121,0.00370463870710688,0.00308435696149862,0.06498375145932858,0.03436567627386954,0.17368620834271198,1.095542362753214,1.0308987867845776,1.095542362753214,1,Manhattan,GRAMERCY,GRAMERCY,0,"c(-73.9841143718044, 40.7350523907898)",1110,0
131666,1018890036,36291120,101889003600000001-0000     3D,103008,1-0,285,RIVERSIDE DRIVE,10025,3D,11638,2022-04-05,D4,1940,1,0,0,0,NA,N,1,0,0,0,2022,2026,4,1,0,0,0,1,0,15,3,0,1,0,0,0,1.0986122886681098,0.2,1,1889,36,991997.951639,230198.263082,1282,1,0,0,0,0,18105.7601,8439.2424,9320.1158,13230.6497,2799.0039,5714.32357614,266.256606202,10900.4349879,910.82475911,300,5,2,2,31000,13517,0.00967741935483871,1200,0.00751079677035739,0,0,1,0,0,0,7.090076835776092,1350000,14.115615150414612,3.757075345320428,1125,7.025538314638521,Q2,Q22022,5.27,0,0,0,0,0,0,991882.825733381,230322.238735608,0,1350000,NA,2022-04-05T00:00:00Z,NA,NA,NA,NA,1.038161973838858,1.0399873493702,1.038161973838858,1.0372326234815268,0.5830425668101763,0.6122100169003922,0.4413031600887878,0.6306818181818182,0.30434782608695654,0.0303030303030303,0.2390824014385461,0.01818181818181818,0.5323768282859247,0.0779848171152519,0.02146690518783542,0.00524745981704655,0.01863799283154122,0,1,0,0,0.04444444444444444,0.2222222222222222,0.05291005291005291,0.00299165213853334,0.981898046536308,1,0.21466994270034023,0.1028318697227063,0.15845991512030086,0.15873459553549163,0.08479378406142096,0.457786283981912,0.02346302582146824,0.34651738890820105,0.4166666666666666,1,1350000,14.115615150414612,1161.8950038622252,1125,7.025538314638521,285 RIVERSIDE DRIVE,1,1282,103008,0.4059806158719408,0.6897268966114195,0.40671253790329703,0.6892086246920843,-73.97243170162659,40.79885400128587,0.00168022929637797,0.0049121212378719,0.00377482104016097,0.09209667943010064,0.04231799101820475,0.2320853565060333,1.056539917649814,1.044708023941757,1.056539917649814,1,Manhattan,UWS 96-116,UPPER WEST SIDE (96-116),0,"c(-73.9724317016266, 40.7988540012859)",1282,0
91849,1013380005,36290164,101338000500000001-0000    21A,101924,1-0,310,EAST 46 STREET,10017,21A,6746,2022-04-12,D4,1929,1,0,0,0,U,N,1,0,0,0,2022,2026,4,1,0,0,0,1,0,24,21,0,0,0,1,0,3.044522437723423,0.875,1,1338,5,992730.425198,213092.582291,1201,1,0,0,0,0,6918.9077,9388.0375,5963.3365,9475.8588,2928.4004,4682.65879366,3320.89113717,1272.07280706,2179.54217241,355,4,2,1,60730,22600,0.00584554585871892,949,0.00269215275768356,0,0,1,0,0,0,6.855408798609928,1160000,13.963930563082547,3.736834296979537,1222.3393045310854,7.10852176447262,Q2,Q22022,5.27,0,0,0,0,0,0,992582.196633774,213167.814955551,0,1160000,NA,2022-04-12T00:00:00Z,NA,NA,NA,NA,1.038161973838858,1.035816995439636,1.038161973838858,1.0372326234815268,0.5830425668101763,0.4948373206609543,0.44559160607116305,0.5681818181818182,0.5,0.21212121212121213,0.6625556105210727,0.07954545454545454,0.4884112333501982,0.06066252587991718,0.02540250447227191,0.01028059249096558,0.0112580883204957,0,1,0,0,0.04444444444444444,0.1111111111111111,0.04232804232804232,0.00514023886853241,0.981898046536308,0.9593337813783755,0.08203364627083194,0.11439290440950974,0.10138820331221551,0.11368652697149324,0.08871375676288938,0.3751347923182584,0.292643084478403,0.03434283320995524,0.4166666666666666,1,1160000,13.963930563082547,1077.0329614269008,1222.3393045310854,7.10852176447262,310 EAST 46 STREET,1,1201,101924,0.4114959456962321,0.5615016547750065,0.412490633445341,0.5613359165101125,-73.96992697962419,40.75176898432562,0.00110336088699606,0.00183958409434716,0.00526373672925195,0.0574564831459807,0.0594663504381021,0.08348399184005607,1.0386210503851194,1.0182987436290296,1.0386210503851194,1,Manhattan,MIDTN EAST,MIDTOWN EAST,0,"c(-73.9699269796242, 40.7517689843256)",1201,0
46488,1008740056,36261836,100874005600000001-0000      4,101031,1-0,130,EAST 19 STREET,10003,4,2757,2022-01-13,C6,1930,1,0,0,0,U,N,0,0,0,0,2022,2026,1,1,0,0,1,0,0,4,4,0,1,0,0,0,1.3862943611198906,1,1,874,56,987702.946656,207820.253347,1110,1,0,0,0,0,4385.8847,10911.8471,3577.9509,4815.8174,1542.2788,6114.63118535,530.082084583,5211.50062264,3587.840986,1000,4,2,1.5,3495,1830,0.286123032904149,1650,0.345911949685535,0,0,1,0,0,0,7.408530566894626,2225000,14.615267473582476,3.8229919531150567,1348.4848484848485,7.206736906687851,Q1,Q12022,3.82,0,0,0,0,0,0,988118.702395701,207637.681585855,0,2225000,NA,2022-01-13T00:00:00Z,NA,NA,NA,NA,1.0116375284369068,1.035816995439636,1.038161973838858,1.0372326234815268,0.41868808649910816,0.5508366141058126,0.4413031600887878,0.5738636363636364,0.06521739130434782,0.04040404040404041,0.3016884012457883,0.09090909090909093,0.5920398651323718,0.1090407177363699,0.07155635062611806,5.910079436478751e-4,0.5510517670746575,0,1,0,0,0.04444444444444444,0.16666666666666666,0.04232804232804232,2.2708832553111464e-4,0.981898046536308,0.9593337813783755,0.05200099924218585,0.1329604704115728,0.06083205488912532,0.05777772403435206,0.04672221268777347,0.4898567991215123,0.04671181615164454,0.1620685154117758,0,1,2225000,14.615267473582476,1491.6433890176295,1348.4848484848485,7.206736906687851,130 EAST 19 STREET,1,1110,101031,0.3762962499726003,0.5201652218053803,0.37283152084759935,0.5219228707077967,-73.9860400479022,40.73659323064684,0.0014203436987691,0.00130079560460087,0.00286348693859386,0.07649088794251889,0.03182183946322771,0.05742581870735578,1.1047265669532005,1.0308987867845776,1.1047265669532005,1,Manhattan,GRAMERCY,GRAMERCY,0,"c(-73.9860400479022, 40.7365932306468)",1110,0
46650,1008770074,36271690,100877007400000001-0000     2H,101056,1-0,4,LEXINGTON AVENUE,10010,2H,2888,2022-02-15,D4,1931,1,0,0,0,U,N,1,0,1,0,2022,2026,2,1,0,0,0,1,0,15,2,1,0,0,0,0,0.6931471805599453,0.133333333333333,1,877,74,988061.107713,208465.732601,1110,1,0,0,0,0,4355.7589,10623.6698,3809.8362,4913.3691,1608.3818,5722.33537263,914.755039268,4539.30367389,3348.839351,1197,3.5,1,1,170069,12850,0.00703831974081108,750,0.00636672325976231,0,1,0,0,0,0,6.620073206530356,805000,13.5985975564007,3.6876276325573736,1073.3333333333333,6.978524349870344,Q1,Q12022,3.82,0,0,0,0,0,0,988201.769658952,208452.680317357,0,805000,NA,2022-02-15T00:00:00Z,NA,NA,NA,NA,1.038161973838858,1.035816995439636,1.038161973838858,1.0372326234815268,0.5830425668101763,0.5508366141058126,0.31422915424718045,0.5795454545454546,0.30434782608695654,0.0202020202020202,0.15084420062289414,0.01212121212121209,0.444320570470517,0.04692891649413389,0.08565295169946333,0.02879111026538982,0.0135552824637843,1,0,0,0,0.02222222222222222,0.1111111111111111,0.03703703703703703,0.00283387306235703,0.981898046536308,0.9593337813783755,0.05164381436156867,0.1294490402184264,0.06477455150012724,0.05894809963905872,0.04872475491638992,0.45842814647644464,0.08060991016455787,0.14027428084971028,0,1,805000,13.5985975564007,897.217922246318,1073.3333333333333,6.978524349870344,4 LEXINGTON AVENUE,1,1110,101056,0.376951329207629,0.5262571436783089,0.37565686352564887,0.5267481203598121,-73.98573982652998,40.73883016366054,8.370837478640636e-4,0.00127814970352986,0.00103345152408609,0.04146688791855343,0.01074468561962782,0.05633056366370725,0.9960911542446788,1.0308987867845776,0.9960911542446788,1,Manhattan,GRAMERCY,GRAMERCY,0,"c(-73.98573982653, 40.7388301636605)",1110,0
581067,4005570003,36463725,400557000300000011-0000     8D,400045,11-0,21,33 ROAD,11106,8D,18951,2024-03-21,D4,1950,0,1,0,0,U,NA,0,0,0,0,2024,2026,3,0,0,1,0,1,0,15,8,0,0,1,0,0,2.0794415416798357,0.533333333333333,4,557,3,1003167.2636,217121.272351,4040,0,0,0,1,0,13964.1072,12574.4594,9622.8937,17862.6867,3817.6726,1613.82914498,2501.5137669,2989.06649186,2245.66127959,21,3.5,1,1,18223,449820,0.00115238983701915,700,0.00124498670532054,0,1,0,0,0,0,6.551080335043404,355000,12.779873068457553,3.574894833202447,507.1428571428572,6.228792733414148,Q1,Q12024,6.75,0,0,0,0,0,0,1003167.26360458,217121.272351049,0,355000,NA,2024-03-21T00:00:00Z,NA,NA,NA,NA,0.9676166427206182,0.9657518251314998,0.9706102879702246,0.9671718497878036,0.14591971433923862,0.3943464956198012,0.3191330286111287,0.6875,0.30434782608695654,0.08080808080808081,0.4525326018686824,0.04848484848484846,0.4313945977736041,0.04347826086956521,0.00150268336314847,0.00308438090097984,0.00221941746388873,1,0,0,0,0.02222222222222222,0.1111111111111111,0.03703703703703703,0.10619927473666034,0.3119989200322116,0.27610986778438457,0.16556466427970667,0.1532193423966895,0.1636077224398519,0.21430741594660355,0.11565361022240928,0.1292764937386373,0.22043803135162215,0.090011879577545445,0.8419540229885057,1.015384615384615,360461.5384615384,12.795140540588342,600.3844921894123,514.945054945055,6.244060205544937,21 33 ROAD,4,4040,400045,0.4949711596683892,0.5910528094583265,0.49482131788117795,0.5914521986208506,-73.93171166366733,40.762603902871525,0.00778186235420367,0.00506948317171879,0.0060549955249762,0.45849179370447096,0.06857955296706364,0.239696069419759,0.9820365945720598,0.9956879452713332,0.9976788321883268,NA,NA,NA,NA,NA,"c(-73.9317116636673, 40.7626039028715)",4040,0
148306,2024720011,36284790,202472001100000001-0000     4E,200017,1-0,1075,GRAND CONCOURSE,10452,4E,12499,2022-03-25,D4,1928,1,0,0,0,U,N,0,0,1,0,2022,2026,3,1,0,0,0,1,0,6,4,0,1,0,0,0,1.3862943611198906,0.666666666666667,2,2472,11,1006157.67771,242299.572296,2200,0,1,0,0,0,7823.7853,13409.6852,7812.2443,14774.0169,2353.5128,711.334711488,748.651659652,1826.82687912,3855.96721642,455,3.5,1,1,58000,27584,0.0078448275862069,1425,0.012166696549781,0,1,0,0,0,0,7.261927092702751,287500,12.568978139219542,3.5452754673254296,201.75438596491227,5.307051046516791,Q1,Q12022,3.82,0,0,0,0,0,0,1006204.04848616,242397.57853823,0,287500,NA,2022-03-25T00:00:00Z,NA,NA,NA,NA,0.9471781751027036,0.9440673029719604,0.9440673029719604,0.9471781751027036,0.01927602121795469,0.24050090658292303,0.22849947142460433,0.5625,0.10869565217391304,0.04040404040404041,0.3016884012457883,0.06060606060606063,0.5645733680315065,0.09351276742581092,0.03255813953488372,0.00981841784583276,0.01510855683269477,1,0,0,0,0.02222222222222222,0.1111111111111111,0.03703703703703703,0.00631920575858145,0.04877643732871211,0.06465838584121199,0.0927622774616772,0.16339653918566233,0.13282319611061638,0.17725112902475362,0.071297955729533,0.0569734429676823,0.0659725723701799,0.05232928850883708,0,1,287500,12.568978139219542,536.1902647381804,201.75438596491227,5.307051046516791,1075 GRAND CONCOURSE,2,2200,200017,0.518919639963928,0.7799871925152745,0.518411109247087,0.7796713897026295,-73.92066671952895,40.83197343923408,0.00346744224207318,0.00118274994775219,0.00170327839775234,0.19941648795755348,0.01845931450217236,0.05171661329137775,0.9683353194839012,0.9610721324296208,0.9683353194839012,NA,NA,NA,NA,NA,"c(-73.920666719529, 40.8319734392341)",2200,0
31254,1006260012,36276754,100626001200000001-0000     2H,100650,1-0,61,JANE STREET,10014,2H,1614,2022-03-10,D4,1963,0,1,0,0,U,N,1,0,1,0,2022,2026,3,1,0,0,0,1,0,19,2,1,0,0,0,0,0.6931471805599453,0.105263157894737,1,626,12,982576.174009,208314.395299,1121,1,0,0,0,0,3851.6778,12190.0037,7038.9177,5948.9095,1949.6545,5576.81684415,685.480455223,4711.27402344,1157.87170328,403,2.5,0,1,157459,16682,0.00255939641430468,450,0.00171561245458393,1,0,0,0,0,0,6.1092475827643655,750000,13.527828485512494,3.6780196418062383,1666.6666666666667,7.418580902748128,Q1,Q12022,3.82,0,0,0,0,0,0,982619.928920893,208311.902809069,0,750000,NA,2022-03-10T00:00:00Z,NA,NA,NA,NA,1.038161973838858,1.035816995439636,1.038161973838858,1.0372326234815268,0.5830425668101763,0.6125865449477382,0.5643485113689798,0.7613636363636364,0.391304347826087,0.0202020202020202,0.15084420062289414,0.00956937799043063,0.3486162183631919,0.02622498274672187,0.02883720930232558,0.02665630357120486,0.00492920790903123,0,0,0,0,0,0.1111111111111111,0.02645502645502645,0.00374033396176873,0.981898046536308,0.9593337813783755,0.04566720469394558,0.148534763309762,0.11967515481736649,0.07137198586398548,0.05906336274393103,0.44676997645084815,0.06040580870623387,0.14584997134158575,0,1,750000,13.527828485512494,866.0254037844386,1666.6666666666667,7.418580902748128,61 JANE STREET,1,1121,100650,0.3329322076231293,0.5252048652528252,0.3323891297022541,0.5256168055122982,-74.00588216513825,40.73844449695453,0.00259269162673006,0.00320772453798792,0.00331572702809479,0.14688885336649057,0.03703044573668514,0.1496532609107963,1.0770697758629597,1.0447927441114946,1.0770697758629597,1,Manhattan,GRVIL-WEST,GREENWICH VILLAGE-WEST,0,"c(-74.0058821651382, 40.7384444969545)",1121,0
