boro,boro_name,decile,cutoff,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity
All,All,All,,prediction,GROSSCON,20710,1.0025,0.9551784674601039,0.9561274000324663,10.958161822569561,1.0406376978642855,-0.023261676835749055,1.0358656037912606,0.4783301911406198,0.4550339508573528,-0.02329624028326699,0.9512967387073873,TRUE,TRUE,TRUE
1,Manhattan,1,"$400,000",prediction,GROSSCON,995,1.0716,0.37310825144602733,0.4741969543992735,11.142652995441393,1.0034066859936908,0.2391660964943525,0.801339031284026,0.07946310568652588,0.07025349619426566,-0.009209609492260226,0.8841020695995544,TRUE,TRUE,TRUE
1,Manhattan,2,"$499,000",prediction,GROSSCON,994,1.0559,0.13432769891497634,0.1977654009863296,10.803276553896172,1.0003739921184933,0.8170499062727923,0.4908527253739175,0.037707902564001174,0.03429820469035674,-0.003409697873644431,0.9095760399863877,TRUE,TRUE,TRUE
1,Manhattan,3,"$592,500",prediction,GROSSCON,994,1.058,0.07169907932305689,0.0970026654174501,10.163836859962398,1.0006113170483333,0.9444837235212025,0.4058713811261878,0.02916971677565456,0.021698393484206383,-0.0074713232914481766,0.7438671294304837,TRUE,TRUE,TRUE
1,Manhattan,4,"$690,000",prediction,GROSSCON,994,1.0441,0.053033587469749115,0.078437214246287107,10.796795376023375,1.0003542236698648,1.0842041534674092,0.336450215790997,0.02531449308634526,0.020496667168535057,-0.004817825917810204,0.8096811221391212,TRUE,TRUE,TRUE
1,Manhattan,5,"$810,000",prediction,GROSSCON,994,1.0327,0.06479139767959245,0.08388221008930596,10.139917210921029,1.0003650537312003,1.0187848665374724,0.3507636900997515,0.02603561248593481,0.02145055502738869,-0.004585057458546118,0.8238928521069708,TRUE,TRUE,TRUE
1,Manhattan,6,"$975,000",prediction,GROSSCON,994,0.9975,0.07004854502359244,0.09166811280305998,11.06014033741069,1.000601906791015,0.9611138370001464,0.3848916098006589,0.030876760502720594,0.024509190036359742,-0.006367570466360852,0.793774658912168,TRUE,TRUE,TRUE
1,Manhattan,7,"$1,275,000",prediction,GROSSCON,994,0.9742,0.12326387086389785,0.17354810432334633,12.82610141395564,1.0013322959299402,0.7535295870276537,0.5204994782081751,0.04781736235199019,0.038745656178758636,-0.009071706173231553,0.8102842623051126,TRUE,TRUE,TRUE
1,Manhattan,8,"$1,700,000",prediction,GROSSCON,994,0.9606,0.14676628985651397,0.18880031933662245,13.479783043189391,1.0011364468400543,0.7158549480338651,0.5139664662945808,0.05178407953893787,0.044777285741258374,-0.007006793797679496,0.8646921242964086,TRUE,TRUE,TRUE
1,Manhattan,9,"$2,510,000",prediction,GROSSCON,994,0.9473,0.16567375712628657,0.22266138364571672,14.97127614523756,1.0018833423261582,0.6342964002369981,0.5265423236864475,0.06626190947066454,0.056913437730333034,-0.009348471740331508,0.8589163545842237,TRUE,TRUE,TRUE
1,Manhattan,10,"$36,000,000",prediction,GROSSCON,994,0.949,0.9116562854662186,0.718766735627553,13.204229260980064,0.9956099581833134,0.07932301181178206,0.8660831473950903,0.2477506616169736,0.2527732842188958,0.005022622601922183,1.02027289279125,TRUE,TRUE,TRUE
2,Bronx,1,"$142,986",prediction,GROSSCON,139,1.0856,0.12228203733748297,0.30204642445949353,15.861927638690606,1.0168682517349121,0.32497109654811457,0.8572538553586527,0.08518781648516392,0.057031499907406184,-0.028156316577757738,0.6694795366346622,TRUE,FALSE,TRUE
2,Bronx,2,"$169,100",prediction,GROSSCON,139,1.0296,0.030685499224102488,0.06742331380685768,9.029844240222227,1.0009918317359108,1.1039601594470805,0.45031316539504707,0.026818678040921206,0.013814054359461564,-0.013004623681459642,0.5150908012088973,TRUE,TRUE,TRUE
2,Bronx,3,"$195,000",prediction,GROSSCON,139,1.0129,0.0923514845907123,0.20524639649997936,9.783889307680326,0.9998587815951231,1.078091154144313,0.3740141780702499,0.02598111970327844,0.028897346248310002,0.0029162265450315625,1.1122440671663423,TRUE,TRUE,TRUE
2,Bronx,4,"$225,000",prediction,GROSSCON,139,1.0317,0.03564513741871213,0.10682810069858872,9.68051920683766,1.00040658093719,1.194843477563213,0.3387904449042568,0.023519402007395798,0.017374776129025764,-0.006144625878370034,0.738742257288777,TRUE,TRUE,TRUE
2,Bronx,5,"$255,000",prediction,GROSSCON,139,0.9805,0.12416894788648788,0.12248695750694495,9.193749665569197,0.9997241949730689,1.0085588493858735,0.3111840814974459,0.021777092456699246,0.025371241663580096,0.0035941492068808506,1.1650426572797687,TRUE,TRUE,TRUE
2,Bronx,6,"$287,700",prediction,GROSSCON,139,0.9725,0.1372466921044228,0.12302876427099967,9.511451379143066,0.9995240310286233,1.0403728100184328,0.2598550811341602,0.018887268707002684,0.027073334413403073,0.008186065706400389,1.4334171252281334,TRUE,TRUE,TRUE
2,Bronx,7,"$325,000",prediction,GROSSCON,139,0.971,0.07141323787260793,0.09457128667470213,10.622600413229263,0.9997626402220879,1.1615374667267688,0.2715405028682743,0.020881233797267782,0.026473581852283067,0.0055923480550152845,1.267816935977558,TRUE,TRUE,TRUE
2,Bronx,8,"$385,000",prediction,GROSSCON,139,0.9742,0.09357370967267548,0.08474528230126503,8.002476913871147,1.0004896344244214,0.8146352949275272,0.43177707028227436,0.025472811310094857,0.018698031143546266,-0.006774780166548592,0.7340387723963647,TRUE,TRUE,TRUE
