block,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,gini_p_value,ci_p_value,ki_p_value,mki_p_value,accuracy,uniformity,vertical_equity
377,prediction,GROSSCON,5,,,,,,,,,,,,,,,,,,
386,prediction,GROSSCON,7,1.0022,0.9260424891990554,0.9120129870129868,5.012305504366541,1.006746263083717,-0.009589445975913293,1.0666169652489068,0.24733054781801295,0.22777758918223467,-0.019552958635778286,0.9209440208325358,5.85e-5,0.0013042,0.5336355,0.0013042,TRUE,TRUE,TRUE
389,prediction,GROSSCON,11,0.9398,0.9251552868674044,0.8430578512396693,15.722697149465276,1.036978271118741,-0.13886857507365769,1.114815209410343,0.25747386978969905,0.2230839007224728,-0.03438996906722611,0.8664331681684228,1.009e-4,6.591e-4,0.1777793,6.591e-4,TRUE,FALSE,FALSE
390,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
391,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
392,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
394,prediction,GROSSCON,3,,,,,,,,,,,,,,,,,,
396,prediction,GROSSCON,15,1.0051,0.005454280953975185,0.007706887626386731,6.4241451468697806,1.004564421240286,-0.5624984927567406,1.5523655188278374,0.04210328698895853,0.0026738867442565126,-0.03942940024470202,0.06350779085152392,0,0.7247189,2.917e-4,0.7247189,TRUE,TRUE,TRUE
400,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
401,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
402,prediction,GROSSCON,2,,,,,,,,,,,,,,,,,,
404,prediction,GROSSCON,10,0.99,0.9879342463213704,0.9759044995408628,5.772845812373243,1.0286210509272007,-0.05819529338223474,1.110771904144525,0.3200608828006089,0.28538863373785534,-0.034672249062753596,0.891669832441368,7.31e-5,4.96e-5,0.0389702,4.96e-5,TRUE,TRUE,TRUE
406,prediction,GROSSCON,2,,,,,,,,,,,,,,,,,,
414,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
415,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
419,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
431,prediction,GROSSCON,14,1.0034,0.8151867579363085,0.6750033961458597,6.8445428967141595,1.0115867666623113,-0.19688176981692349,1.6137880275296417,0.10924369747899157,0.06868013880565227,-0.04056355867333926,0.6286874244517404,2.294e-4,0.0114925,0.0051897,0.0114925,TRUE,TRUE,TRUE
436,prediction,GROSSCON,3,,,,,,,,,,,,,,,,,,
442,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
443,prediction,GROSSCON,5,,,,,,,,,,,,,,,,,,
444,prediction,GROSSCON,2,,,,,,,,,,,,,,,,,,
445,prediction,GROSSCON,2,,,,,,,,,,,,,,,,,,
447,prediction,GROSSCON,2,,,,,,,,,,,,,,,,,,
450,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
451,prediction,GROSSCON,1,,,,,,,,,,,,,,,,,,
