boro,boro_name,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,gini_p_value,ci_p_value,ki_p_value,mki_p_value,accuracy,uniformity,vertical_equity
All,All,prediction,GROSSCON,10355,1.0018,0.9658201396692953,0.9638788770040296,9.812802415321194,1.0380936125152773,-0.025940042403475066,1.0423550837284805,0.4765971353942333,0.4545230606898608,-0.02207407470437278,0.9536839962621364,0,0,0,0,TRUE,TRUE,TRUE
1,Manhattan,prediction,GROSSCON,4957,1.0047,0.9592465253362797,0.9355657926922197,11.411298822993475,1.0452727881997996,-0.04320539955448748,1.075067128803098,0.43840820286718896,0.4093137397451032,-0.029094463122086522,0.9336361342424461,0,0,0,0,TRUE,TRUE,TRUE
2,Bronx,prediction,GROSSCON,716,0.9946,0.8899493190718374,0.9299431315600806,9.544549105045636,1.0286142525267008,-0.05734678094619474,1.0818453578712248,0.2768586480721312,0.2478423512343819,-0.029016296837749513,0.8951945440758277,0,0,0,0,TRUE,TRUE,TRUE
3,Brooklyn,prediction,GROSSCON,1777,0.9996,0.9733329656776228,0.9633791352683768,8.538993054262466,1.033761141125928,-0.05553327787924188,1.0821972293030406,0.350112383435126,0.3225298433793536,-0.027582540055772722,0.9212180392331533,0,0,0,0,TRUE,TRUE,FALSE
4,Queens,prediction,GROSSCON,2816,1.0018,0.9183724634745248,0.8939378086353852,7.893975892593727,1.0170498487958617,-0.06806216130818343,1.1170588355262943,0.20187234763439102,0.17517038830342563,-0.02670195933096544,0.867728494546834,0,0,0,0,TRUE,TRUE,TRUE
5,Staten Island,prediction,GROSSCON,89,0.9932,0.8943716586605645,0.8680148611951588,7.762016123489528,1.0134421511615825,-0.07619344503740601,1.1035653439857498,0.1729605965340315,0.14959784531491246,-0.023362751219118974,0.8649244296834853,0,0,2.49e-5,0,TRUE,TRUE,TRUE
