NEIGHBORHOOD,decile,n,ci_population,gini_population,ki_population,mki_population,gini_sample,ci_sample,ki_sample,mki_sample,gini_model,ci_model,ki_model,mki_model,ci_assessr,gini_assessr,ki_assessr,mki_assessr
1010,1,7,0.15349878242530618,0.13877312276083936,0.014725659664466817,1.1061131966443165,0.1189483909378623,0.13157038493597673,0.012621993998114422,1.1061131966443165,0.1387731227608393,0.15349878242530615,0.014725659664466801,1.106113196644317,0.13157038493597664,0.11894839093786226,0.01262199399811438,1.1061131966443163
1010,2,19,0.004323800814289714,0.03678830803873046,-0.03246450722444075,0.11753192915905912,0.03485208129984991,0.004096232350379729,-0.03075584894947018,0.11753192915905912,0.03678830803873047,0.004323800814289738,-0.032464507224440754,0.11753192915906041,0.0029750751327212222,0.034852081299849964,-0.03187700616712874,0.08536291153246076
1010,3,3,0.046400713779636234,0.046155133729395365,2.455800502408692e-4,1.0053207526530135,0.030770089152930242,0.030933809186424154,1.6372003349391165e-4,1.0053207526530135,0.04615513372939534,0.046400713779636185,2.455800502408715e-4,1.0053207526530132,0.03093380918642404,0.030770089152930186,1.6372003349385267e-4,1.0053207526530115
1010,4,6,-0.045245173568157736,0.01837270341207349,-0.06361787698023122,-2.4626301613525854,0.01531058617672791,-0.03770431130679811,-0.05301489748352602,-2.4626301613525854,0.01837270341207342,-0.04524517356815783,-0.0636178769802312,-2.4626301613526063,-0.037704311306798154,0.01531058617672798,-0.053014897483526134,-2.4626301613525765
1010,5,8,0.046806517451044354,0.0231926967678263,0.023613820683218052,2.0181576088200295,0.020293609671848012,0.04095570276966381,0.020662093097815797,2.0181576088200295,0.023192696767826263,0.046806517451044326,0.023613820683218056,2.018157608820038,0.033400217087032,0.020293609671848012,0.01310660741518399,1.645848995182258
1010,6,3,0.019020871374750763,0.012527964205816556,0.006492907168934208,1.5182731258059983,0.008351976137211036,0.012680580916500508,0.004328604779289471,1.5182731258059983,0.012527964205816474,0.019020871374750673,0.0064929071689341705,1.5182731258059978,0.012680580916500558,0.008351976137210984,0.004328604779289574,1.5182731258060138
1010,7,10,0.02174517836163041,0.03849014987176886,-0.01674497151013845,0.5649543697303117,0.03464113488459197,0.01957066052546737,-0.015070474359124602,0.5649543697303117,0.03849014987176886,0.021745178361630403,-0.016744971510138453,0.5649543697303115,0.01957066052546743,0.034641134884591904,-0.015070474359124474,0.5649543697303145
1010,8,3,-0.003433567780649182,0.0012836970474967909,-0.0047172648281459725,-2.674749301125712,8.557980316645272e-4,-0.0022890451870994544,-0.0031448432187639814,-2.6747493011257126,0.0012836970474968553,-0.0034335677806490842,-0.004717264828145928,-2.674749301122592,-0.014125296551792399,8.557980316646526e-4,-0.014981094583457052,-16.505409020766997
1010,9,2,0.012798908691913654,0.033877038895859475,-0.02107813020394582,0.3778048232390808,0.016938519447929738,0.006399454345956827,-0.01053906510197291,0.3778048232390808,0.033877038895859496,0.012798908691913533,-0.021078130203945895,0.3778048232390778,0.006399454345956679,0.01693851944792968,-0.010539065101973,0.3778048232390734
1030,1,14,0.09331775812424964,0.09559774418602135,-0.0022799860617717105,0.9761502106437246,0.08876933388701982,0.08665220397251752,-0.0021171299145023026,0.9761502106437246,0.09559774418602132,0.09331775812424964,-0.0022799860617717126,0.9761502106437251,0.08665220397251742,0.08876933388701984,-0.0021171299145024136,0.9761502106437233
