boro,decile,n,ci_population,gini_population,ki_population,mki_population,gini_sample,ci_sample,ki_sample,mki_sample,gini_model,ci_model,ki_model,mki_model,ci_assessr,gini_assessr,ki_assessr,mki_assessr,ci_rineq
1,1,995,0.07027786450381594,0.07954304844878583,-0.00926518394496989,0.8835198785355163,0.07946310568652575,0.07020723348421412,-0.009255872202311624,0.8835198785355163,0.07954304844878587,0.07027786450381583,-0.009265183944969927,0.8835198785355192,0.07025349619426476,0.07946310568652588,-0.009209609492261128,0.8841020695995431,0.07025349619426724
1,2,994,0.034266848710884514,0.03774587628259525,-0.003479027571710737,0.9078302608299776,0.03770790256400109,0.034232375020028495,-0.0034755275439725952,0.9078302608299778,0.03774587628259493,0.03426684871088425,-0.003479027571710762,0.9078302608299811,0.03429820469035445,0.037707902564001174,-0.0034096978736467207,0.909576039986327,0.03429820469035597
1,3,994,0.02203630632868967,0.029199092119839575,-0.007162785791149904,0.7546914896616568,0.029169716775654626,0.02201413700642741,-0.007155579769227215,0.7546914896616568,0.029199092119839464,0.022036306328689602,-0.007162785791149807,0.7546914896616527,0.02169839348420604,0.02916971677565456,-0.00747132329144852,0.743867129430472,0.021698393484206085
1,4,994,0.020760671190018065,0.02533998603003753,-0.004579314840019465,0.8192850290212775,0.02531449308634534,0.020739785202905373,-0.004574707883439968,0.8192850290212775,0.02533998603003733,0.020760671190017968,-0.004579314840019356,0.8192850290212768,0.020496667168535286,0.02531449308634526,-0.004817825917809975,0.8096811221391302,0.020496667168534814
1,5,994,0.02146583006274104,0.02606183163244631,-0.004596001569705271,0.8236500935727262,0.026035612485934796,0.021444234660263434,-0.004591377825671362,0.8236500935727262,0.02606183163244628,0.021465830062741102,-0.004596001569705343,0.8236500935727209,0.021450555027389608,0.02603561248593481,-0.004585057458545202,0.823892852107006,0.021450555027388445
1,6,994,0.02447943672433121,0.030907854924173545,-0.006428418199842335,0.7920134472090277,0.030876760502720656,0.024454809524407338,-0.006421950978313318,0.7920134472090277,0.030907854924173483,0.02447943672433107,-0.006428418199842262,0.792013447209035,0.024509190036357226,0.030876760502720594,-0.0063675704663633675,0.7937746589120865,0.024509190036359277
1,7,994,0.038923218201367744,0.04786551679544622,-0.008942298594078475,0.8131786891115481,0.047817362351990036,0.03888406003416315,-0.008933302317826887,0.8131786891115481,0.04786551679544646,0.03892321820136777,-0.008942298594078604,0.8131786891115441,0.03874565617875749,0.04781736235199019,-0.009071706173232698,0.8102842623050887,0.03874565617875794
1,8,994,0.04470382450992174,0.05183622866234056,-0.0071324041524188225,0.8624050333815938,0.05178407953893781,0.04465885084341276,-0.007125228695525045,0.8624050333815937,0.05183622866234084,0.04470382450992177,-0.007132404152418979,0.8624050333815857,0.04477728574125906,0.05178407953893787,-0.007006793797678809,0.8646921242964218,0.04477728574125747
1,9,994,0.0569981495982668,0.06632863848322314,-0.009330488884956335,0.8593294073522051,0.06626190947066457,0.05694080739545165,-0.009321102075212924,0.859329407352205,0.0663286384832229,0.056998149598266795,-0.009330488884956264,0.8593294073522021,0.056913437730334866,0.06626190947066454,-0.009348471740329677,0.8589163545842513,0.056913437730331334
1,10,994,0.25307909547553314,0.24800015875858197,0.005078936716951171,1.0204795704259824,0.24775066161697376,0.2528244887396423,0.005073827122668545,1.0204795704259824,0.24800015875858164,0.25307909547553226,0.005078936716951127,1.0204795704259864,0.2527732842188953,0.2477506616169736,0.0050226226019216835,1.020272892791248,0.2527732842188869
2,1,139,0.05753479961668353,0.08580511950317225,-0.028270319886488725,0.6705287510794323,0.08518781648516383,0.057120880194980773,-0.028066936290183052,0.6705287510794323,0.0858051195031723,0.057534799616683605,-0.02827031988648872,0.670528751079433,0.057031499907406184,0.08518781648516392,-0.028156316577757738,0.6694795366346622,0.05703149990740592
2,2,139,0.014223551592841381,0.027013016287594612,-0.012789464694753231,0.5265443681449734,0.026818678040921272,0.014121223883540365,-0.012697454157380907,0.5265443681449734,0.0270130162875947,0.014223551592841378,-0.012789464694753205,0.5265443681449744,0.013814054359460747,0.026818678040921206,-0.013004623681460459,0.5150908012088669,0.013814054359461491
2,3,139,0.029123524406403496,0.026169388686635504,0.002954135719767992,1.1128851634687456,0.025981119703278415,0.028914002648084046,0.002932882944805631,1.1128851634687456,0.02616938868663545,0.029123524406403523,0.0029541357197679814,1.112885163468748,0.028897346248310002,0.02598111970327844,0.0029162265450315625,1.1122440671663423,0.028897346248310054
2,4,139,0.01758809167692042,0.023689832456724787,-0.006101740779804368,0.7424320838507121,0.023519402007395832,0.01746155864327351,-0.006057843364122323,0.7424320838507121,0.023689832456724753,0.017588091676920395,-0.006101740779804373,0.7424320838507129,0.017374776129025764,0.023519402007395798,-0.006144625878370034,0.738742257288777,0.017374776129025667
2,5,139,0.025915904378369905,0.021934897474501353,0.003981006903868552,1.181491931224951,0.021777092456699187,0.025729459023129835,0.003952366566430648,1.181491931224951,0.02193489747450135,0.02591590437836993,0.003981006903868529,1.1814919312249534,0.025371241663580096,0.021777092456699246,0.0035941492068808506,1.1650426572797687,0.025371241663580086
2,6,139,0.027367396750273058,0.019024132972995527,0.00834326377727753,1.4385621036775063,0.018887268707002754,0.027170509003868217,0.008283240296865464,1.4385621036775065,0.019024132972995444,0.02736739675027304,0.00834326377727753,1.4385621036775047,0.027073334413403892,0.018887268707002684,0.008186065706401208,1.4334171252281769,0.027073334413403084
2,7,139,0.025616507087933258,0.021032547085653722,0.004583960002279536,1.2179460235420678,0.020881233797267727,0.02543221567003446,0.004550981872766733,1.2179460235420678,0.021032547085653736,0.025616507087933282,0.004583960002279544,1.2179460235420732,0.02647358185228368,0.020881233797267782,0.0055923480550158985,1.2678169359775873,0.026473581852282872
2,8,139,0.01907427758169398,0.02565739689929853,-0.006583119317604552,0.7434221661908136,0.025472811310094944,0.01893705256312064,-0.0065357587469743045,0.7434221661908136,0.025657396899298534,0.01907427758169397,-0.006583119317604556,0.7434221661908152,0.018698031143546266,0.025472811310094857,-0.006774780166548592,0.7340387723963647,0.01869803114354624
2,9,139,0.05240620787622684,0.048678511788867264,0.0037276960873595735,1.0765778564375112,0.04832830666808405,0.052029184797980604,0.0037008781298965565,1.0765778564375112,0.04867851178886725,0.052406207876226886,0.00372769608735963,1.076577856437511,0.05189259516060029,0.04832830666808406,0.003564288492516228,1.0737515700062812,0.05189259516060005
2,10,139,0.06979602734453888,0.11319134930334715,-0.04339532195880827,0.6166198015494013,0.11237702304936624,0.06929389765141271,-0.04308312539795353,0.6166198015494013,0.1131913493033472,0.06979602734453888,-0.04339532195880831,0.6166198015494001,0.0691555363600882,0.11237702304936621,-0.04322148668927801,0.6153885775182779,0.06915553636008778
3,1,359,0.06105003337953587,0.06857580817349394,-0.007525774793958072,0.8902561268411424,0.06838478920922238,0.06087997757625026,-0.007504811632972119,0.8902561268411423,0.06857580817349379,0.06105003337953582,-0.007525774793958026,0.8902561268411427,0.06083594319359555,0.06838478920922231,-0.007548846015626755,0.8896122061218736,0.06083594319359473
3,2,359,0.02021047854143259,0.02977250163426408,-0.009562023092831488,0.6788303781020905,0.02968956987483716,0.020154181943824144,-0.009535387931013016,0.6788303781020905,0.029772501634263922,0.020210478541432462,-0.009562023092831435,0.6788303781020866,0.020813362576610078,0.02968956987483719,-0.008876207298227114,0.7010328093115971,0.02081336257660996
3,3,359,0.017527555335130268,0.02801032771675154,-0.010482772381621274,0.6257533118631787,0.027932304519768948,0.017478732061216258,-0.01045357245855269,0.6257533118631788,0.028010327716751483,0.01752755533513032,-0.01048277238162127,0.6257533118631788,0.017732824862266728,0.02793230451976886,-0.010199479657502133,0.63485004789764,0.017732824862267214
3,4,359,0.02782579921529588,0.027603781500784075,2.2201771451180533e-4,1.0080430181098738,0.027526890744514483,0.02774829002528113,2.2139928076664664e-4,1.0080430181098738,0.027603781500784012,0.027825799215295835,2.2201771451178952e-4,1.0080430181098736,0.02771600641166164,0.027526890744514424,1.8911566714721606e-4,1.006870215343333,0.02771600641166047
3,5,359,0.02582388409365822,0.027188559122026182,-0.0013646750283679634,0.9498070117565589,0.027112824974053967,0.0257519512688848,-0.0013608737051691681,0.9498070117565589,0.02718855912202612,0.025823884093658156,-0.0013646750283679582,0.9498070117565603,0.025977361708332116,0.02711282497405393,-0.0011354632657218124,0.9581208056774455,0.025977361708331988
3,6,359,0.025119638520654478,0.030134984639449736,-0.005015346118795259,0.8335706429320802,0.030051043178058512,0.025049667382713938,-0.005001375795344574,0.8335706429320803,0.030134984639449768,0.025119638520654547,-0.005015346118795215,0.8335706429320806,0.02511718598167819,0.030051043178058526,-0.004933857196380335,0.8358174401086101,0.025117185981677434
3,7,359,0.036144667476889034,0.030475702828509678,0.005668964648379356,1.1860158789537776,0.03039081229138291,0.036043985951883774,0.005653173660500863,1.1860158789537778,0.030475702828509567,0.03614466747688894,0.005668964648379334,1.186015878953782,0.03587190754636312,0.03039081229138294,0.005481095254980185,1.1803536938212837,0.0358719075463631
3,8,359,0.02605889457981928,0.03339656309318127,-0.007337668513361994,0.7802867171424547,0.03330353645503871,0.02598630712973622,-0.007317229325302491,0.7802867171424547,0.03339656309318137,0.02605889457981938,-0.007337668513362036,0.7802867171424545,0.026009453051520515,0.03330353645503866,-0.007294083403518146,0.7809817160599295,0.02600945305151913
3,9,359,0.054651673940000096,0.0611567459623318,-0.0065050720223317066,0.8936327968407873,0.06098639290951194,0.054499440864958316,-0.006486952044553622,0.8936327968407873,0.06115674596233182,0.05465167394000004,-0.0065050720223317066,0.8936327968407861,0.05438069214734757,0.0609863929095119,-0.006605700762164324,0.8916856622104954,0.05438069214734633
3,10,358,0.13981440470060694,0.1369025832979938,0.002911821402613146,1.021269294796834,0.13652017384744072,0.13942386167071696,0.002903687823276241,1.021269294796834,0.13690258329799396,0.13981440470060702,0.002911821402613102,1.0212692947968303,0.139383425552228,0.13652017384744072,0.0028632517047872674,1.020973103271806,0.1393834255522296
4,1,562,0.07894311045267403,0.078469419862394,4.73690590280032e-4,1.0060366266388958,0.07832979456014774,0.07880264228460877,4.728477244610313e-4,1.0060366266388958,0.07846941986239406,0.0789431104526741,4.7369059028018603e-4,1.0060366266388958,0.07859266559130916,0.07832979456014755,2.628710311616128e-4,1.003355952005718,0.07859266559130948
4,2,562,0.011690006752942175,0.023672992707493713,-0.011982985954551538,0.493811952607145,0.02363086994466899,0.011669206029182491,-0.0119616639154865,0.493811952607145,0.023672992707493536,0.01169000675294212,-0.011982985954551524,0.49381195260715044,0.011697164905661774,0.02363086994466893,-0.011933705039007154,0.4949951031447587,0.011697164905660813
4,3,562,0.015244868368391673,0.019833636874750003,-0.00458876850635833,0.7686370616071809,0.01979834570593372,0.015217742268092043,-0.004580603437841677,0.7686370616071809,0.019833636874749986,0.01524486836839157,-0.004588768506358308,0.7686370616071965,0.014999481357019574,0.019798345705933796,-0.004798864348914222,0.7576128621960598,0.014999481357019565
