boro,NEIGHBORHOOD,decile,COOPUNITKEY,GROSSCON,prediction,geometry
4,4250,6,403907096000000004-0000     5F,335000,295371.801041725,"c(-73.852322970255, 40.7001350625872)"
4,4250,6,403880009700000001-0000    10J,330000,391658.816649678,"c(-73.8548589985539, 40.7060068502733)"
4,4250,6,403907096000000003-0000     5F,342500,281073.55941375,"c(-73.852322970255, 40.7001350625872)"
4,4250,6,403880009700000002-0000    14B,335000,319457.114032008,"c(-73.8548589985539, 40.7060068502733)"
4,4250,6,403907096000000002-0000     6L,330000,298283.501072067,"c(-73.852322970255, 40.7001350625872)"
4,4250,6,403907096000000004-0000     4L,340000,229991.517702603,"c(-73.852322970255, 40.7001350625872)"
4,4250,6,403907096000000001-0000     6E,325000,298283.501072067,"c(-73.852322970255, 40.7001350625872)"
