NEIGHBORHOOD,decile,n,ci_population,gini_population,ki_population,mki_population,gini_sample,ci_sample,ki_sample,mki_sample,gini_model,ci_model,ki_model,mki_model,ci_assessr,gini_assessr,ki_assessr,mki_assessr,ci_rineq
1010,1,7,0.1534987824253062,0.13877312276083936,0.014725659664466845,1.1061131966443167,0.1189483909378623,0.13157038493597675,0.01262199399811445,1.1061131966443167,0.1387731227608393,0.15349878242530618,0.014725659664466801,1.1061131966443165,0.13157038493597664,0.11894839093786226,0.01262199399811438,1.1061131966443163,0.1315703849359769
1010,2,19,0.004323800814289715,0.03678830803873046,-0.03246450722444075,0.11753192915905915,0.03485208129984991,0.00409623235037973,-0.03075584894947018,0.11753192915905915,0.03678830803873046,0.0043238008142897355,-0.03246450722444074,0.1175319291590601,0.0029750751327214096,0.034852081299849964,-0.03187700616712855,0.08536291153246613,0.00297507513272112
1010,3,3,0.046400713779636234,0.04615513372939536,2.4558005024087615e-4,1.0053207526530135,0.03077008915293024,0.030933809186424154,1.6372003349391512e-4,1.0053207526530135,0.046155133729395344,0.04640071377963617,2.4558005024087024e-4,1.0053207526530117,0.03093380918642404,0.030770089152930186,1.6372003349385267e-4,1.0053207526530115,0.030933809186424133
1010,4,6,-0.04524517356815773,0.018372703412073494,-0.06361787698023122,-2.4626301613525845,0.015310586176727913,-0.03770431130679811,-0.05301489748352602,-2.4626301613525845,0.01837270341207346,-0.04524517356815783,-0.06361787698023122,-2.4626301613526205,-0.0377043113067983,0.01531058617672798,-0.05301489748352628,-2.462630161352586,-0.03770431130679818
1010,5,8,0.046806517451044354,0.0231926967678263,0.023613820683218052,2.0181576088200295,0.020293609671848012,0.04095570276966381,0.020662093097815797,2.0181576088200295,0.02319269676782628,0.046806517451044326,0.023613820683218056,2.018157608820037,0.03340021708703178,0.020293609671848012,0.013106607415183769,1.645848995182247,0.033400217087031975
1010,6,3,0.019020871374750763,0.012527964205816556,0.006492907168934208,1.5182731258059983,0.008351976137211036,0.012680580916500508,0.004328604779289471,1.5182731258059983,0.012527964205816474,0.0190208713747507,0.006492907168934161,1.5182731258059894,0.012680580916500261,0.008351976137210984,0.004328604779289277,1.5182731258059783,0.012680580916500423
1010,7,10,0.02174517836163041,0.03849014987176886,-0.01674497151013845,0.5649543697303117,0.03464113488459197,0.01957066052546737,-0.015070474359124602,0.5649543697303117,0.03849014987176888,0.0217451783616304,-0.016744971510138453,0.564954369730311,0.01957066052546743,0.034641134884591904,-0.015070474359124474,0.5649543697303145,0.01957066052546737
1010,8,3,-0.0034335677806491827,0.001283697047496791,-0.004717264828145974,-2.6747493011257126,8.557980316645274e-4,-0.002289045187099455,-0.0031448432187639822,-2.674749301125712,0.0012836970474968592,-0.003433567780649098,-0.004717264828145929,-2.6747493011234154,-0.014125296551792399,8.557980316646526e-4,-0.014981094583457052,-16.505409020766997,-0.014125296551792324
1010,9,2,0.012798908691913654,0.033877038895859475,-0.02107813020394582,0.3778048232390808,0.016938519447929738,0.006399454345956827,-0.01053906510197291,0.3778048232390808,0.03387703889585951,0.012798908691913517,-0.021078130203945895,0.3778048232390764,0.006399454345956679,0.01693851944792968,-0.010539065101973,0.3778048232390734,0.006399454345956762
1030,1,14,0.09331775812424963,0.09559774418602136,-0.0022799860617717382,0.9761502106437243,0.08876933388701984,0.08665220397251751,-0.0021171299145023303,0.9761502106437243,0.09559774418602138,0.09331775812424965,-0.0022799860617717118,0.9761502106437242,0.08665220397251742,0.08876933388701984,-0.0021171299145024136,0.9761502106437233,0.08665220397251748
