boro,decile,n,ci_new,ci_population,ci_sample,ci_model,ci_assessr,ci_rineq,gini_new,gini_population,gini_sample,gini_model,gini_assessr,gini_DescTools,ki_new,ki_population,ki_sample,ki_model,ki_assessr,mki_new,mki_population,mki_sample,mki_model,mki_assessr
1,1,995,0.07098394076222969,0.07027786450381594,0.07020723348421412,0.07027786450381583,0.07025349619426476,0.07025349619426724,0.08022168432772835,0.07954304844878583,0.07946310568652575,0.07954304844878587,0.07946310568652588,0.07954304844878933,-0.009237743565498654,-0.00926518394496989,-0.009255872202311624,-0.009265183944969927,-0.009209609492261128,0.8848472997929108,0.8835198785355163,0.8835198785355163,0.8835198785355192,0.8841020695995431
1,2,994,0.03411440401659976,0.034266848710884514,0.034232375020028495,0.03426684871088425,0.03429820469035445,0.03429820469035597,0.037508322132106225,0.03774587628259525,0.03770790256400109,0.03774587628259493,0.037707902564001174,0.03774587628259384,-0.003393918115506468,-0.003479027571710737,-0.0034755275439725952,-0.003479027571710762,-0.0034096978736467207,0.9095155975371835,0.9078302608299776,0.9078302608299778,0.9078302608299811,0.909576039986327
1,3,994,0.022022515389519583,0.02203630632868967,0.02201413700642741,0.022036306328689602,0.02169839348420604,0.021698393484206085,0.02910678992933712,0.029199092119839575,0.029169716775654626,0.029199092119839464,0.02916971677565456,0.029199092119838208,-0.007084274539817536,-0.007162785791149904,-0.007155579769227215,-0.007162785791149807,-0.00747132329144852,0.7566109297172203,0.7546914896616568,0.7546914896616568,0.7546914896616527,0.743867129430472
1,4,994,0.020990650557714596,0.020760671190018065,0.020739785202905373,0.020760671190017968,0.020496667168535286,0.020496667168534814,0.025285146564705947,0.02533998603003753,0.02531449308634534,0.02533998603003733,0.02531449308634526,0.025339986030036267,-0.00429449600699135,-0.004579314840019465,-0.004574707883439968,-0.004579314840019356,-0.004817825917809975,0.8301573615165124,0.8192850290212775,0.8192850290212775,0.8192850290212768,0.8096811221391302
1,5,994,0.021595002625920522,0.02146583006274104,0.021444234660263434,0.021465830062741102,0.021450555027389608,0.021450555027388445,0.02602244846529943,0.02606183163244631,0.026035612485934796,0.02606183163244628,0.02603561248593481,0.026061831632445288,-0.004427445839378909,-0.004596001569705271,-0.004591377825671362,-0.004596001569705343,-0.004585057458545202,0.8298605204163303,0.8236500935727262,0.8236500935727262,0.8236500935727209,0.823892852107006
1,6,994,0.024624002420091187,0.02447943672433121,0.024454809524407338,0.02447943672433107,0.024509190036357226,0.024509190036359277,0.030750559548899478,0.030907854924173545,0.030876760502720656,0.030907854924173483,0.030876760502720594,0.03090785492417209,-0.006126557128808292,-0.006428418199842335,-0.006421950978313318,-0.006428418199842262,-0.0063675704663633675,0.8007659951986937,0.7920134472090277,0.7920134472090277,0.792013447209035,0.7937746589120865
1,7,994,0.03929609092091436,0.038923218201367744,0.03888406003416315,0.03892321820136777,0.03874565617875749,0.03874565617875794,0.048208459546280905,0.04786551679544622,0.047817362351990036,0.04786551679544646,0.04781736235199019,0.04786551679544433,-0.008912368625366547,-0.008942298594078475,-0.008933302317826887,-0.008942298594078604,-0.009071706173232698,0.8151285332647784,0.8131786891115481,0.8131786891115481,0.8131786891115441,0.8102842623050887
1,8,994,0.044729965812081315,0.04470382450992174,0.04465885084341276,0.04470382450992177,0.04477728574125906,0.04477728574125747,0.05154614192482465,0.05183622866234056,0.05178407953893781,0.05183622866234084,0.05178407953893787,0.05183622866233869,-0.006816176112743336,-0.0071324041524188225,-0.007125228695525045,-0.007132404152418979,-0.007006793797678809,0.8677655425175349,0.8624050333815938,0.8624050333815937,0.8624050333815857,0.8646921242964218
1,9,994,0.056722363057375755,0.0569981495982668,0.05694080739545165,0.056998149598266795,0.056913437730334866,0.056913437730331334,0.0660708236541128,0.06632863848322314,0.06626190947066457,0.0663286384832229,0.06626190947066454,0.0663286384832199,-0.009348460596737052,-0.009330488884956335,-0.009321102075212924,-0.009330488884956264,-0.009348471740329677,0.8585084901366274,0.8593294073522051,0.859329407352205,0.8593294073522021,0.8589163545842513
1,10,994,0.2514327532777837,0.25307909547553314,0.2528244887396423,0.25307909547553226,0.2527732842188953,0.2527732842188869,0.24639121135834877,0.24800015875858197,0.24775066161697376,0.24800015875858164,0.2477506616169736,0.24800015875856926,0.005041541919434928,0.005078936716951171,0.005073827122668545,0.005078936716951127,0.0050226226019216835,1.0204615330702789,1.0204795704259824,1.0204795704259824,1.0204795704259864,1.020272892791248
2,1,139,0.0592802916227311,0.05753479961668353,0.057120880194980773,0.057534799616683605,0.057031499907406184,0.05703149990740592,0.08813008712657067,0.08580511950317225,0.08518781648516383,0.0858051195031723,0.08518781648516392,0.08580511950317198,-0.028849795503839565,-0.028270319886488725,-0.028066936290183052,-0.02827031988648872,-0.028156316577757738,0.6726453309593798,0.6705287510794323,0.6705287510794323,0.670528751079433,0.6694795366346622
2,2,139,0.014081152529522478,0.014223551592841381,0.014121223883540365,0.014223551592841378,0.013814054359460747,0.013814054359461491,0.02781128248886507,0.027013016287594612,0.026818678040921272,0.0270130162875947,0.026818678040921206,0.02701301628759442,-0.013730129959342592,-0.012789464694753231,-0.012697454157380907,-0.012789464694753205,-0.013004623681460459,0.5063107943749164,0.5265443681449734,0.5265443681449734,0.5265443681449744,0.5150908012088669
2,3,139,0.030229457266217296,0.029123524406403496,0.028914002648084046,0.029123524406403523,0.028897346248310002,0.028897346248310054,0.025660775982480302,0.026169388686635504,0.025981119703278415,0.02616938868663545,0.02598111970327844,0.026169388686635424,0.004568681283736994,0.002954135719767992,0.002932882944805631,0.0029541357197679814,0.0029162265450315625,1.1780414312823675,1.1128851634687456,1.1128851634687456,1.112885163468748,1.1122440671663423
2,4,139,0.018914002200360547,0.01758809167692042,0.01746155864327351,0.017588091676920395,0.017374776129025764,0.017374776129025667,0.024162983714545287,0.023689832456724787,0.023519402007395832,0.023689832456724753,0.023519402007395798,0.023689832456724666,-0.00524898151418474,-0.006101740779804368,-0.006057843364122323,-0.006101740779804373,-0.006144625878370034,0.7827676591519187,0.7424320838507121,0.7424320838507121,0.7424320838507129,0.738742257288777
2,5,139,0.026029733737296657,0.025915904378369905,0.025729459023129835,0.02591590437836993,0.025371241663580096,0.025371241663580086,0.022243710196289436,0.021934897474501353,0.021777092456699187,0.02193489747450135,0.021777092456699246,0.02193489747450121,0.003786023541007221,0.003981006903868552,0.003952366566430648,0.003981006903868529,0.0035941492068808506,1.1702064766892524,1.181491931224951,1.181491931224951,1.1814919312249534,1.1650426572797687
2,6,139,0.027309829303874614,0.027367396750273058,0.027170509003868217,0.02736739675027304,0.027073334413403892,0.027073334413403084,0.018946589135678978,0.019024132972995527,0.018887268707002754,0.019024132972995444,0.018887268707002684,0.01902413297299543,0.008363240168195635,0.00834326377727753,0.008283240296865464,0.00834326377727753,0.008186065706401208,1.4414113858861555,1.4385621036775063,1.4385621036775065,1.4385621036775047,1.4334171252281769
2,7,139,0.02673257120079109,0.025616507087933258,0.02543221567003446,0.025616507087933282,0.02647358185228368,0.026473581852282872,0.021929521020976544,0.021032547085653722,0.020881233797267727,0.021032547085653736,0.020881233797267782,0.021032547085653632,0.004803050179814545,0.004583960002279536,0.004550981872766733,0.004583960002279544,0.0055923480550158985,1.2190221197818327,1.2179460235420678,1.2179460235420678,1.2179460235420732,1.2678169359775873
2,8,139,0.01933703531822366,0.01907427758169398,0.01893705256312064,0.01907427758169397,0.018698031143546266,0.01869803114354624,0.02583832592304473,0.02565739689929853,0.025472811310094944,0.025657396899298534,0.025472811310094857,0.025657396899298433,-0.006501290604821068,-0.006583119317604552,-0.0065357587469743045,-0.006583119317604556,-0.006774780166548592,0.7483857652316908,0.7434221661908136,0.7434221661908136,0.7434221661908152,0.7340387723963647
2,9,139,0.05232099659355495,0.05240620787622684,0.052029184797980604,0.052406207876226886,0.05189259516060029,0.05189259516060005,0.048353879945249936,0.048678511788867264,0.04832830666808405,0.04867851178886725,0.04832830666808406,0.04867851178886697,0.0039671166483050135,0.0037276960873595735,0.0037008781298965565,0.00372769608735963,0.003564288492516228,1.0820433986434366,1.0765778564375112,1.0765778564375112,1.076577856437511,1.0737515700062812
2,10,139,0.06868376601012673,0.06979602734453888,0.06929389765141271,0.06979602734453888,0.0691555363600882,0.06915553636008778,0.11157043858813973,0.11319134930334715,0.11237702304936624,0.1131913493033472,0.11237702304936621,0.11319134930334653,-0.042886672578013,-0.04339532195880827,-0.04308312539795353,-0.04339532195880831,-0.04322148668927801,0.615608998936283,0.6166198015494013,0.6166198015494013,0.6166198015494001,0.6153885775182779
3,1,359,0.061613009295407646,0.06105003337953587,0.06087997757625026,0.06105003337953582,0.06083594319359555,0.06083594319359473,0.06942602508879583,0.06857580817349394,0.06838478920922238,0.06857580817349379,0.06838478920922231,0.06857580817349335,-0.007813015793388188,-0.007525774793958072,-0.007504811632972119,-0.007525774793958026,-0.007548846015626755,0.8874627233318435,0.8902561268411424,0.8902561268411423,0.8902561268411427,0.8896122061218736
