"","boro","NEIGHBORHOOD","decile","COOPUNITKEY","GROSSCON","prediction","geometry"
"5856",4,4211,5,"406609000700000036-0000    38B",300000,257582.235330782,c(-73.8220303809273, 40.7194423909593)
"5857",1,1280,7,"101126006000000001-0000      3",1200000,1037174.64595088,c(-73.9774571432638, 40.7783221862117)
"5858",1,1270,5,"101427003400000001-0000     2C",697501,591628.381482131,c(-73.9590283616715, 40.7697243502696)
"5859",1,1220,5,"100912004300000001-0000     4B",699000,582008.778474146,c(-73.9776822279733, 40.7436187522636)
"5860",1,1120,9,"100555000100000001-0000     3B",1810000,1991968.57478276,c(-73.9911001572126, 40.7311910220618)
"5861",4,4170,5,"401506006200000001-0000     6J",315000,285053.907446212,c(-73.881548472026, 40.7450312982727)
"5862",1,1271,2,"101560000500000001-0000     1N",400000,406983.523487497,c(-73.9513949552077, 40.7729397132148)
"5863",1,1270,10,"101404001400000001-0000    10B",4875000,3896286.41171945,c(-73.9637174597294, 40.7687764080308)
"5864",4,4240,9,"408489000100000002-0000     2V",475000,417537.446552142,c(-73.7142119283782, 40.7567797984328)
"5865",1,1200,7,"101312002800000001-0000     9G",990000,474857.819724784,c(-73.9680535857936, 40.7607793824496)
"5866",3,3420,10,"301006001800000001-0000     1R",1225000,1161927.24891978,c(-73.9826653497601, 40.6680138380638)
"5867",3,3330,2,"306802003600000001-0000    D10",260000,248276.893463168,c(-73.953323673094, 40.6070997122958)
"5868",1,1291,1,"102180063300000006-0000     6H",370000,383483.046540977,c(-73.9322126897869, 40.8586691321111)
"5869",3,3040,4,"306316004300000001-0000     D2",365000,325420.448196736,c(-73.9965981006826, 40.6066861650497)
"5870",1,1290,8,"102134019500000001-0000     2A",1300000,1197072.31277317,c(-73.9459697805749, 40.8347720856255)
"5871",1,1070,6,"100450004900000001-0000      3",850000,847811.126687821,c(-73.9866272398082, 40.7284088987102)
"5872",1,1270,4,"101446002300000001-0000  A1100",625000,763675.051331057,c(-73.9567296656672, 40.7676355726799)
"5873",4,4100,3,"409711003200000002-0000     1C",270000,279899.29157877,c(-73.8163081305868, 40.7092574255909)
"5874",1,1282,8,"101890005300000001-0000     2B",1350000,1308040.86611678,c(-73.9701339866283, 40.800020937163)
"5875",1,1220,2,"100866006400000001-0000    10M",450000,482524.834797886,c(-73.9820636471113, 40.7495599441394)
"5876",2,2300,10,"205745001200000001-0000     5J",548000,569156.01961827,c(-73.9210420064715, 40.8831030060619)
"5877",4,4050,1,"407348000100000016-0000     1C",200000,213042.766063513,c(-73.765027929824, 40.7566532080161)
"5878",1,1201,3,"101330003800000001-0000    14E",515000,439777.425525655,c(-73.9667975189131, 40.7596297479267)
"5879",1,1030,5,"100744006300000001-0000     1A",795000,759600.649420657,c(-74.0016059995143, 40.7446949571236)
"5880",3,3150,8,"301901000100000001-0000     5G",799000,701549.017788156,c(-73.9690387508695, 40.6918148040343)
"5881",4,4050,2,"405958010000000001-0000     3E",215000,248856.189709454,c(-73.774863980502, 40.7815730330188)
"5882",3,3400,5,"306503002000000001-0000     5O",459000,455792.972289166,c(-73.9720146703384, 40.6288966651209)
"5883",1,1100,5,"100857001800000001-0000     4H",710000,903748.780243142,c(-73.9863526255524, 40.7437439243254)
"5884",1,1270,3,"101447000900000001-0000     2A",565000,589216.301792917,c(-73.9571780524318, 40.7687620442526)
"5885",1,1202,1,"101046003800000001-0000     9J",382500,483032.737724442,c(-73.9841794586199, 40.7661424712365)
"5886",1,1120,5,"100523003800000001-0000     3M",745000,861615.00309449,c(-73.9964058809969, 40.726582525945)
"5887",4,4210,4,"404994005100000001-0000     2M",290000,307175.22337009,c(-73.8242292551514, 40.7662319106841)
"5888",1,1280,5,"101122002300000001-0000     1C",750000,784776.322583213,c(-73.9780467607924, 40.7748168118348)
"5889",3,3230,2,"305247000100000001-0000     1G",280000,279780.350389938,c(-73.9515949165527, 40.6338151786988)
"5890",3,3330,2,"307299000100000001-0000     4J",269876,259165.308259582,c(-73.9518592540747, 40.6037675028922)
"5891",1,1270,5,"101408002200000001-0000     6B",775000,883312.889256637,c(-73.9612053961257, 40.7711416240445)
"5892",4,4560,7,"400184003700000001-0000     1M",380000,383101.195453362,c(-73.9222704451287, 40.7457375857961)
"5893",4,4210,3,"404772000100000003-0000     1F",250000,254983.588800099,c(-73.8255802117498, 40.7734546581917)
"5894",1,1202,2,"101046003800000001-0000    12D",470000,480705.991868287,c(-73.9841794586199, 40.7661424712365)
"5895",3,3500,6,"300758004800000001-0000     3D",535000,540741.987444905,c(-74.0043873964008, 40.6445416101987)
"5896",4,4440,5,"407844000200000021-5000      B",310000,358698.575447085,c(-73.7439990984253, 40.7372618720672)
"5897",3,3420,10,"300986001000000001-0000      4",2000001,1873304.5932443,c(-73.9812657696953, 40.670853777713)
"5898",1,1110,2,"100880004200000001-0000     6J",495000,530621.03873804,c(-73.9827619452082, 40.739870819936)
"5899",1,1270,1,"101467000100000001-0000     8K",335000,384720.934532989,c(-73.955493735321, 40.767895602611)
"5900",3,3440,9,"301164004200000001-0000     3F",980000,1172954.41051646,c(-73.9701857319159, 40.6767107632707)
"5901",4,4470,3,"402114000100000001-0000     3H",261000,308538.674278555,c(-73.8553375934609, 40.7300816303446)
"5902",1,1280,9,"101186005900000001-0000     7D",2072500,2121931.20448508,c(-73.9824174674279, 40.7842307476505)
"5903",1,1270,1,"101397006900000001-0000   1405",270000,476006.528887187,c(-73.9676340285185, 40.765022379549)
"5904",3,3520,7,"305280000800000001-0000     5M",575000,507811.59158808,c(-73.9801974149988, 40.6489130803931)
"5905",4,4220,3,"402186003800000006-0000     2A",260000,254312.941962667,c(-73.8445295528106, 40.7320476979728)
"5906",1,1271,7,"101565002900000001-0000    27F",1200000,1327181.06290021,c(-73.9478840306659, 40.7758797850368)
"5907",3,3020,3,"306133002500000001-0000     5E",328000,327099.275672042,c(-74.0355757749076, 40.6139917324923)
"5908",4,4210,8,"405023003900000001-0000     7F",410000,410516.588416249,c(-73.8224205587014, 40.7606129227226)
"5909",1,1271,1,"101535000600000002-0000     3C",330950,348405.205985882,c(-73.9518165283825, 40.7806774107768)
"5910",4,4050,2,"407349000100000015-0000     1A",220000,242050.498314306,c(-73.7640803706605, 40.7568644372392)
"5911",1,1201,1,"101334002200000001-0000   1006",268000,287547.653237579,c(-73.970510856595, 40.7486411257224)
"5912",4,4210,10,"405145005500000001-0000     4R",566000,490092.520875233,c(-73.8219016346809, 40.7526164901163)
"5913",1,1201,2,"101335002200000001-0000    511",435000,444740.165185482,c(-73.969992974262, 40.7493465828214)
"5914",3,3512,8,"302305000800000001-0000      1",772500,714045.428385403,c(-73.9559389576275, 40.7192425107065)
"5915",1,1280,2,"101183002900000001-0000   1004",450000,424374.923744398,c(-73.9851037175363, 40.779380437522)
"5916",4,4320,9,"401277000100000002-0000    B24",437000,393820.908401123,c(-73.8888194905287, 40.7510932604749)
"5917",4,4240,7,"408489000100000001-0000    11D",380000,428769.270298548,c(-73.7142119283782, 40.7567797984328)
"5918",1,1281,4,"101252007500000001-0000    408",680000,596072.843402246,c(-73.9760299841857, 40.7945048287071)
"5919",3,3480,2,"307456000600000001-0000     4E",285000,273424.879356209,c(-73.9574654132124, 40.587190158087)
"5920",1,1281,2,"101204001600000001-0000     5H",493000,536089.868139509,c(-73.9686941826875, 40.7886193413378)
"5921",1,1180,6,"100263000800000001-0000  A1404",835000,875783.906154028,c(-73.9789832236522, 40.7129513545995)
"5922",3,3480,1,"307423001100000002-0000     3J",195000,200921.158019285,c(-73.938980012222, 40.5928629258896)
"5923",3,3200,4,"300266001200000001-0000     2H",387000,405928.487806593,c(-73.9905156576801, 40.6916554021175)
"5924",1,1281,4,"101245003400000001-0000     5E",652500,689412.710577986,c(-73.980246064312, 40.7870866898536)
"5925",1,1070,5,"100431003100000001-0000     3B",785000,803426.091248314,c(-73.9854684624705, 40.7239702381653)
"5926",1,1291,4,"102177015400000001-0000     56",683000,724412.406412228,c(-73.9394496793285, 40.8499291332463)
"5927",1,1270,8,"101409003300000001-0000    12C",1361000,1371141.52741282,c(-73.9598339504415, 40.7713516815786)
"5928",1,1270,10,"101383000100000001-0000  0003H",3250000,3081593.24788873,c(-73.968354861499, 40.7698961454353)
"5929",4,4560,7,"400178002500000021-0000     7G",375000,354122.080467567,c(-73.9228462131897, 40.7390886448708)
"5930",1,1271,4,"101581001200000004-0000     4B",635000,612788.752513531,c(-73.9466971980609, 40.7742675798272)
"5931",1,1202,8,"101049000100000001-0000    3MS",1500000,1332161.54376887,c(-73.9841248570306, 40.7689490314921)
"5932",1,1271,3,"101565002800000001-0000    11B",512500,532652.785957625,c(-73.9475731461559, 40.7758020915608)
"5933",3,3080,8,"308721037500000001-0000     8J",790000,725597.129373268,c(-73.9559325823545, 40.5759725477451)
"5934",1,1201,2,"101328003000000001-0000     4A",407000,395050.092371224,c(-73.9670495652647, 40.758098823455)
"5935",1,1280,3,"101121002900000001-0000     3H",565000,784015.090960444,c(-73.9781369282782, 40.774014276247)
"5936",1,1270,6,"101444001500000001-0000    11A",860000,833795.699080438,c(-73.9580554563646, 40.7663899889907)
"5937",3,3400,5,"305417005800000001-0000     5B",418000,469205.426366901,c(-73.9709184966734, 40.6330347707888)
"5938",3,3400,2,"306614001700000001-0000     5N",265000,275946.338217481,c(-73.9658739093247, 40.6113799559533)
"5939",1,1281,10,"101195001800000001-0000     4E",4250000,3961012.55834156,c(-73.9725781792327, 40.7828657131089)
"5940",4,4140,1,"401949010600000001-0000     4N",195000,239095.757609997,c(-73.8579884895663, 40.7382245756725)
"5941",1,1201,2,"101367003500000001-0000     2D",449000,485829.250848853,c(-73.962468475724, 40.7569861885574)
"5942",4,4470,1,"402101000100000001-0000    7GG",170000,167849.408299211,c(-73.8579406304101, 40.730075432649)
"5943",4,4320,10,"401267005100000001-0000     52",1100000,1072356.61306547,c(-73.8863988920393, 40.752407842226)
"5944",2,2300,9,"205953003800000001-0000     9G",500000,482440.101059107,c(-73.9058351988851, 40.906974041001)
"5945",4,4060,9,"404588003800000018-0000     9C",459000,439820.850913722,c(-73.7979083623854, 40.7932851185991)
"5946",3,3350,1,"308819001100000002-0000     5A",225000,210443.224864027,c(-73.9328810656955, 40.6015428457008)
"5947",3,3420,10,"300962001500000001-0000     3L",1250000,1209124.88735308,c(-73.9805558157191, 40.6746056314498)
"5948",1,1120,9,"100522000400000001-0000     3R",2500000,2820430.66564627,c(-73.9960174425892, 40.7256607833209)
"5949",4,4590,4,"401111000100000011-0000    F4F",280000,304644.223731538,c(-73.9059545133664, 40.7582907935241)
"5950",1,1271,3,"101508003800000001-0000    16E",575000,831167.077605876,c(-73.9573595660448, 40.7748911085789)
"5951",4,4370,3,"403322002400000004-0000     4N",250000,261700.095249344,c(-73.8329831364134, 40.706009586921)
"5952",1,1281,7,"101244000100000001-0000     1J",1195000,1149925.0461332,c(-73.9820365966297, 40.7850138429255)
"5953",3,3420,10,"301067004500000001-0000     3E",1300000,1252056.12875029,c(-73.9739547079929, 40.6724881499116)
"5954",4,4330,1,"409834004100000001-0000     2P",163000,173965.770341112,c(-73.7857226310216, 40.7116192562072)
"5955",4,4220,9,"402152010100000002-0000     3E",450000,338972.985615352,c(-73.8496737846812, 40.7300922937684)
"5956",3,3420,9,"301089006700000001-0000     3L",971949,995129.574603705,c(-73.9780888549351, 40.666313991505)
"5957",1,1201,8,"101368002400000001-0000     3E",1295000,1099411.43472638,c(-73.9614961029844, 40.7570298192381)
"5958",1,1220,1,"100867005700000001-0000     5F",380000,573392.233258636,c(-73.9815207792645, 40.7502127306809)
"5959",1,1160,3,"100930000100000001-0000    18P",560000,605132.552172421,c(-73.9797767650769, 40.7386766163969)
"5960",1,1270,4,"101431002100000001-0000     9F",630000,598043.117261267,c(-73.9566451604174, 40.7717114268924)
"5961",4,4050,9,"405958010000000001-0000     6B",432000,425664.112784416,c(-73.774863980502, 40.7815730330188)
"5962",4,4220,10,"402234000600000001-0000    422",535000,458106.845810004,c(-73.8405398336723, 40.7223753198179)
"5963",4,4390,2,"408256010800000002-0000     3P",215000,229457.147799659,c(-73.7258707216297, 40.7657529221731)
"5964",1,1120,6,"100564005400000001-0000    10G",915000,980073.444564708,c(-73.9902790069765, 40.7330984591866)
"5965",4,4440,4,"40762800020000036-10000  UPPER",295000,325567.075794299,c(-73.7585668213831, 40.7438405480879)
"5966",4,4300,1,"410535001000000002-0000    A52",177500,184690.930101395,c(-73.7619942165636, 40.7226565765626)
"5967",4,4320,3,"401440000100000001-0000     6N",265000,346398.114528514,c(-73.8754341672878, 40.7556577075962)
"5968",1,1270,7,"101399001000000001-0000      3",1064250,992555.936986924,c(-73.9664172134991, 40.7658236292023)
"5969",1,1180,4,"100311001300000010-0000  K0301",677000,827555.439048306,c(-73.9880777776326, 40.715404258894)
"5970",4,4240,8,"408489000100000003-0000    26S",402500,422810.959574204,c(-73.7142119283782, 40.7567797984328)
"5971",2,2300,9,"205904008600000001-0000     8G",410000,534447.896608059,c(-73.9102431827412, 40.8892827643628)
"5972",4,4590,4,"401111000100000015-0000    H6E",290000,310769.637697582,c(-73.9059545133664, 40.7582907935241)
"5973",4,4470,6,"403152002100000001-0000     6A",330000,314838.662165892,c(-73.8582709154416, 40.723343569516)
"5974",3,3480,2,"307369002700000006-0000     5B",272000,266863.935372,c(-73.9354389667063, 40.5996255238159)
"5975",1,1121,7,"100607003800000001-0000     3D",1035000,929497.38657555,c(-73.9983668659649, 40.7360130509613)
"5976",4,4590,8,"401111000100000001-0000    I4D",410000,413393.527158031,c(-73.9059545133664, 40.7582907935241)
"5977",1,1190,8,"101840002900000001-0000     1B",1300000,1490873.86190777,c(-73.9612166212542, 40.7970840013912)
"5978",1,1060,5,"101067002800000001-0000     6G",745000,693945.517284638,c(-73.9859882550218, 40.7683363388224)
"5979",4,4240,2,"408443000100000118-6000    A22",230000,264967.883080033,c(-73.719628123709, 40.7528795791629)
"5980",1,1121,6,"100616000100000001-0000    11C",815000,833866.603930465,c(-74.0035714340675, 40.7382848713548)
"5981",4,4050,8,"405958010000000001-0000     4G",399888,416123.125174962,c(-73.774863980502, 40.7815730330188)
"5982",1,1220,6,"100909000100000001-0000     9G",859500,805910.549456422,c(-73.9802762865412, 40.7420132635997)
"5983",4,4370,2,"409265000100000001-0000   002J",230000,242338.47758233,c(-73.8317212870208, 40.7025483240489)
"5984",1,1291,1,"102177024200000001-0000     1I",395000,410769.051555869,c(-73.9419731520892, 40.8513597937379)
"5985",3,3020,1,"306121000300000001-0000     3H",230000,360723.550264084,c(-74.0352717773794, 40.6166745278099)
"5986",4,4040,10,"400528005000000007-0000    12A",635000,527402.481083378,c(-73.9342222867243, 40.7639054108203)
"5987",3,3400,8,"305400009100000001-0000     6J",775000,773201.365216351,c(-73.9720040704367, 40.6356471189144)
"5988",4,4220,9,"402236003300000001-0000     3D",500000,499421.065107082,c(-73.8387394319176, 40.7212325796259)
"5989",1,1121,9,"100624000100000001-0000     6H",1995000,1692164.31460031,c(-74.0062274407745, 40.7367117955329)
"5990",3,3330,6,"306818002500000001-0000     F5",499000,417708.163459949,c(-73.9597614940046, 40.6044650639439)
"5991",3,3420,3,"301080003500000001-0000     5L",317500,266169.894457419,c(-73.9766539751782, 40.669317074116)
"5992",1,1271,10,"101499000100000001-0000     9B",19500000,18588337.9158179,c(-73.9592898904256, 40.7821917744375)
"5993",3,3480,1,"307464003500000001-0000     1N",190000,272545.659164058,c(-73.9495199029959, 40.5865700605821)
"5994",4,4210,5,"405016000700000007-0000    E34",320000,329896.878468968,c(-73.8179013540483, 40.7643546648156)
"5995",1,1271,5,"101532002200000001-0000    23J",715000,632946.236939664,c(-73.9518299911583, 40.7783868794818)
"5996",1,1281,7,"101248002500000001-0000     5A",1250000,1179701.41032247,c(-73.9784080749472, 40.7894176131511)
"5997",1,1281,8,"101224002900000001-0000    21A",1500000,1317491.57011475,c(-73.9690396609464, 40.7914095647966)
"5998",3,3400,1,"305495101400000001-0000     1D",230000,252226.693585111,c(-73.9705093414895, 40.619712401702)
"5999",1,1271,2,"101522002000000001-0000     1F",470000,476335.83746402,c(-73.9518786434269, 40.7839400367331)
"6000",4,4370,2,"403323000100000001-0000    224",215000,209058.043651017,c(-73.8364986223172, 40.7079872162821)
"6001",4,4440,5,"407648000200000005-3000   561A",315000,312038.096728068,c(-73.7522446141501, 40.7492952922735)
"6002",1,1110,8,"100898000100000001-0000    17C",1338500,1417677.29255237,c(-73.9852643051331, 40.7353660998806)
"6003",1,1120,9,"100574006700000001-0000     7D",2500000,1443612.52761906,c(-73.9976359984015, 40.7345806315293)
"6004",1,1030,7,"100796000700000002-0000     3E",1130000,1010344.94531101,c(-73.9961181115399, 40.7420861418756)
"6005",1,1291,7,"102179001000000002-0000    096",1243000,1283765.55632176,c(-73.9400594375885, 40.8534031928776)
"6006",1,1230,6,"100520002900000001-0000     2J",952500,872378.560720409,c(-74.0035041571696, 40.7282328842125)
"6007",3,3330,1,"306796001700000001-0000     3A",239000,193956.079536421,c(-73.9592263756166, 40.6072377460951)
"6008",1,1110,3,"100877007400000001-0000    13L",500000,458486.402904853,c(-73.98573982653, 40.7388301636605)
"6009",1,1270,4,"101394000700000001-0000    16E",675000,778911.479146313,c(-73.9686455940789, 40.7628128382322)
"6010",1,1270,2,"101427000100000001-0000     2G",425000,317360.636801251,c(-73.9600003047299, 40.7699577811144)
"6011",4,4290,4,"407912000200000001-0000     4M",290000,323027.923796244,c(-73.7457003343795, 40.7349659132194)
"6012",3,3232,8,"305048003400000001-0000     M2",703500,732015.33315409,c(-73.9577475892931, 40.6563836322829)
"6013",4,4330,2,"409835000300000001-0000     5K",221900,208600.062188313,c(-73.7874941898549, 40.7123125033642)
"6014",2,2200,7,"202461009400000001-0000    14E",321000,344329.552596698,c(-73.9201361445309, 40.8301511750641)
"6015",1,1270,4,"101447001900000001-0000    25B",677500,631144.678848977,c(-73.9564599780601, 40.7683018702458)
"6016",4,4050,5,"405958010000000002-0000     6A",315000,303590.353511599,c(-73.774863980502, 40.7815730330188)
"6017",1,1291,8,"102179001000000002-0000    019",1425000,1332538.82716397,c(-73.9400594375885, 40.8534031928776)
"6018",1,1202,7,"101270002000000001-0000     7D",1100000,813149.327582653,c(-73.9765299621532, 40.7619370826704)
"6019",4,4210,7,"405002004200000002-0000     3F",350000,342755.788917263,c(-73.8256345252182, 40.7650273442211)
"6020",3,3020,5,"305861004300000001-0000     4K",415000,463736.817406639,c(-74.0287403989756, 40.6373070917077)
"6021",4,4060,8,"404603004800000020-0000     6D",399888,398848.133132091,c(-73.7966139708793, 40.7931797382817)
"6022",4,4390,8,"40836300010000003-27000   1124",385000,348468.840517985,c(-73.725541009333, 40.7571409008277)
"6023",1,1100,5,"100817008500000001-0000     9G",705000,841580.897160918,c(-73.9955297123488, 40.7383207979066)
"6024",1,1271,8,"101566001700000001-0000     9H",1479000,1287548.67941799,c(-73.9475849356746, 40.7764324923251)
"6025",1,1280,10,"101118002200000001-0000    23E",3700000,2413403.27224323,c(-73.9797499795427, 40.7724006596486)
"6026",1,1110,3,"100905002600000001-0000    16F",525000,573344.32516702,c(-73.9805910177636, 40.7388700344371)
"6027",1,1120,4,"100564002600000001-0000    401",675000,1010054.92810347,c(-73.9917863000934, 40.7337611829998)
"6028",4,4210,7,"405042002300000001-0000     41",378000,369479.574134473,c(-73.8301205267422, 40.7565178410846)
"6029",1,1120,9,"100564002600000001-0000    101",2200000,2032574.02937363,c(-73.9917863000934, 40.7337611829998)
"6030",1,1291,1,"102180052200000001-0000     5S",340000,357243.053177392,c(-73.9328743326719, 40.8577504989919)
"6031",1,1282,2,"101887003600000001-0000     5F",449000,615769.237460037,c(-73.9741129592809, 40.7962536288974)
"6032",4,4440,6,"407840000200000010-1000      B",337000,353539.212725024,c(-73.7456870753844, 40.7379550860608)
"6033",1,1030,8,"100720003800000001-0000      2",1350000,1180494.48731644,c(-74.0023258897447, 40.7462993219459)
"6034",1,1271,4,"101569001600000001-0000     7A",610000,726385.326981735,c(-73.945978398715, 40.7783204283545)
"6035",4,4210,8,"404772000100000007-0000     5H",413000,405095.548583567,c(-73.8255802117498, 40.7734546581917)
"6036",4,4040,9,"400557000300000001-0000     5A",475000,462991.666254863,c(-73.9317116636673, 40.7626039028715)
"6037",4,4150,7,"40827600200000001-88000    10L",377000,351717.60723989,c(-73.7344367406158, 40.7582850094731)
"6038",1,1270,6,"101440000500000001-0000    PHD",895000,968736.343851994,c(-73.9606578579836, 40.7642539233405)
"6039",5,5150,6,"504640002200000002-0000     2B",254000,243116.190882548,c(-74.1447704339718, 40.5523652208384)
"6040",1,1270,9,"101401005400000001-0000     3B",2000000,1726253.59293504,c(-73.9642905985353, 40.7668910322637)
"6041",1,1271,8,"101544001900000001-0000    20A",1595000,1097329.09226182,c(-73.9520535841124, 40.7740450570933)
"6042",1,1270,9,"101383000100000001-0000  0012E",2500000,2152511.70445996,c(-73.968354861499, 40.7698961454353)
"6043",4,4320,5,"401418000100000003-0000    103",320000,312287.168917199,c(-73.8795217563289, 40.7572751444081)
"6044",1,1282,10,"101892000600000001-0000     6A",2900000,2809625.15935776,c(-73.9692639938007, 40.8022400407003)
"6045",3,3400,2,"306614001700000001-0000     4G",260000,274233.713987865,c(-73.9658739093247, 40.6113799559533)
"6046",1,1220,4,"100890004900000001-0000     4E",599000,588363.387676868,c(-73.9780468556265, 40.7463543673728)
"6047",1,1271,5,"101544001900000001-0000     3N",799000,776005.526622645,c(-73.9520535841124, 40.7740450570933)
"6048",4,4560,6,"400177000100000011-0000     4F",330000,345906.280336742,c(-73.92195714688, 40.7386545460736)
"6049",1,1282,2,"101871002000000001-0000    19A",412000,509059.463246859,c(-73.9698964432531, 40.7965557221603)
"6050",4,4320,9,"401457000100000001-0000     5M",445000,421113.082269262,c(-73.8833925642916, 40.7515198585783)
"6051",3,3080,3,"308679000700000001-0000     O6",325000,319045.639694865,c(-73.9679286312978, 40.5757482112301)
"6052",1,1140,2,"102243021000000001-0000    B28",425000,410529.04261798,c(-73.9170642164202, 40.8706312880814)
"6053",1,1230,10,"100485003600000002-0000      4",3525000,3321824.89826691,c(-74.0007616672882, 40.7225067366834)
"6054",1,1271,10,"101512000100000001-0000     7B",6700000,6667969.31113526,c(-73.9579729744906, 40.7781867740345)
"6055",4,4220,7,"402225001900000001-0000     3L",378000,403254.79890094,c(-73.8413996173451, 40.7212958539927)
"6056",3,3420,8,"301076004000000001-0000      2",794235,928152.17368771,c(-73.9756526457298, 40.6704723114273)
"6057",3,3400,2,"306568003300000001-0000  0008B",280000,289231.608039641,c(-73.9695279400628, 40.6153626934048)
"6058",1,1160,1,"100927001500000001-0000     M5",313975,329725.077008732,c(-73.9804826394705, 40.7362776369281)
"6059",1,1280,9,"101184001900000001-0000     5E",1800000,1706394.58292972,c(-73.9844291461336, 40.7804016317445)
"6060",2,2180,6,"203226005300000001-0000    17G",278000,266208.767756012,c(-73.9077536434926, 40.864591539613)
"6061",1,1120,3,"100577002400000001-0000   04LN",505000,534281.313739509,c(-73.9953195395231, 40.7362755052141)
"6062",2,2300,8,"205796010700000001-0000     3C",355000,296720.75962844,c(-73.9081471574378, 40.8866364263584)
"6063",1,1271,2,"101519004600000001-0000     5K",489100,454900.145267725,c(-73.9528224182584, 40.7822475634987)
"6064",3,3090,10,"300252000800000001-0000     6E",1325000,1318223.88150649,c(-73.9982421327046, 40.6942034165488)
"6065",1,1270,9,"101395002900000001-0000     6C",2500000,1526733.73756019,c(-73.9666597277084, 40.7626548218458)
"6066",4,4320,7,"401274002000000002-0000     1E",365000,363873.137325746,c(-73.8914270422882, 40.7497970727547)
"6067",3,3520,5,"305280000800000002-0000     4T",410000,496216.141040572,c(-73.9801974149988, 40.6489130803931)
"6068",2,2030,1,"203343007600000001-0000     6E",117500,127113.553388521,c(-73.8765798459573, 40.8758498315655)
"6069",3,3440,7,"301176003600000001-0000     6F",620000,670701.266620593,c(-73.9640974725792, 40.6735505852367)
"6070",1,1201,7,"101333001800000001-0000    8BS",1080000,1006171.08898289,c(-73.9716420422141, 40.7482961634848)
"6071",4,4440,5,"40765600020000009-11000      B",300000,318434.343230953,c(-73.7546199589141, 40.7465041054723)
"6072",3,3150,9,"301902000100000004-0000    14F",972000,953749.915473829,c(-73.9681310607595, 40.6922421297711)
"6073",4,4320,7,"401266000100000001-0000     7M",363000,407210.10691417,c(-73.8872810312609, 40.7530390921639)
"6074",4,4220,9,"403193000100000001-0000     1H",445000,406209.246296588,c(-73.8564041645521, 40.7132003226153)
"6075",3,3360,5,"306701006400000003-0000    310",450000,457083.268000021,c(-73.9597151082356, 40.6287823582442)
"6076",1,1120,5,"100542001100000001-0000     2F",706388,923773.791877151,c(-74.0013563194923, 40.7302440226405)
"6077",2,2300,2,"205723008400000002-0000     5B",148500,158461.520672065,c(-73.9185814156022, 40.8784495830608)
"6078",2,2300,5,"205873104200000001-0000     3C",245000,257714.863262846,c(-73.8969290288073, 40.9085708459862)
"6079",3,3080,7,"308680000100000002-0000    12A",570000,552215.634818643,c(-73.9671095231509, 40.5754784913281)
"6080",5,5230,5,"500018009900000001-0000    A2G",245000,228448.124109188,c(-74.0799943092564, 40.641423993259)
"6081",1,1070,1,"100461002400000001-0000     1C",359000,393721.732703677,c(-73.9893231183625, 40.7274931671257)
"6082",4,4250,6,"403880009700000001-0000    10J",330000,391658.816649678,c(-73.8548589985539, 40.7060068502733)
"6083",4,4220,4,"402133001600000002-0000  T009C",289000,430293.22151092,c(-73.8508390529811, 40.7283478634108)
"6084",2,2300,10,"205902019300000001-0000     2C",595000,569960.440887025,c(-73.9130436743403, 40.8866602379448)
"6085",4,4220,8,"402237000100000001-0000    28J",425000,447617.719803766,c(-73.8395641228239, 40.720253177247)
"6086",1,1110,8,"100897000100000001-0000     2J",1540000,888594.348098125,c(-73.9862282624743, 40.7340419852064)
"6087",1,1110,5,"100907005600000001-0000    10U",712000,712096.896711939,c(-73.9809426313723, 40.7408997795043)
"6088",1,1120,3,"100548004500000001-0000     2B",525000,642299.586011787,c(-73.9943499991192, 40.7304280449441)
"6089",3,3090,4,"300226003500000001-0000     2J",390000,405726.428990159,c(-73.9934457713946, 40.6985166086339)
"6090",1,1201,5,"101367000100000001-0000    17O",705000,884033.115324823,c(-73.9631217477455, 40.7570988822293)
"6091",1,1270,3,"101451003800000002-0000      2",550000,461506.173411467,c(-73.9548519059, 40.7712798913148)
"6092",1,1271,6,"101566000100000001-0000    18J",899000,1085256.52296457,c(-73.9487759521699, 40.7769315526863)
"6093",4,4210,10,"405374001600000001-0000     5E",510000,479964.623219941,c(-73.8194318821809, 40.7587681336446)
"6094",1,1270,3,"101473001800000001-0000    15N",550050,684075.21084071,c(-73.9514011434577, 40.7714445135704)
"6095",3,3070,8,"305612003400000003-0000     3C",800000,817907.214124561,c(-73.9854193290466, 40.6352646952772)
"6096",3,3201,3,"300086001100000007-0000     6J",320000,317630.941615554,c(-73.9878532443117, 40.6978012627673)
"6097",4,4220,8,"403180004100000001-0000     1G",385000,374937.471338512,c(-73.8582548106166, 40.7151706222828)
"6098",1,1280,9,"101142002900000003-0000     2R",2025000,827380.288412733,c(-73.9800504380574, 40.7764816045596)
"6099",1,1201,2,"101365002000000001-0000    2MN",425000,708290.341986395,c(-73.9628523541684, 40.7553462616477)
"6100",4,4320,7,"401274002000000003-0000     1E",370000,366576.701075176,c(-73.8914270422882, 40.7497970727547)
"6101",4,4240,3,"40840103500000001-23000   142A",269000,231365.380081994,c(-73.7217556618658, 40.7508521895601)
"6102",4,4240,2,"408401035000000001-8000   134A",218000,231365.380081994,c(-73.7217556618658, 40.7508521895601)
"6103",1,1202,3,"101036001400000001-0000   1015",522000,598917.230216094,c(-73.9896307729351, 40.7599315186929)
