NEIGHBORHOOD,decile,n,ci_new,ci_population,ci_sample,ci_model,ci_assessr,ci_rineq,gini_new,gini_population,gini_sample,gini_model,gini_assessr,gini_DescTools,ki_new,ki_population,ki_sample,ki_model,ki_assessr,mki_new,mki_population,mki_sample,mki_model,mki_assessr
1010,1,7,0.1315703849359767,0.1534987824253062,0.13157038493597675,0.15349878242530618,0.13157038493597664,0.1315703849359769,0.11894839093786229,0.13877312276083936,0.1189483909378623,0.1387731227608393,0.11894839093786226,0.13877312276083933,0.012621993998114409,0.014725659664466845,0.01262199399811445,0.014725659664466801,0.01262199399811438,1.1061131966443165,1.1061131966443167,1.1061131966443167,1.1061131966443165,1.1061131966443163
1010,2,19,0.004292013413325774,0.004323800814289715,0.00409623235037973,0.0043238008142897355,0.0029750751327214096,0.00297507513272112,0.033383641968064426,0.03678830803873046,0.03485208129984991,0.03678830803873046,0.034852081299849964,0.036788308038730434,-0.029091628554738652,-0.03246450722444075,-0.03075584894947018,-0.03246450722444074,-0.03187700616712855,0.12856636245474998,0.11753192915905915,0.11753192915905915,0.1175319291590601,0.08536291153246613
1010,3,3,0.030933809186424157,0.046400713779636234,0.030933809186424154,0.04640071377963617,0.03093380918642404,0.030933809186424133,0.030770089152930225,0.04615513372939536,0.03077008915293024,0.046155133729395344,0.030770089152930186,0.04615513372939535,1.6372003349393247e-4,2.4558005024087615e-4,1.6372003349391512e-4,2.4558005024087024e-4,1.6372003349385267e-4,1.0053207526530141,1.0053207526530135,1.0053207526530135,1.0053207526530117,1.0053207526530115
1010,4,6,-0.03770431130679811,-0.04524517356815773,-0.03770431130679811,-0.04524517356815783,-0.0377043113067983,-0.03770431130679818,0.015310586176727906,0.018372703412073494,0.015310586176727913,0.01837270341207346,0.01531058617672798,0.01837270341207349,-0.053014897483526016,-0.06361787698023122,-0.05301489748352602,-0.06361787698023122,-0.05301489748352628,-2.462630161352586,-2.4626301613525845,-2.4626301613525845,-2.4626301613526205,-2.462630161352586
1010,5,8,0.033082259073938296,0.046806517451044354,0.04095570276966381,0.046806517451044326,0.03340021708703178,0.033400217087031975,0.01640759930915372,0.0231926967678263,0.020293609671848012,0.02319269676782628,0.020293609671848012,0.023192696767826305,0.016674659764784577,0.023613820683218052,0.020662093097815797,0.023613820683218056,0.013106607415183769,2.0162766319800283,2.0181576088200295,2.0181576088200295,2.018157608820037,1.645848995182247
1010,6,3,0.01268058091650052,0.019020871374750763,0.012680580916500508,0.0190208713747507,0.012680580916500261,0.012680580916500423,0.008351976137211059,0.012527964205816556,0.008351976137211036,0.012527964205816474,0.008351976137210984,0.01252796420581655,0.004328604779289461,0.006492907168934208,0.004328604779289471,0.006492907168934161,0.004328604779289277,1.5182731258059956,1.5182731258059983,1.5182731258059983,1.5182731258059894,1.5182731258059783
1010,7,10,0.019570660525467347,0.02174517836163041,0.01957066052546737,0.0217451783616304,0.01957066052546743,0.01957066052546737,0.034641134884591966,0.03849014987176886,0.03464113488459197,0.03849014987176888,0.034641134884591904,0.03849014987176886,-0.01507047435912462,-0.01674497151013845,-0.015070474359124602,-0.016744971510138453,-0.015070474359124474,0.5649543697303111,0.5649543697303117,0.5649543697303117,0.564954369730311,0.5649543697303145
1010,8,3,-0.0030520602494659168,-0.0034335677806491827,-0.002289045187099455,-0.003433567780649098,-0.014125296551792399,-0.014125296551792324,0.001141064042219364,0.001283697047496791,8.557980316645274e-4,0.0012836970474968592,8.557980316646526e-4,0.0012836970474967904,-0.004193124291685281,-0.004717264828145974,-0.0031448432187639822,-0.004717264828145929,-0.014981094583457052,-2.6747493011257055,-2.6747493011257126,-2.674749301125712,-2.6747493011234154,-16.505409020766997
1010,9,2,0.006399454345956818,0.012798908691913654,0.006399454345956827,0.012798908691913517,0.006399454345956679,0.006399454345956762,0.016938519447929762,0.033877038895859475,0.016938519447929738,0.03387703889585951,0.01693851944792968,0.03387703889585947,-0.010539065101972944,-0.02107813020394582,-0.01053906510197291,-0.021078130203945895,-0.010539065101973,0.3778048232390797,0.3778048232390808,0.3778048232390808,0.3778048232390764,0.3778048232390734
1030,1,14,0.08665220397251748,0.09331775812424963,0.08665220397251751,0.09331775812424965,0.08665220397251742,0.08665220397251748,0.08876933388701982,0.09559774418602136,0.08876933388701984,0.09559774418602138,0.08876933388701984,0.09559774418602128,-0.0021171299145023442,-0.0022799860617717382,-0.0021171299145023303,-0.0022799860617717118,-0.0021171299145024136,0.9761502106437241,0.9761502106437243,0.9761502106437243,0.9761502106437242,0.9761502106437233
1030,2,26,0.009022253149195783,0.008460727821186589,0.008135315212679413,0.008460727821186611,0.007729215064868182,0.007729215064868139,0.0320580323409956,0.03391639943672011,0.0326119225353078,0.033916399436720104,0.03261192253530773,0.03391639943672007,-0.02303577919179982,-0.025455671615533523,-0.024476607322628387,-0.0254556716155335,-0.02488270747043955,0.2814350254946304,0.24945831402216745,0.24945831402216748,0.24945831402217067,0.23700580842788538
1030,3,44,0.010591758863979268,0.010186055332636867,0.009954554075076939,0.010186055332636852,0.01007256647748908,0.010072566477488902,0.029611105526658174,0.029952079785609032,0.029271350699572464,0.029952079785608984,0.02927135069957242,0.029952079785608998,-0.019019346662678904,-0.019766024452972167,-0.019316796624495525,-0.019766024452972174,-0.01919878422208334,0.3576954887565329,0.34007839874715223,0.34007839874715223,0.34007839874715495,0.34411006792509286
1030,4,32,0.030816733922120358,0.030361965071506142,0.029413153663021576,0.03036196507150616,0.027209219469322088,0.027209219469322185,0.024487303396463454,0.025072454987956613,0.02428894076958297,0.025072454987956592,0.02428894076958299,0.025072454987956613,0.006329430525656904,0.005289510083549529,0.005124212893438607,0.005289510083549518,0.0029202786997390984,1.2584780538379339,1.210968973165584,1.210968973165584,1.2109689731655837,1.1202307967005363
1030,5,42,0.011541636575859828,0.011139310247849437,0.010874088575281592,0.011139310247849421,0.01169809246515793,0.01169809246515798,0.02526431059522199,0.025923741234792626,0.025306509300630897,0.02592374123479263,0.02530650930063095,0.025923741234792665,-0.013722674019362164,-0.01478443098694319,-0.014432420725349305,-0.014784430986943204,-0.013608416835473019,0.4568356034240092,0.4296953185483586,0.4296953185483586,0.4296953185483573,0.4622562648285226
1030,6,42,0.016428766362075513,0.015944638428664004,0.01556500418036248,0.015944638428664,0.015192863491815024,0.015192863491815176,0.03237106758129628,0.03299109578585102,0.03220559350523552,0.03299109578585103,0.03220559350523544,0.03299109578585105,-0.015942301219220766,-0.017046457357187017,-0.016640589324873035,-0.017046457357186996,-0.017012730013420418,0.507513887851135,0.483301268080408,0.4833012680804081,0.48330126808040746,0.47174611110163905
1030,7,39,0.05081631413091917,0.05252698651729715,0.05118014070916132,0.05252698651729714,0.05131049539981675,0.05131049539981678,0.04686310919677428,0.0483506330562612,0.04711087323430579,0.04835063305626119,0.047110873234305725,0.04835063305626126,0.003953204934144895,0.004176353461035946,0.004069267474855531,0.00417635346103597,0.004199622165511022,1.0843564373320966,1.0863763966890838,1.0863763966890836,1.0863763966890823,1.089143373433649
