bbl,GROSSCON,COOPUNITKEY,geometry
4022110001,550000,402211000100000001-0000    501,"c(-73.8466851751238, 40.7250125688098)"
4074740050,315000,407474005000000001-0000     9Z,"c(-73.7592219927824, 40.7608192791283)"
1014470047,375000,101447004700000001-0000     1D,"c(-73.9574523776586, 40.7690616857567)"
1012700020,625000,101270002000000002-0000     5C,"c(-73.9765299621532, 40.7619370826704)"
4021620122,275000,402162012200000001-0000   C108,"c(-73.8474596424591, 40.7377499747607)"
2031730013,240000,203173001300000001-0000     5F,"c(-73.8999795040673, 40.8608465026821)"
1021790373,525000,102179037300000001-0000     7M,"c(-73.9363579346559, 40.8568991813146)"
1010090029,450000,101009002900000001-0000    17I,"c(-73.9778311252215, 40.7640913929086)"
1009430001,550000,100943000100000001-0000     5F,"c(-73.9739854000801, 40.7467433901331)"
2059010001,650000,205901000100000001-0000    18A,"c(-73.9145372157692, 40.8854677126167)"
4030990042,405000,403099004200000001-0000     6L,"c(-73.8579846179299, 40.7261756093547)"
4005570003,545000,400557000300000013-0000    11A,"c(-73.9317116636673, 40.7626039028715)"
4005570003,605000,400557000300000012-0000    12C,"c(-73.9317116636673, 40.7626039028715)"
4014380001,320000,401438000100000006-0000     1P,"c(-73.8772959294701, 40.7554665866829)"
3072740015,495000,307274001500000003-1000    15D,"c(-73.9698590156726, 40.5788513122297)"
1013740001,550000,101374000100000001-0000    313,"c(-73.9725395754201, 40.7643091798447)"
4015600001,305000,401560000100000004-0000     2G,"c(-73.8795598236105, 40.7423393476809)"
1013330023,300000,101333002300000001-0000   1935,"c(-73.9708763719043, 40.7479861107679)"
4092340044,155000,409234004400000001-0000     4G,"c(-73.8331015874303, 40.7034421674529)"
1013330023,250000,101333002300000001-0000   0B14,"c(-73.9708763719043, 40.7479861107679)"
3000860011,485000,300086001100000003-0000     2B,"c(-73.9878532443117, 40.6978012627673)"
1003110013,999000,100311001300000007-0000  G1204,"c(-73.9880777776326, 40.715404258894)"
2059090977,390000,205909097700000002-0000   B908,"c(-73.9093031524166, 40.8913868177129)"
4014200001,350000,401420000100000006-0000    508,"c(-73.877661329052, 40.7574669231441)"
2033440102,190000,203344010200000001-0000     4K,"c(-73.8758424501973, 40.8810329735674)"
1013650020,755000,101365002000000001-0000    7NN,"c(-73.9628523541684, 40.7553462616477)"
1013670001,530000,101367000100000001-0000     7A,"c(-73.9631217477455, 40.7570988822293)"
1014070033,1550000,101407003300000001-0000     7D,"c(-73.9606485835163, 40.7702444606928)"
3085150024,280000,308515002400000019-0000    19D,"c(-73.9220067181666, 40.6140795267726)"
4030990042,290000,403099004200000001-0000     6D,"c(-73.8579846179299, 40.7261756093547)"
1001610001,825000,100161000100000001-0000    11A,"c(-73.9998747178612, 40.7136519832677)"
3012490007,995000,301249000700000001-0000     5A,"c(-73.9470652815704, 40.6720999856142)"
4020860050,425000,402086005000000002-0000     1D,"c(-73.8598809796084, 40.7322696134384)"
1008160031,825000,100816003100000001-0000    807,"c(-73.9941632631089, 40.7366985099602)"
1015190046,475000,101519004600000001-0000     8H,"c(-73.9528224182584, 40.7822475634987)"
1008320032,3310000,100832003200000001-0000    11F,"c(-73.9872091670305, 40.7465072184737)"
4042850010,345000,404285001000000002-0000     6G,"c(-73.827187333436, 40.7746679600832)"
4077550003,325000,40775500030000004-15000  347A1,"c(-73.7542294906663, 40.7397374747561)"
4020930245,440000,402093024500000004-0000     7K,"c(-73.8592631495645, 40.7336443755107)"
3072740060,440000,307274006000000007-0000     7F,"c(-73.9718572070304, 40.5777227305088)"
2057220445,225000,205722044500000001-0000     2N,"c(-73.9168597790226, 40.878087619241)"
1009160061,550000,100916006100000001-0000    17G,"c(-73.9769541536058, 40.746705449609)"
4047690001,240000,404769000100000003-0000     5D,"c(-73.8253918478172, 40.7752092527648)"
2057790820,260000,205779082000000001-0000     4P,"c(-73.9045611950499, 40.8881206890879)"
4084890001,560000,408489000100000001-0000    11G,"c(-73.7142119283782, 40.7567797984328)"
4083370001,300000,40833700010000002-17000    311,"c(-73.7298551227286, 40.7596036895046)"
1012420062,1450000,101242006200000001-0000    11B,"c(-73.9735687674946, 40.7942033362516)"
4002090042,325000,400209004200000001-0000   006H,"c(-73.9258099590824, 40.7374732640071)"
3019440004,810000,301944000400000009-0000     5H,"c(-73.967106055987, 40.6873085495432)"
4022120014,1100000,402212001400000001-0000    10J,"c(-73.8457264069057, 40.7245165216658)"
3010650037,820000,301065003700000001-0000     5E,"c(-73.9736600052859, 40.673155128746)"
1013640005,675000,101364000500000001-0000    3AB,"c(-73.9642732328611, 40.7551225827802)"
1009300001,825000,100930000100000001-0000    14F,"c(-73.9797767650769, 40.7386766163969)"
4012650058,395000,401265005800000004-0000     4B,"c(-73.8883455851847, 40.7526780380109)"
1003210001,900000,100321000100000012-0000  K1902,"c(-73.9783767808142, 40.7143242282315)"
1013650020,700000,101365002000000001-0000    2GN,"c(-73.9628523541684, 40.7553462616477)"
4001410015,390000,400141001500000001-0000     D1,"c(-73.9181942855271, 40.7440802595188)"
2057960107,235000,205796010700000001-0000     4D,"c(-73.9081471574378, 40.8866364263584)"
4001280007,190000,400128000700000003-0000     6E,"c(-73.9125552266127, 40.7475645954707)"
1008170029,735000,100817002900000001-0000    2GS,"c(-73.9938596858644, 40.7374329047939)"
1013300007,400000,101330000700000001-0000     9K,"c(-73.9670616182532, 40.7594249184135)"
3000860011,485000,300086001100000005-0000    10C,"c(-73.9878532443117, 40.6978012627673)"
1009280001,385000,100928000100000001-0000    17B,"c(-73.9807845188557, 40.7372107763318)"
1013340041,320000,101334004100000001-0000    508,"c(-73.9714800907511, 40.7492114132245)"
4014180001,235000,401418000100000010-0000    105,"c(-73.8795217563289, 40.7572751444081)"
1014460023,895000,101446002300000001-0000   A705,"c(-73.9567296656672, 40.7676355726799)"
1003960020,430000,100396002000000003-0000     11,"c(-73.9767807005976, 40.7285914953078)"
4077480500,470000,407748050000000020-0000  20E6H,"c(-73.7584927466073, 40.7372933036104)"
1013340041,299000,101334004100000001-0000    304,"c(-73.9714800907511, 40.7492114132245)"
3072740060,440000,307274006000000006-0000     5B,"c(-73.9718572070304, 40.5777227305088)"
1011380053,700000,101138005300000001-0000     2C,"c(-73.9832294704406, 40.7748765757229)"
4033380030,229000,403338003000000001-0000     2P,"c(-73.8288047218657, 40.7082041998762)"
1008960032,575000,100896003200000001-0000     6B,"c(-73.9855062677019, 40.7332291377081)"
4084890001,275000,408489000100000003-0000     9P,"c(-73.7142119283782, 40.7567797984328)"
1013360015,415000,101336001500000001-0000    902,"c(-73.9699610470917, 40.7500085500568)"
2032260053,170000,203226005300000005-0000    15E,"c(-73.9077536434926, 40.864591539613)"
4114460050,300000,411446005000000002-0000     1C,"c(-73.8481035223917, 40.665940844198)"
4053740016,430000,405374001600000001-0000     3N,"c(-73.8194318821809, 40.7587681336446)"
4001280007,519000,400128000700000004-0000     4B,"c(-73.9125552266127, 40.7475645954707)"
