predicted,actual,rank,frequency_actual,frequency_predicted,SR,SP,SA,R,C_SP,C_SA
37299.37125,32900,1,1,1,0.03333333333333333,0.008158912806269219,0.010623323824152124,0.03333333333333333,0.008158912806269219,0.010623323824152124
40165.89269,36000,2,1,1,0.03333333333333333,0.00892768574546176,0.011439744704329693,0.06666666666666667,0.01708659855173098,0.02206306852848182
56317.4201,54000,3,1,1,0.03333333333333333,0.01339152861819264,0.016039900154164496,0.1,0.030478127169923618,0.038102968682646315
66183.77244,64500,4,1,1,0.03333333333333333,0.015995436960618985,0.018849959743868733,0.13333333333333333,0.0464735641305426,0.056952928426515045
69486.97316,68000,5,1,1,0.03333333333333333,0.016863406408094434,0.01979075230226159,0.16666666666666666,0.06333697053863703,0.07674368072877663
71514.52586,70000,6,1,1,0.03333333333333333,0.01735938894950898,0.020368224473528658,0.19999999999999998,0.080696359488146,0.09711190520230528
75338.28603,74000,7,1,1,0.03333333333333333,0.018351354032338063,0.021457278823521355,0.2333333333333333,0.09904771352048407,0.11856918402582664
81035.95111,80000,8,1,1,0.03333333333333333,0.01983930165658169,0.023080044547391394,0.26666666666666666,0.11888701517706576,0.14164922857321804
85672.85577,84900,9,1,1,0.03333333333333333,0.021054458883047317,0.02440069253941083,0.3,0.1399414740601131,0.16604992111262887
90046.33945,89000,10,3,1,0.1,0.06621366927884138,0.025646314967222788,0.4,0.20615514333895446,0.19169623607985165
94088.93683,89000,10,0,1,0,0,0.026797696870434068,0.4,0.20615514333895446,0.2184939329502857
85021.0865,89000,10,0,1,0,0,0.024215060562736663,0.4,0.20615514333895446,0.2427089935130224
100227.0936,105900,13,1,1,0.03333333333333333,0.02626227556790001,0.028545920094200112,0.43333333333333335,0.23241741890685447,0.2712549136072225
103156.7516,109000,14,1,1,0.03333333333333333,0.02703104850709255,0.029380323050202165,0.4666666666666667,0.259448467413947,0.30063523665742464
108290.1277,115000,15,1,1,0.03333333333333333,0.028518996131336176,0.030842372269636743,0.5,0.2879674635452832,0.3314776089270614
117098.7563,124500,16,1,1,0.03333333333333333,0.030874913203055254,0.03335117901164014,0.5333333333333333,0.31884237674833843,0.36482878793870155
115346.9796,129900,17,1,1,0.03333333333333333,0.032214066064874515,0.03285225126760466,0.5666666666666667,0.35105644281321297,0.3976810392063062
119678.4223,135000,18,1,1,0.03333333333333333,0.033478821545481596,0.03408589990257621,0.6,0.38453526435869456,0.4317669391088824
131630.9478,149000,19,1,1,0.03333333333333333,0.03695069933538339,0.03749012749804636,0.6333333333333333,0.421485963694078,0.4692570666069288
137321.2061,155800,20,1,1,0.03333333333333333,0.03863703997619284,0.03911078367905288,0.6666666666666666,0.4601230036702708,0.5083678502859816
143973.5639,163500,21,1,1,0.03333333333333333,0.040546572760638826,0.04100545773749359,0.7,0.5006695764309096,0.5493733080234753
153571.8563,175000,22,1,1,0.03333333333333333,0.043398472373772444,0.043739170529611994,0.7333333333333333,0.5440680488046821,0.5931124785530872
148456.8866,179000,23,1,1,0.03333333333333333,0.044390437456601525,0.042282363681324264,0.7666666666666666,0.5884584862612836,0.6353948422344116
153488.3876,185600,24,1,1,0.03333333333333333,0.04602717984326952,0.043715397607989856,0.7999999999999999,0.6344856661045531,0.6791102398424014
165039.8271,199900,25,1,1,0.03333333333333333,0.0495734550143835,0.04700539093310795,0.8333333333333333,0.6840591211189366,0.7261156307755093
176939.5763,215000,26,1,1,0.03333333333333333,0.053318123202063285,0.050394587183374376,0.8666666666666666,0.7373772443209999,0.7765102179588838
192959.3127,235000,27,1,1,0.03333333333333333,0.05827794861620871,0.054957206918010176,0.8999999999999999,0.7956551929372087,0.831467424876894
180046.1193,250000,28,1,1,0.03333333333333333,0.06199781767681778,0.051279369182552256,0.9333333333333332,0.8576530106140264,0.8827467940594462
200240.2442,279000,29,1,1,0.03333333333333333,0.06918956452732863,0.0570309065669277,0.9666666666666666,0.926842575141355,0.9397777006263739
211445.4891,295000,30,1,1,0.03333333333333333,0.07315742485864497,0.06022229937362627,0.9999999999999999,1,1.0000000000000002
