NEIGHBORHOOD,block,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity
All,All,prediction,GROSSCON,9984,1.0098,0.9426766208247972,0.920182516875503,12.52311913036447,1.0498239533311444,-0.04179065680036394,1.0695143862069292,0.4353219342215522,0.4027026404212367,-0.032619293800315474,0.9250685728513871,TRUE,TRUE,TRUE
1010,376,prediction,GROSSCON,1,,,,,,,,,,,,,,
1010,377,prediction,GROSSCON,5,0.9861,0.9893249800271928,0.9999999999999996,5.6511773123208044,1.0284563684259336,-0.05273889136959399,1.0788162234992016,0.23967529173008623,0.23178700635657706,-0.007888285373509163,0.9670876154293256,TRUE,TRUE,TRUE
1010,386,prediction,GROSSCON,7,1.0185,0.9239406648460715,0.9120129870129868,5.763718289219563,1.0159164042780735,-0.051196575031257456,1.1374359805666052,0.2119976124154397,0.1834186969553898,-0.028578915460049925,0.8651922767693938,TRUE,TRUE,TRUE
1010,389,prediction,GROSSCON,11,0.9337,0.9333040627416936,0.8430578512396693,15.004024173497,1.0366578280425571,-0.14153079372094202,1.125142667786214,0.2340671543542718,0.20323050369729437,-0.030836650656977438,0.8682572497536126,TRUE,FALSE,FALSE
1010,390,prediction,GROSSCON,1,,,,,,,,,,,,,,
1010,391,prediction,GROSSCON,1,,,,,,,,,,,,,,
1010,392,prediction,GROSSCON,1,,,,,,,,,,,,,,
1010,394,prediction,GROSSCON,3,,,,,,,,,,,,,,
1010,396,prediction,GROSSCON,15,0.9919,0.0035250512262899663,0.005642762127556401,6.589102005523366,1.0045462627530568,-0.28662182055909236,1.1033692769578765,0.039296401189694546,0.0030248284819845614,-0.03627157270770998,0.07697469463890298,TRUE,TRUE,TRUE
1010,400,prediction,GROSSCON,1,,,,,,,,,,,,,,
1010,401,prediction,GROSSCON,1,,,,,,,,,,,,,,
1010,402,prediction,GROSSCON,2,,,,,,,,,,,,,,
1010,404,prediction,GROSSCON,10,0.9872,0.9882780257055569,0.9999999999999996,6.304990824594266,1.0285870140593976,-0.05989747625240976,1.1231884761001467,0.288054794520548,0.25620071002832123,-0.031854084492226764,0.8894165794211264,TRUE,TRUE,TRUE
1010,406,prediction,GROSSCON,2,,,,,,,,,,,,,,
1030,717,prediction,GROSSCON,9,1.1433,0.812514474005623,0.2983757062146893,17.74777551388685,1.0803255336953932,-0.22398109368517605,1.3417791270523594,0.2564476061701721,0.1516380762487653,-0.1048095299214068,0.5913023658647144,FALSE,FALSE,FALSE
1030,719,prediction,GROSSCON,2,,,,,,,,,,,,,,
1030,720,prediction,GROSSCON,17,0.9648,0.9950395113454469,0.9828973358385121,6.298420306306081,1.0278822286444478,-0.06184413033993729,1.0611834404921894,0.3336218715631335,0.32453803830405464,-0.009083833259078855,0.9727720691196954,TRUE,TRUE,TRUE
1030,722,prediction,GROSSCON,7,1.0536,0.7274019753889115,0.7971938775510201,16.432145192281567,1.0924528738737473,-0.27491579609405853,1.3916053137357427,0.2531543209142476,0.15042001754963838,-0.10273430336460923,0.5941830935628826,TRUE,FALSE,FALSE
1030,738,prediction,GROSSCON,1,,,,,,,,,,,,,,
1030,740,prediction,GROSSCON,10,1.0727,0.875566212052131,0.5201469237832872,13.600015525495216,1.0502835807479753,-0.25772617978638224,1.545026684481935,0.19769734308817863,0.10860571885973887,-0.08909162422843976,0.549353456972346,TRUE,TRUE,FALSE
1030,741,prediction,GROSSCON,1,,,,,,,,,,,,,,
1030,742,prediction,GROSSCON,19,1.021,0.9148072060148448,0.8154590822974908,10.169056462741063,1.0310864238740063,-0.12669237443677098,1.232408246065694,0.2124903336407934,0.17515490773395845,-0.037335425906834946,0.8242958855250845,TRUE,TRUE,FALSE
1030,743,prediction,GROSSCON,7,1.0087,0.301189778473867,0.6173469387755098,44.36851576451314,1.305506485968466,-1.1258524196375304,2.940166047080809,0.2693328237929113,0.0867803349213739,-0.1825524888715374,0.3222048233827559,TRUE,FALSE,FALSE
1030,744,prediction,GROSSCON,17,0.9635,0.6268770892122607,0.5906995673866839,16.747230876107363,1.0440170328920697,-0.3948375794336755,1.6387150653981386,0.15820634285998444,0.08451890605424009,-0.07368743680574436,0.5342320954163063,TRUE,FALSE,FALSE
1030,745,prediction,GROSSCON,16,0.9752,0.959790753492773,0.6324817098696213,15.565267674046337,1.0663737357483525,-0.16532623472820077,1.4819753324083342,0.2866695635380456,0.20152277750442948,-0.08514678603361614,0.702979329292083,TRUE,FALSE,FALSE
1030,746,prediction,GROSSCON,8,0.9838,0.9156978167838381,0.7760770975056691,10.746056076107404,1.0306547988064465,-0.19132529518500285,1.3448139789742053,0.1897075247801201,0.14902189696662482,-0.04068562781349527,0.7855349814897863,TRUE,TRUE,FALSE
1030,747,prediction,GROSSCON,9,0.9678,0.7957020065304644,0.28683473389355746,3.987981628941909,1.0027490625670592,-0.1289461554688203,1.0603807712603102,0.04938271604938274,0.03720588082314337,-0.012176835226239371,0.7534190866686529,TRUE,FALSE,TRUE
1030,753,prediction,GROSSCON,4,,,,,,,,,,,,,,
1030,764,prediction,GROSSCON,7,0.8883,0.6019488002539992,0.41326530612244877,16.786514854261515,1.0356122392987261,-0.2942602306152016,1.561423691304215,0.1443023902167871,0.07378333170417127,-0.07051905851261582,0.5113105305693534,FALSE,FALSE,FALSE
1030,765,prediction,GROSSCON,5,1.0022,0.9453004042667212,0.8099999999999996,5.563478667587369,1.0213613353912971,-0.2055991162136617,1.4342761084282356,0.1457118353344768,0.10304949910346259,-0.0426623362310142,0.7072143375787959,TRUE,TRUE,TRUE
1030,766,prediction,GROSSCON,18,0.9804,0.8968250506042388,0.4700423884212233,17.23620982658268,1.085780003817105,-0.15600420856654787,1.229055962488755,0.2956343075594098,0.20262299181783622,-0.09301131574157356,0.6853838902885712,TRUE,FALSE,FALSE
1030,769,prediction,GROSSCON,2,,,,,,,,,,,,,,
1030,770,prediction,GROSSCON,8,0.9287,0.791636128688041,0.9529478458049888,11.415923710478895,1.0286102178847327,-0.43148064593869884,1.5013380095885513,0.12172662376906707,0.08290961370668315,-0.038817010062383916,0.6811132284747716,TRUE,TRUE,TRUE
1030,771,prediction,GROSSCON,28,1.0282,0.6376957459080119,0.5844303049848314,12.69120722310053,1.0341000657943902,-0.1932073645377871,1.2302449333763659,0.1722238308762627,0.10958833439276283,-0.06263549648349986,0.6363134174590422,TRUE,TRUE,FALSE
1030,772,prediction,GROSSCON,6,0.9767,0.8934975796712278,0.5102040816326531,11.188703776081494,1.030315720128909,-0.15382668168801503,1.274891149337229,0.1603448034983305,0.10906175359772889,-0.051283049900601604,0.6801701783797717,TRUE,TRUE,FALSE
1030,773,prediction,GROSSCON,15,0.9786,0.9428873580146024,0.7908290816326528,11.037258060855937,1.0204242113019315,-0.06707954342065976,1.1547496530327315,0.24395513086830078,0.21712953146495123,-0.026825599403349554,0.8900387980860655,TRUE,TRUE,TRUE
1030,774,prediction,GROSSCON,3,,,,,,,,,,,,,,
1030,775,prediction,GROSSCON,8,0.9969,0.9794620498481705,0.9060685249709644,8.706319956775355,1.030304685038913,-0.20912727340660855,1.4732807452152186,0.17596129360835233,0.11889245238523216,-0.05706884122312017,0.6756738936567395,TRUE,TRUE,FALSE
1030,776,prediction,GROSSCON,3,,,,,,,,,,,,,,
1030,790,prediction,GROSSCON,28,1.0076,0.6383891575558416,0.6014420721067528,16.328204577661634,1.0463524383936296,-0.20861901189815266,1.2856377332049216,0.1981067408136862,0.13146181525652853,-0.06664492555715767,0.6635908233943673,TRUE,FALSE,FALSE
1030,791,prediction,GROSSCON,19,0.9771,0.9552236279330268,0.9065531021925968,9.680604015947528,1.0283685299484895,-0.05413528509393941,1.1144878809813537,0.3191447654817355,0.292814464598014,-0.026330300883721458,0.9174973124062461,TRUE,TRUE,TRUE
1030,792,prediction,GROSSCON,1,,,,,,,,,,,,,,
1030,793,prediction,GROSSCON,5,0.9797,0.8199200101955065,0.48999999999999977,9.23816004000863,1.017729116731977,-0.05550713474558795,1.0187973615544539,0.17631854697869365,0.13993758361490957,-0.036380963363784075,0.7936634348048458,TRUE,TRUE,TRUE
1030,795,prediction,GROSSCON,4,,,,,,,,,,,,,,
1030,796,prediction,GROSSCON,12,0.9668,0.9679068281743278,0.8137806249694364,12.530724282837413,1.026295832049158,-0.07785376957398954,1.299172617979227,0.2723584239977684,0.23606046936547673,-0.03629795463229166,0.8667272555792543,TRUE,TRUE,TRUE
1030,797,prediction,GROSSCON,7,1.0371,0.6646924928263972,0.1264005602240896,12.629105197593146,1.0290308661286387,-0.6353715305316003,2.8432382100312976,0.11324786324786322,0.029578973594268834,-0.08366888965359438,0.26118791777580785,TRUE,TRUE,TRUE
1030,798,prediction,GROSSCON,19,1.0333,0.9017850805442765,0.5958756540473992,15.449664382001183,1.0521200953748011,-0.14125989792967428,1.2730283134046876,0.26362165369559176,0.1992957354432193,-0.06432591825237247,0.755991522886619,TRUE,FALSE,FALSE
1030,799,prediction,GROSSCON,8,0.999,0.9844217519998825,0.5447845804988665,25.150065873044614,1.1089136638178838,-0.077702983046441,1.0972415885453797,0.5243397142621431,0.4881261759453521,-0.03621353831679097,0.9309349695783561,TRUE,FALSE,FALSE
1030,801,prediction,GROSSCON,1,,,,,,,,,,,,,,
1030,802,prediction,GROSSCON,4,,,,,,,,,,,,,,
1040,172,prediction,GROSSCON,1,,,,,,,,,,,,,,
1050,117,prediction,GROSSCON,17,0.9935,0.9461756247612146,0.9053601845012889,4.852620541980684,1.0040109693951043,-0.0451200704145205,1.0563323975784769,0.12604956450155397,0.11955955379975336,-0.006490010701800608,0.9485122322519361,TRUE,FALSE,TRUE
