"","TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","COLUMNS","COLUMN_NAMES","PREFIX","first_col","PRIMARY_KEYS"
"13","IAS","IAS","AA706NYCW",149,"MISC3_DETAIL, MISC2_AMOUNT, MISC2_DETAIL, MISC1_AMOUNT, MISC1_DETAIL, LEAS2_AMOUNT, LEAS2_DETAIL, LEAS1_AMOUNT, LEAS1_DETAIL, DECOR_AMOUNT, ADV_AMOUNT, WATER_AMOUNT, INSUR_AMOUNT, MANAG_AMOUNT, REPAIR_AMOUNT, WAGES_AMOUNT, CLEAN_AMOUNT, LIGHT_AMOUNT, FUEL_AMOUNT, SALE_PRICE_2, SALE_DATE_2, SALE_VALIDITY_1, SALE_STATUS_1, SALE_PRICE_1, SALE_DATE_1, CONSOLIDATION_FLAG, BLDG_RENTAL_AMT, LAND_RENTAL_AMT, DATA_STATUS, DATA_SOURCE, PERIOD_END_YEAR, PERIOD_END_MONTH, PERIOD_BEG_YEAR, PERIOD_BEG_MONTH, APPRAISAL_YEAR, ID_EASEMENT, ID_LOT, ID_BLOCK, ID_BORO, ID_ENTITY_TYPE, PARID, OTHR3_AMOUNT, OTHR3_UNITS, OTHR3_DETAIL, OTHR2_AMOUNT, OTHR2_UNITS, OTHR2_DETAIL, OTHR1_AMOUNT, OTHR1_UNITS, OTHR1_DETAIL, CELL_AMOUNT, CELL_UNITS, SGNBIL_AMOUNT, SGNBIL_UNITS, GOVRNT_AMOUNT, GOVRNT_UNITS, SLOTHR_AMOUNT, SLOTHR_UNITS, SLUTIL_AMOUNT, SLUTIL_UNITS, TAXESC_AMOUNT, TAXESC_UNITS, OPRESC_AMOUNT, OPRESC_UNITS, OWN_AMOUNT, OWN_UNITS, GAR_AMOUNT, GAR_UNITS, STO_AMOUNT, STO_UNITS, WAR_AMOUNT, WAR_UNITS, FAC_AMOUNT, FAC_UNITS, LOF_AMOUNT, LOF_UNITS, RET_AMOUNT, RET_UNITS, OFF_AMOUNT, OFF_UNITS, APT_UNR_AMOUNT, APT_UNR_UNITS, APT_REG_AMOUNT, APT_REG_UNITS, APT_AMOUNT, APT_UNITS, FLAG, VACANCY_END_YEAR_6, VACANCY_END_MONTH_6, VACANCY_BEG_YEAR_6, VACANCY_BEG_MONTH_6, VACANCY_AREA_6, VACANCY_USE_6, VACANCY_FLOOR_6, VACANCY_END_YEAR_5, VACANCY_END_MONTH_5, VACANCY_BEG_YEAR_5, VACANCY_BEG_MONTH_5, VACANCY_AREA_5, VACANCY_USE_5, VACANCY_FLOOR_5, VACANCY_END_YEAR_4, VACANCY_END_MONTH_4, VACANCY_BEG_YEAR_4, VACANCY_BEG_MONTH_4, VACANCY_AREA_4, VACANCY_USE_4, VACANCY_FLOOR_4, VACANCY_END_YEAR_3, VACANCY_END_MONTH_3, VACANCY_BEG_YEAR_3, VACANCY_BEG_MONTH_3, VACANCY_AREA_3, VACANCY_USE_3, VACANCY_FLOOR_3, VACANCY_END_YEAR_2, VACANCY_END_MONTH_2, VACANCY_BEG_YEAR_2, VACANCY_BEG_MONTH_2, VACANCY_AREA_2, VACANCY_USE_2, VACANCY_FLOOR_2, VACANCY_END_YEAR_1, VACANCY_END_MONTH_1, VACANCY_BEG_YEAR_1, VACANCY_BEG_MONTH_1, VACANCY_AREA_1, VACANCY_USE_1, VACANCY_FLOOR_1, SALE_VALIDITY_2, SALE_STATUS_2, CM_SORT, GRSSQFT_OWNR_OCC, PERCENT_OWNR_OCC, PART_OWNR_OCC, ACTUAL_REPORTED_SQ_FT, FILING_STATUS, REDUCT_IND, TAX_COMM_AMOUNT, TAX_COMM_ACTION, TOT_OVR_EXPENSE_ADJ_FLAG, TOTAL_OVR_EXPENSE, TOT_OVR_INCOME_ADJ_FLAG, TOTAL_OVR_INCOME, MISC5_AMOUNT, MISC5_DETAIL, MISC4_AMOUNT, MISC4_DETAIL, MISC3_AMOUNT",NA,NA,NA
"14","IAS","IAS","AA706NYCW_DIFF",6,"RPAD_VAL, PTS_VAL, RPAD_COL, COL, CID, PARID",NA,NA,NA
"15","IAS","IAS","AA771NYC_CNAME_2",7,"OWNNUM, ZIP2, ZIP1, STATECODE, CITYNAME, CODE1_ADR, PO_VER",NA,NA,NA
"16","IAS","IAS","AACHKFIT_TEMP",2,"TOT_CALLED, MYPROG",NA,NA,NA
"17","IAS","IAS","AAINFO",73,"SCH_CONSOL_CD, SCH_CONSOL_FLAG, ARTICLE19_FLAG, ORPS_REGION_FLAG, LEED_PLATINUM, LEED_GOLD, LEED_SILVER, VET_CW_LIMIT, VET_ALT_LIMIT, DISTTYPE, DISTCODE, INFODESCR, INFOCD, INFOTYPE, WENCALC, WHOCALC, WEN, WHO, CUR, SEQ, TAXYR, JUR, MTC_TREND_FACTOR, LID_FLR_PCT, LID_MAX_INC, UDATE10, UDATE9, UDATE8, UDATE7, UDATE6, UDATE5, UDATE4, UDATE3, UDATE2, UDATE1, USERVAL10, USERVAL9, USERVAL8, USERVAL7, USERVAL6, USERVAL5, USERVAL4, USERVAL3, USERVAL2, USERVAL1, USER10, USER9, USER8, USER7, USER6, USER5, USER4, USER3, USER2, USER1, IASW_ID, EX_FLR_PCT, EX_MAX_INC, TOP_CITY_FLAG, FRST_CNTY_CD, FOREST_REGION_FLAG, WESTCHSTR_FLAG, ROLL_FINAL_DATE, ROLL_TENT_DATE, ASSD_DATE, CYCLE_FLAG, EQ_RATE_SPEC, EQ_RATE, UNIFORM_PCT, AR_FINALIZED_FLAG, VLG_ASSD_FLAG, VLG_SPLIT_FLAG, MRKT_AREA_FLAG",NA,NA,NA
"18","IAS","IAS","AAINFO_ALL",72,"DISTCODE, FRST_CNTY_CD, UDATE10, JUR, TOP_CITY_FLAG, SEQ, UDATE6, VLG_ASSD_FLAG, USER3, SCH_CONSOL_CD, UDATE4, USERVAL4, MRKT_AREA_FLAG, USERVAL8, LEED_SILVER, USER2, EQ_RATE_SPEC, USERVAL7, USER10, FOREST_REGION_FLAG, AR_FINALIZED_FLAG, VET_CW_LIMIT, WEN, VET_ALT_LIMIT, LEED_PLATINUM, USER9, ROLL_FINAL_DATE, USERVAL6, UDATE9, VLG_SPLIT_FLAG, EX_FLR_PCT, WHOCALC, INFODESCR, USER6, ASSD_DATE, ARTICLE19_FLAG, USERVAL1, EQ_RATE, UDATE2, UDATE7, USER4, UDATE1, LID_MAX_INC, WHO, INFOTYPE, USER7, UDATE8, USERVAL3, LID_FLR_PCT, WENCALC, TAXYR, ROLL_TENT_DATE, USERVAL2, USERVAL5, DISTTYPE, USERVAL10, CYCLE_FLAG, UDATE3, ORPS_REGION_FLAG, SCH_CONSOL_FLAG, USER8, CUR, WESTCHSTR_FLAG, LEED_GOLD, USERVAL9, IASW_ID, EX_MAX_INC, USER5, INFOCD, USER1, UDATE5, UNIFORM_PCT",NA,NA,NA
"19","IAS","IAS","AAINFO_AUD",75,"EQ_RATE_SPEC, EQ_RATE, UNIFORM_PCT, AR_FINALIZED_FLAG, VLG_ASSD_FLAG, VLG_SPLIT_FLAG, MRKT_AREA_FLAG, SCH_CONSOL_CD, SCH_CONSOL_FLAG, ARTICLE19_FLAG, ORPS_REGION_FLAG, LEED_PLATINUM, LEED_GOLD, LEED_SILVER, VET_CW_LIMIT, VET_ALT_LIMIT, DISTTYPE, DISTCODE, INFODESCR, INFOCD, INFOTYPE, CYCLE_FLAG, WENCALC, WHOCALC, WEN, WHO, CUR, SEQ, TAXYR, JUR, AUD_SEQ, AUD_OP, MTC_TREND_FACTOR, LID_FLR_PCT, LID_MAX_INC, UDATE10, UDATE9, UDATE8, UDATE7, UDATE6, UDATE5, UDATE4, UDATE3, UDATE2, UDATE1, USERVAL10, USERVAL9, USERVAL8, USERVAL7, USERVAL6, USERVAL5, USERVAL4, USERVAL3, USERVAL2, USERVAL1, USER10, USER9, USER8, USER7, USER6, USER5, USER4, USER3, USER2, USER1, IASW_ID, EX_FLR_PCT, EX_MAX_INC, TOP_CITY_FLAG, FRST_CNTY_CD, FOREST_REGION_FLAG, WESTCHSTR_FLAG, ROLL_FINAL_DATE, ROLL_TENT_DATE, ASSD_DATE",NA,NA,NA
"20","IAS","IAS","AALETTER",25,"DESCRIPTION, TEMPLATE_NAME, ID, GRIDORDERBY, GRIDWHERECLAUSE, GRIDCOLS, GRIDTABLE, GRPCOLUMN, TEMPLATE_DATA, GRPTABLE, INVTABLE, MULTITEMPLATE, IASW_ID, HEADER_IMAGE_FILE2, HEADER_IMAGE_FILE1, WEN, WHO, OWNMLT_IND, MAILDAT_IND, RECTYPE, STATUS, SCRN, LETTER, RPTNAME, JUR",NA,NA,NA
"21","IAS","IAS","AALETTER_AUD",27,"TEMPLATE_DATA, DESCRIPTION, TEMPLATE_NAME, ID, GRIDORDERBY, GRIDWHERECLAUSE, GRIDCOLS, GRIDTABLE, GRPCOLUMN, GRPTABLE, INVTABLE, MULTITEMPLATE, IASW_ID, HEADER_IMAGE_FILE2, HEADER_IMAGE_FILE1, WEN, WHO, OWNMLT_IND, MAILDAT_IND, RECTYPE, STATUS, SCRN, LETTER, RPTNAME, JUR, AUD_SEQ, AUD_OP",NA,NA,NA
"22","IAS","IAS","AALETTER_ROLE_JUR",6,"WEN, WHO, IASW_ID, ROLE_ID, JUR, RPTNAME",NA,NA,NA
"23","IAS","IAS","AAREP",52,"IASW_ID, COMMENTS, USER10, USER9, USER8, USER7, USER6, USER5, USER4, USER3, USER2, USER1, EMAIL3, EMAIL2, EMAIL1, DEACTIVAT, NOTE2, NOTE1, FAX, PHONE2, PHONE1, FIRM2, FIRM1, ZIP2, ZIP1, ADDR3, ADDR2, ADDR1, UNITNO, UNITDESC, POSTALCODE, COUNTRY, STATECODE, CITYNAME, ADRSUF2, ADRSUF, ADRSTR, ADRDIR, ADRADD, ADRGRID, ADRNO, ADDRTYPE, NAME2, NAME1, STATUS, REPTYPE, WEN, WHO, CUR, SEQ, REP, JUR",NA,NA,NA
"24","IAS","IAS","AAREP_ALL",52,"UNITNO, CUR, SEQ, ADRGRID, PHONE1, POSTALCODE, EMAIL3, STATUS, IASW_ID, JUR, COMMENTS, ADRNO, NAME2, NAME1, ADDR1, ADRADD, NOTE1, WEN, USER3, NOTE2, PHONE2, USER5, STATECODE, ADDR3, REPTYPE, USER7, ADDRTYPE, FIRM2, ADRDIR, ADRSUF2, FIRM1, ZIP2, ADRSUF, WHO, UNITDESC, REP, COUNTRY, USER2, USER4, ZIP1, USER1, DEACTIVAT, ADRSTR, FAX, ADDR2, EMAIL2, EMAIL1, USER6, USER9, USER8, USER10, CITYNAME",NA,NA,NA
"25","IAS","IAS","AAREP_AUD",54,"STATECODE, CITYNAME, ADRSUF2, ADRSUF, ADRSTR, ADRDIR, ADRADD, ADRGRID, ADRNO, ADDRTYPE, NAME2, NAME1, STATUS, REPTYPE, WEN, WHO, CUR, SEQ, REP, JUR, AUD_SEQ, AUD_OP, IASW_ID, COMMENTS, USER10, USER9, USER8, USER7, USER6, USER5, USER4, USER3, USER2, USER1, EMAIL3, EMAIL2, EMAIL1, DEACTIVAT, NOTE2, NOTE1, FAX, PHONE2, PHONE1, FIRM2, FIRM1, ZIP2, ZIP1, ADDR3, ADDR2, ADDR1, UNITNO, UNITDESC, POSTALCODE, COUNTRY",NA,NA,NA
"26","IAS","IAS","AASYS",40,"DEF_CLASS, BASE_VER, APRVALSUM_IND, IASW_ID, EXREMOVE, WHO, JUR, AAPSWD, LD_PARID_IND, ASMTOWN_IND, DUPYR, PW_EXPIRE_DAYS, DISPLAY_JUR, IE_ROLLTYPE, MAX_TAXYR, PPYEAR, TAXDIST_REQ, MAILDAT_IND, LD_TAXYR_IND, COMNT_INC, DISP_OWNER, EDMS_IND, DEFAULT_JUR, LEGADD_INC, SEAM_IND, CB_IND, SS_EXT_DATE, JUR_LABEL, NATRSRC, LD_CARD_IND, CAMA_ROLLTYPE, LATEST_OWNER, COUNTRY_CODE, THISYEAR, LD_JUR_IND, WEN, EXAUTO_CASE, MIN_TAXYR, SHOW_HIDDEN, COUNTYCD",NA,NA,NA
