"","DATABASE","SCHEMA","TABLE_NAME","PREFIX","COLS","RECORDS","PRIMARY_KEYS"
"41","V8_NEWYORK_NY_LIVE","COMPS","CONSTRSECTION","CNS",484,0,"CNS_PID, CNS_BID_IDENT, CNS_SECT_IDENT"
"42","V8_NEWYORK_NY_LIVE","COMPS","COSTMDL","CMD",7,26,"CMD_CODE"
"43","V8_NEWYORK_NY_LIVE","COMPS","COSTRATE","CST",16,391,"CST_GROUP, CST_CLASS"
"44","V8_NEWYORK_NY_LIVE","COMPS","COSTVAR","RVR",23,1608,"RVR_CODE, RVR_SPSS_NAME"
"45","V8_NEWYORK_NY_LIVE","COMPS","COSTVAR_DEP","CDV",9,18,"CDV_MODEL_NAME, CDV_VAR_NAME, CDV_DEP_VAR"
"46","V8_NEWYORK_NY_LIVE","COMPS","CO_BATCH","COB",18,0,"COB_SEQ"
"47","V8_NEWYORK_NY_LIVE","COMPS","CO_DETAIL","COD",6,0,"COD_PID, COD_SEQ"
"48","V8_NEWYORK_NY_LIVE","COMPS","CO_SALES","COS",5,0,"COS_PID, COS_SEQ"
"49","V8_NEWYORK_NY_LIVE","COMPS","CRCONTRL","CRC",14,0,"CRC_CODE, CRC_TYPE"
"50","V8_NEWYORK_NY_LIVE","COMPS","CRSTORE","CRS",53,0,"CRS_PID"
"51","V8_NEWYORK_NY_LIVE","COMPS","CRVAR","CRV",23,15654,"CRV_CODE, CRV_VAR_NAME"
"52","V8_NEWYORK_NY_LIVE","COMPS","CRVAR_BINARY","CRB",7,0,"CRB_CODE, CRB_VAR_NAME, CRB_CODE_NAME"
"53","V8_NEWYORK_NY_LIVE","COMPS","CSCONTRL","CCS",19,40,"CCS_CODE, CCS_TYPE"
"54","V8_NEWYORK_NY_LIVE","COMPS","CSSTORE","CSS",49,4,"CSS_PID"
"55","V8_NEWYORK_NY_LIVE","COMPS","CSVAR","CVR",16,299,"CVR_CODE, CVR_VAR_NAME"
"56","V8_NEWYORK_NY_LIVE","COMPS","CSVAR_BINARY","CSB",7,334,"CSB_CODE, CSB_VAR_NAME, CSB_CODE_NAME"
"57","V8_NEWYORK_NY_LIVE","COMPS","DELBLDG","BLD",31,0,"BLD_PID, BLD_BID"
"58","V8_NEWYORK_NY_LIVE","COMPS","DELLAND","LND",116,0,"LND_PID, LND_BID, LND_LINE_ID"
"59","V8_NEWYORK_NY_LIVE","COMPS","DELMAST","REM",81,0,"REM_PID"
"60","V8_NEWYORK_NY_LIVE","COMPS","DEPRDESC","DRD",12,3,"DRD_DPR_TABLE_ID"
"61","V8_NEWYORK_NY_LIVE","COMPS","DEPREC","DPR",7,201,"DPR_TABLE_ID, DPR_AGE"
"62","V8_NEWYORK_NY_LIVE","COMPS","DOCUMENTS","DOC",14,4783,"DOC_KEY, DOC_LINE_NUM, DOC_KEY_TYPE"
"63","V8_NEWYORK_NY_LIVE","COMPS","EXEMPTS","EXE",24,0,"EXE_PID, EXE_LINE_NUM"
"64","V8_NEWYORK_NY_LIVE","COMPS","EYB","EYB",7,7182,"EYB_MDL, EYB_CNDTN, EYB_AGE"
"65","V8_NEWYORK_NY_LIVE","COMPS","FIRES","FIR",10,0,"FIR_PID, FIR_BID, FIR_LINE_NUM"
"66","V8_NEWYORK_NY_LIVE","COMPS","FRONTFOOTCURV","FFC",7,0,"FFC_CURVE_ID, FFC_LND_CLASS, FFC_UNITS"
"67","V8_NEWYORK_NY_LIVE","COMPS","HOMEDIST","HDS",10,0,"HDS_IS_FARM, HDS_CODE"
"68","V8_NEWYORK_NY_LIVE","COMPS","HOMESTEAD","HOM",89,0,"HOM_PID, HOM_TYPE, HOM_LINE_NUM"
"69","V8_NEWYORK_NY_LIVE","COMPS","IMPOSITION","IMS",21,0,"IMS_PID, IMS_CASE_NUM, IMS_TYPE, IMS_YEAR"
"70","V8_NEWYORK_NY_LIVE","COMPS","INCADJCODES","IAC",5,1,"IAC_CODE"
"71","V8_NEWYORK_NY_LIVE","COMPS","INCADJUST","IAD",10,0,"IAD_CODE, IAD_RATING"
"72","V8_NEWYORK_NY_LIVE","COMPS","INCCAPADJ","ICA",7,0,"ICA_RATING"
"73","V8_NEWYORK_NY_LIVE","COMPS","INCCAPCODES","ICC",16,0,"ICC_CODE"
"74","V8_NEWYORK_NY_LIVE","COMPS","INCEXP","INE",5,15,"INE_CODE"
"75","V8_NEWYORK_NY_LIVE","COMPS","INCGIMADJ","IGA",6,0,"IGA_FACTOR"
"76","V8_NEWYORK_NY_LIVE","COMPS","INCGIMCODES","IGC",6,0,"IGC_CODE"
"77","V8_NEWYORK_NY_LIVE","COMPS","INCGRMADJ","IMA",6,0,"IMA_FACTOR"
"78","V8_NEWYORK_NY_LIVE","COMPS","INCGRMCODES","IMC",6,0,"IMC_CODE"
"79","V8_NEWYORK_NY_LIVE","COMPS","INCGROUP_E","IGR",7,0,"IGR_CODE"
"80","V8_NEWYORK_NY_LIVE","COMPS","INCMLINE","ICL",48,0,"ICL_PID, ICL_LINE_NUM, ICL_IS_XPER, ICL_INCOME_YR"
"81","V8_NEWYORK_NY_LIVE","COMPS","INCMLINE_E","ICL",43,0,"ICL_PID, ICL_LINE_NUM, ICL_IS_XPER, ICL_INCOME_YR"
"82","V8_NEWYORK_NY_LIVE","COMPS","INCOME","INC",88,0,"INC_PID, INC_IS_XPER, INC_INCOME_YR"
"83","V8_NEWYORK_NY_LIVE","COMPS","INCOME_AM_CURVE","IAC",12,0,"IAC_POINT_NAME, IAC_BLDG_SUB_CAT, IAC_BLDG_CAT"
"84","V8_NEWYORK_NY_LIVE","COMPS","INCOME_E","INC",53,0,"INC_PID, INC_IS_XPER, INC_INCOME_YR"
"85","V8_NEWYORK_NY_LIVE","COMPS","INCOME_EXPENSES","IEX",17,0,"IEX_PID, IEX_INCOME_YEAR, IEX_LINE_NUM"
"86","V8_NEWYORK_NY_LIVE","COMPS","INCOME_HOTEL","IHM",14,0,"IHM_HOTEL_CLASS, IHM_NUM_RM"
"87","V8_NEWYORK_NY_LIVE","COMPS","INCOME_HOTEL_CODES","IHC",7,39,"IHC_HOTEL_CODE"
"88","V8_NEWYORK_NY_LIVE","COMPS","INCOME_LEASE_TYPES","ILT",7,0,"ILT_CODE"
"89","V8_NEWYORK_NY_LIVE","COMPS","INCOME_LF","ILF",95,0,"ILF_PID, ILF_BID, ILF_SECT_NUM, ILF_YEAR"
"90","V8_NEWYORK_NY_LIVE","COMPS","INCOME_LF_APPROACH","ILA",86,0,"ILA_PID, ILA_BID, ILA_SECT_NUM, ILA_BLDG_CAT, ILA_BLDG_SUB_CAT, ILA_YEAR, ILA_TYPE"
"91","V8_NEWYORK_NY_LIVE","COMPS","INCOME_LF_AREA_MAP","IAM",7,17,"IAM_AREA_CODE"
"92","V8_NEWYORK_NY_LIVE","COMPS","INCOME_LF_CODES","ILC",7,1,"ILC_CODE"
"93","V8_NEWYORK_NY_LIVE","COMPS","INCOME_LF_INC_ACTUAL","ILI",40,0,"ILI_PID, ILI_BID, ILI_SECT_NUM, ILI_YEAR, ILI_INC_TYPE, ILI_LINE_NUM"
"94","V8_NEWYORK_NY_LIVE","COMPS","INCOME_LF_INC_HOTEL","IIH",16,0,"IIH_YEAR, IIH_LINE_NUM, IIH_PID"
"95","V8_NEWYORK_NY_LIVE","COMPS","INCOME_LF_INC_SPECIALTY_PROPERTY","IIS",11,0,"IIS_PID, IIS_YEAR, IIS_LINE_NUM"
"96","V8_NEWYORK_NY_LIVE","COMPS","INCOME_LF_MKT_ADJ","ILM",11,0,"ILM_CODE, ILM_TABLE_ID"
"97","V8_NEWYORK_NY_LIVE","COMPS","INCOME_LF_MKT_TBLS","ILT",5,0,"ILT_TABLE_ID"
"98","V8_NEWYORK_NY_LIVE","COMPS","INCOME_LF_OCCUPANCY","ILO",15,0,"ILO_PID, ILO_INCOME_YEAR, ILO_USE_TYPE"
"99","V8_NEWYORK_NY_LIVE","COMPS","INCOME_LF_PERCENTILES","ILP",7,0,"ILP_BLDG_CAT, ILP_BLDG_SUB_CAT, ILP_PERCENTILE"
"100","V8_NEWYORK_NY_LIVE","COMPS","INCOME_LF_SPECIALTY_PROPERTY","ISP",39,0,"ISP_PID, ISP_INCOME_YEAR"
"101","V8_NEWYORK_NY_LIVE","COMPS","INCOME_SOURCE","ISR",8,0,"ISR_CODE"
"102","V8_NEWYORK_NY_LIVE","COMPS","INCOME_SPECIALTY_PROPERTY","ISP",14,0,"ISP_PROPERTY_TYPE, ISP_YEAR"
"103","V8_NEWYORK_NY_LIVE","COMPS","INCOME_SPECIALTY_PROPERTY_CODES","ISC",7,0,"ISC_CODE"
"104","V8_NEWYORK_NY_LIVE","COMPS","INCRATE_E","ICR",10,0,"ICR_YEAR, ICR_GROUP, ICR_TYPE, ICR_REGION, ICR_TAI, ICR_UOM"
"105","V8_NEWYORK_NY_LIVE","COMPS","INCSTYLEMAP","ISM",11,139,"ISM_CODE, ISM_RENT_CURVE"
"106","V8_NEWYORK_NY_LIVE","COMPS","INCUSE","ICU",18,20,"ICU_CODE, ICU_RENT_CRV"
"107","V8_NEWYORK_NY_LIVE","COMPS","INC_LF_USE","ILU",16,0,"ILU_CODE, ILU_RENT_CRV"
"108","V8_NEWYORK_NY_LIVE","COMPS","INC_UNIT_TYPE","IUT",6,0,"IUT_CODE"
"109","V8_NEWYORK_NY_LIVE","COMPS","LA13","L13",66,451277,"L13_PID, L13_FISCAL_YR, L13_LINE_NUM"
"110","V8_NEWYORK_NY_LIVE","COMPS","LA13RPT","LRP",21,14,"LRP_ID"
"111","V8_NEWYORK_NY_LIVE","COMPS","LAND","LND",120,28713,"LND_PID, LND_LINE_ID"
"112","V8_NEWYORK_NY_LIVE","COMPS","LANDCURV","LCU",11,350,"LCU_CURVE_ID, LCU_LND_CLASS, LCU_UNITS"
"113","V8_NEWYORK_NY_LIVE","COMPS","LANDGROUP","LGP",22,3448,"LGP_LND_CLASS, LGP_ASSNG_DIST, LGP_ASSNG_SUBDIST"
"114","V8_NEWYORK_NY_LIVE","COMPS","LANDSCLC","LSC",14,0,"LSC_CODE, LSC_LND_UNIT_TYPE"
"115","V8_NEWYORK_NY_LIVE","COMPS","LANDSCLCDETAILS","LSD",11,0,"LSD_PID, LSD_LND_LINE_ID, LSD_SPEC_CODE, LSD_SID"
"116","V8_NEWYORK_NY_LIVE","COMPS","LANDSPUV","LUV",5,0,"LUV_CODE, LUV_LUS"
"117","V8_NEWYORK_NY_LIVE","COMPS","LANDUSE","LUS",23,0,"LUS_CODE"
"118","V8_NEWYORK_NY_LIVE","COMPS","LAND_ALT","LDA",22,0,"LDA_PID, LDA_BID, LDA_LINE_ID"
"119","V8_NEWYORK_NY_LIVE","COMPS","LAND_ALT_BACKUP_BID","LDA",24,0,"LDA_PID, LDA_BID, LDA_LINE_ID"
"120","V8_NEWYORK_NY_LIVE","COMPS","LAND_BACKUP_BID","LND",122,31252,"LND_PID, LND_BID, LND_LINE_ID"
"121","V8_NEWYORK_NY_LIVE","COMPS","LAND_DEPTH_CURVE","LDC",8,0,"LDC_CURVE_ID, LDC_FRONTAGE, LDC_DEPTH"
"122","V8_NEWYORK_NY_LIVE","COMPS","LERTA","LRT",40,0,"LRT_PID, LRT_NUMBER"
"123","V8_NEWYORK_NY_LIVE","COMPS","LNDSIZADJ","LSZ",6,0,"LSZ_LND_CLASS, LSZ_RATIO"
"124","V8_NEWYORK_NY_LIVE","COMPS","LOCNHIST","LOC",23,28670,"LOC_PID, LOC_LINE_NUM"
"125","V8_NEWYORK_NY_LIVE","COMPS","MODEL","MDL",14,30,"MDL_CODE"
"126","V8_NEWYORK_NY_LIVE","COMPS","MS1GROUP","MS1",5,0,"MS1_TYPE"
"127","V8_NEWYORK_NY_LIVE","COMPS","MULTIOWNER","MOW",23,0,"MOW_PID, MOW_OWN_ID, MOW_LINE_NUM"
"128","V8_NEWYORK_NY_LIVE","COMPS","MUNICIP","MNC",39,1,"MNC_CODE"
"129","V8_NEWYORK_NY_LIVE","COMPS","MVP_COMPONENTS","MVA",43,0,"MVA_PID, MVA_BID, MVA_SECT_ID, MVA_XML_INPUT_TYPE, MVA_LINE_NUMBER"
"130","V8_NEWYORK_NY_LIVE","COMPS","MVP_CONSTRSUM","MVP",485,0,"MVP_PID, MVP_BID, MVP_SECT_ID"
"131","V8_NEWYORK_NY_LIVE","COMPS","MVP_PARCEL","MVV",38,0,"MVV_PID, MVV_BID"
"132","V8_NEWYORK_NY_LIVE","COMPS","MVP_SECTION","MVS",32,0,"MVS_PID, MVS_BID, MVS_SECT_ID"
"133","V8_NEWYORK_NY_LIVE","COMPS","NBHD","NBH",7,436,"NBH_CODE"
"134","V8_NEWYORK_NY_LIVE","COMPS","NOTES","NOT",12,512771,"NOT_PID, NOT_LINE_NUM"
"135","V8_NEWYORK_NY_LIVE","COMPS","NOTICEHIST","NOH",17,0,"NOH_PID, NOH_LINE_NUM"
"136","V8_NEWYORK_NY_LIVE","COMPS","OBXF","OXF",52,16234,"OXF_PID, OXF_LINE_NUM, OXF_IS_OB"
"137","V8_NEWYORK_NY_LIVE","COMPS","OBXFTABL","OXT",35,204,"OXT_CODE, OXT_LINE_NUM, OXT_IS_OB"
"138","V8_NEWYORK_NY_LIVE","COMPS","OCC","OCC",51,430,"OCC_CODE"
"139","V8_NEWYORK_NY_LIVE","COMPS","OTHERASS","OAS",13,0,"OAS_PID, OAS_LINE_NUM"
"140","V8_NEWYORK_NY_LIVE","COMPS","OVRADJ","OVR",14,1,"OVR_PID, OVR_BID, OVR_CODE"
"141","V8_NEWYORK_NY_LIVE","COMPS","PARCEL","PRC",334,28593,"PRC_PID"
"142","V8_NEWYORK_NY_LIVE","COMPS","PARCEL_EXEMPTION","EXP",35,0,"EXP_PID, EXP_PARCEL_EXEMPTION_ID"
"143","V8_NEWYORK_NY_LIVE","COMPS","PARCEL_EXEMPTION_TAX_AUTHORITY","EXT",11,0,"EXT_PARCEL_EXEMPTION_ID, EXT_PID, EXT_TAX_AUTHORITY_ID"
"144","V8_NEWYORK_NY_LIVE","COMPS","PARCEL_EXT","PXT",6,0,"PXT_PID, PXT_FIELDNAME"
"145","V8_NEWYORK_NY_LIVE","COMPS","PARCEL_EXTENSION","PRX",104,28593,"PRX_PID"
"146","V8_NEWYORK_NY_LIVE","COMPS","PEXEMPT","PEX",24,0,"PEX_PID, PEX_LINE_NUM"
"147","V8_NEWYORK_NY_LIVE","COMPS","PHASEIN","PHI",6,0,"PHI_YEAR"
"148","V8_NEWYORK_NY_LIVE","COMPS","POINTS","PTS",7,475,"PTS_TYPE, PTS_CODE, PTS_MDL"
"149","V8_NEWYORK_NY_LIVE","COMPS","PROPERTY_ADJUST","PRA",17,0,"PRA_TYPE, PRA_CODE"
"150","V8_NEWYORK_NY_LIVE","COMPS","PSCHILD","PSC",29,0,"PSC_MASTER_PID, PSC_LINE_NUM, PSC_CHILD_PID"
"151","V8_NEWYORK_NY_LIVE","COMPS","PSMASTER","PSM",57,0,"PSM_MASTER_PID, PSM_LINE_NUM"
"152","V8_NEWYORK_NY_LIVE","COMPS","REALCFG","REX",160,1,
"153","V8_NEWYORK_NY_LIVE","COMPS","REALMAST","REM",81,28593,"REM_PID"
"154","V8_NEWYORK_NY_LIVE","COMPS","REAL_OWNERSHIP","ROW",17,83624,"ROW_PID, ROW_OWN_ID, ROW_LINE_NUM, ROW_MAD_ID"
"155","V8_NEWYORK_NY_LIVE","COMPS","REGION","IRG",9,0,"IRG_TYPE, IRG_GROUP, IRG_ASSNG_DIST, IRG_REGION"
"156","V8_NEWYORK_NY_LIVE","COMPS","REGMODEL","STC",6,0,"STC_CODE"
"157","V8_NEWYORK_NY_LIVE","COMPS","REGVAR","RVR",20,1509,"RVR_CODE, RVR_SPSS_NAME"
"158","V8_NEWYORK_NY_LIVE","COMPS","REIMAGES","RIM",21,22010,"RIM_PID, RIM_BID, RIM_ID"
"159","V8_NEWYORK_NY_LIVE","COMPS","REMISSION","RMI",19,0,"RMI_PID, RMI_CASE_NUM"
"160","V8_NEWYORK_NY_LIVE","COMPS","RFC","RFC",22,28591,"RFC_PID, RFC_LINE_NUM"
"161","V8_NEWYORK_NY_LIVE","COMPS","SALECODE","SLC",7,24,"SLC_CODE, SLC_INSTRUMENT_NUM"
"162","V8_NEWYORK_NY_LIVE","COMPS","SALEHIST","SLH",53,28593,"SLH_PID, SLH_LINE_NUM"
"163","V8_NEWYORK_NY_LIVE","COMPS","SATREND","STD",8,558,"STD_ENDING_DATE, STD_CODE"
"164","V8_NEWYORK_NY_LIVE","COMPS","SITEIDX","SIX",12,54,"SIX_LND_CLASS, SIX_CODE"
"165","V8_NEWYORK_NY_LIVE","COMPS","SIZADJ","ISZ",7,1264,"ISZ_TYPE, ISZ_SIZE"
"166","V8_NEWYORK_NY_LIVE","COMPS","SKETCH","SHP",8,33,"SHP_PID, SHP_BID"
"167","V8_NEWYORK_NY_LIVE","COMPS","SPCLCOND","CSC",10,7,"CSC_CODE"
"168","V8_NEWYORK_NY_LIVE","COMPS","SPCLLUSE","SLU",10,0,"SLU_CODE, SLU_LAND_USE"
"169","V8_NEWYORK_NY_LIVE","COMPS","SPECIAL_EDIT","SPL",7,2,"SPL_CODE"
"170","V8_NEWYORK_NY_LIVE","COMPS","SPSSGROUP","SSG",14,23,"SSG_CODE"
"171","V8_NEWYORK_NY_LIVE","COMPS","STATDATA","STT",7,0,"STT_CODE, STT_PID"
"172","V8_NEWYORK_NY_LIVE","COMPS","STATGROUP","STG",14,69,"STG_CODE"
"173","V8_NEWYORK_NY_LIVE","COMPS","STYLE","STY",31,156,"STY_CODE"
"174","V8_NEWYORK_NY_LIVE","COMPS","SUBAREA","SUB",16,94624,"SUB_PID, SUB_BID, SUB_SECT_NUM, SUB_CODE"
"175","V8_NEWYORK_NY_LIVE","COMPS","TAXCLASSCONFIG","STY",29,215,"STY_TAX_BLDG_CLASS"
"176","V8_NEWYORK_NY_LIVE","COMPS","TAXCLASSSPCLASS","STY",7,34,"STY_TAX_CODE, STY_TAX_TTL_UNITS"
"177","V8_NEWYORK_NY_LIVE","COMPS","TAX_CLASS","TCL",9,13,"TCL_CODE"
"178","V8_NEWYORK_NY_LIVE","COMPS","TENANCY_GROUP","TEN",11,0,"TEN_PID, TEN_LINE_NUM, TEN_GROUP_NUM, TEN_GROUP_NAME"
"179","V8_NEWYORK_NY_LIVE","COMPS","TRACKSTART","TRS",14,0,"TRS_PID"
"180","V8_NEWYORK_NY_LIVE","COMPS","USRAUDIT","AUD",15,713,"AUD_ID"
"181","V8_NEWYORK_NY_LIVE","COMPS","VALUEBUILDING","VBD",88,0,"VBD_PID, VBD_BID"
"182","V8_NEWYORK_NY_LIVE","COMPS","VALUEGROUP","VGP",11,0,"VGP_PID, VGP_GROUP_ID, VGP_BLDG_NUM"
"183","V8_NEWYORK_NY_LIVE","COMPS","VALUE_RELATED_PARCELS","VRP",21,0,"VRP_PARENT_PID, VRP_CHILD_PID"
"184","V8_NEWYORK_NY_LIVE","COMPS","VISIONBATCH","BAT",24,0,"BAT_ID"
"185","V8_NEWYORK_NY_LIVE","COMPS","VISITHST","VIH",19,142574,"VIH_PID, VIH_LINE_NUM, VIH_BID"
"186","V8_NEWYORK_NY_LIVE","COMPS","VW_PARCELS_GREATER_THAN_500000","REM",14,,
