block,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity
1453,prediction,GROSSCON,35,1.0417,0.06502013834854242,0.2619398004334105,19.786696383535492,1.1237069124544306,-0.3023211386858449,1.0889733092937834,0.24291946515015406,0.0872361135809397,-0.15568335156921437,0.3591153698902518,TRUE,FALSE,FALSE
1456,prediction,GROSSCON,12,1.1617,0.5611491122458069,0.49885079955010037,16.486256466646978,1.0059750549642137,0.13072333051902527,0.9712310137388246,0.15390894353494536,0.10911107532985535,-0.044797868205090005,0.7089326508506729,FALSE,FALSE,TRUE
1458,prediction,GROSSCON,20,1.0717,0.3899649568075805,0.32702237521514627,12.008088777371128,1.035344633217235,-0.3113676552098567,1.401091987637578,0.14666164928502318,0.06636995085561245,-0.08029169842941072,0.4525378732556639,TRUE,TRUE,FALSE
1460,prediction,GROSSCON,20,1.0896,0.8350975498055997,0.4417751144779242,10.232975716557178,1.0107788786433798,0.02579333304668814,0.9535745961467618,0.17892819127159587,0.1525042135481618,-0.026423977723434078,0.852320768819906,TRUE,TRUE,TRUE
1466,prediction,GROSSCON,16,1.0573,0.949982961174712,0.7437321320280692,12.530237602061922,1.0426037022017498,-0.0906321745595525,1.1101487441412026,0.30339478417266186,0.2648722454820982,-0.03852253869056366,0.873028342278157,TRUE,TRUE,FALSE
1467,prediction,GROSSCON,6,1.0384,0.9100080921350394,0.43183673469387757,15.68277828313747,0.9579448735880594,0.39034199461932073,0.7664343439981355,0.1404697380307137,0.21315518082051188,0.07268544278979819,1.517445563783322,TRUE,FALSE,FALSE
1468,prediction,GROSSCON,2,,,,,,,,,,,,,,
1469,prediction,GROSSCON,12,1.1106,0.24266015922282225,0.7047903446559663,12.891999075320998,1.0452948183796367,-0.15602824669186524,1.2183976042288387,0.14412876035459968,0.09862577365184426,-0.04550298670275542,0.68428933551635,FALSE,TRUE,FALSE
1471,prediction,GROSSCON,26,1.0376,0.38683323484244364,0.872686286202018,9.926940686143228,1.078614566730904,-0.09749368396576416,1.238203162332183,0.28101725544347045,0.20199303568001034,-0.07902421976346011,0.7187922868339427,TRUE,TRUE,FALSE
1472,prediction,GROSSCON,6,0.9239,0.5882258273586186,0.4840336134453782,5.735401911313014,1.0016519351416306,0.08784224066538394,0.7099735315798101,0.052794690362569195,0.04463112198570037,-0.008163568376868824,0.8453714129052512,TRUE,TRUE,TRUE
1473,prediction,GROSSCON,24,0.9733,0.5674043918073001,0.6253309115677149,19.45490193549704,1.1849013791715486,-0.30976559474943327,1.6300367056125857,0.3332123424020006,0.16580762197685983,-0.16740472042514076,0.4976034824569101,TRUE,FALSE,FALSE
1483,prediction,GROSSCON,36,1.0925,0.7132246438162103,0.8482349548504974,11.273123390159238,1.0493389461560196,-0.06235624241838909,1.1217058321124262,0.30291656461751987,0.2457462669713484,-0.05717029764617146,0.8112671794018329,TRUE,TRUE,FALSE
1484,prediction,GROSSCON,5,,,,,,,,,,,,,,
1487,prediction,GROSSCON,7,1.1984,0.6928354575803599,0.8779220779220774,9.558030093287408,1.0447765685948953,-0.2248707587326796,1.4258147198360351,0.1752561784207354,0.10923151207510477,-0.06602466634563063,0.6232676819693854,FALSE,TRUE,FALSE
1489,prediction,GROSSCON,27,0.9886,0.21207269196041112,0.3898855895033502,13.144699196156514,1.0298854622208464,-0.09574000073145346,0.8513152939461276,0.13369991549778393,0.0820054454539824,-0.051694470043801524,0.6133545047404435,TRUE,TRUE,TRUE
1491,prediction,GROSSCON,5,,,,,,,,,,,,,,
1492,prediction,GROSSCON,2,,,,,,,,,,,,,,
