boro,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity
All,prediction,GROSSCON,20710,1.0107,0.8430689563089714,0.9098143393996572,16.74178943089953,1.0689331918443286,-0.025829331676748817,1.0442621572772441,0.4783301911406198,0.43963973165661635,-0.03869045948400346,0.9191134906376227,TRUE,FALSE,TRUE
1,prediction,GROSSCON,9941,1.0249,0.8135565388264075,0.8396714935944849,19.420849050105517,1.0862593954412574,-0.048286436795085326,1.0826505465385492,0.4395610377818057,0.3846967239045096,-0.05486431387729612,0.8751838557981331,TRUE,FALSE,TRUE
2,prediction,GROSSCON,1390,1.0063,0.7725772674145276,0.7890477715290692,16.946016929813627,1.0570465344220223,-0.10550890468538952,1.140407267423194,0.27701415905196736,0.22179502289253744,-0.055219136159429916,0.8006631272985909,TRUE,FALSE,FALSE
3,prediction,GROSSCON,3589,1.0014,0.8497090005653848,0.8707554647104091,16.093715813747888,1.0466707144701624,-0.0443328154079122,1.0705902901431075,0.35376234357206754,0.3175743370615177,-0.03618800651054982,0.8977053177985359,TRUE,FALSE,TRUE
4,prediction,GROSSCON,5618,0.9997,0.8194206892898421,0.7665114476933438,12.21051747580125,1.028040914642772,-0.08481972435428595,1.1381506551950669,0.20742120488692395,0.16593333657728082,-0.04148786830964313,0.7999825122399596,TRUE,TRUE,TRUE
5,prediction,GROSSCON,172,1.0093,0.8402973312248562,0.7647569263796451,10.115063834002639,1.0166155161437302,-0.06432037270500231,1.0738581610860374,0.17463046856146613,0.14608047837755198,-0.02854999018391416,0.8365119762943019,TRUE,TRUE,TRUE
