grosscondecile,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity,boro
9,unlogpred,grosscon,527,0.9807,0.445666454,0.475470706,6.319714474,0.999925771,0.340147804,0.67947468,0.043963388,0.044350073,0.000386685,1.008795607,TRUE,TRUE,TRUE,3
10,unlogpred,grosscon,527,0.9577,0.784714108,0.774535951,6.878105584,1.002160408,0.048723999,0.949204783,0.108970338,0.102069436,-0.006900902,0.936671742,TRUE,TRUE,TRUE,3
All,unlogpred,grosscon,3137,0.971,0.964637889,0.951296644,5.503588708,1.00752178,-0.024892023,1.033613553,0.218622638,0.208903732,-0.009718906,0.955544832,TRUE,TRUE,TRUE,4
1,unlogpred,grosscon,314,1.0125,0.529329554,0.574462009,7.316738996,1.003759241,0.06948584,0.91711196,0.073962432,0.061913503,-0.012048929,0.837093931,TRUE,TRUE,TRUE,4
2,unlogpred,grosscon,314,0.9959,0.08836952,0.137522168,6.330724812,1.000283281,0.886185109,0.500325749,0.021697969,0.017174083,-0.004523886,0.791506475,TRUE,TRUE,TRUE,4
3,unlogpred,grosscon,314,0.9733,0.065584332,0.121576813,5.00263819,1.000279917,0.879171067,0.501957156,0.01630273,0.010586028,-0.005716702,0.649340825,TRUE,TRUE,TRUE,4
4,unlogpred,grosscon,314,0.9658,0.034096599,0.049799798,4.768750433,1.000326735,0.919210176,0.47238517,0.014463407,0.007028328,-0.007435079,0.485938607,TRUE,FALSE,TRUE,4
5,unlogpred,grosscon,314,0.9665,0.161569153,0.175916223,5.021944792,0.99992197,0.846000429,0.394384051,0.015025437,0.016868796,0.001843359,1.122682537,TRUE,TRUE,TRUE,4
6,unlogpred,grosscon,314,0.9617,0.071086125,0.131562192,5.150201398,1.000133619,0.968562047,0.435879042,0.014921968,0.01184587,-0.003076098,0.793854404,TRUE,TRUE,TRUE,4
7,unlogpred,grosscon,314,0.9645,0.113082604,0.15222262,4.145653516,1.000065314,0.848702883,0.444395384,0.013833246,0.012465815,-0.001367431,0.901148926,TRUE,FALSE,TRUE,4
8,unlogpred,grosscon,313,0.9582,0.296800204,0.328125543,4.66989241,0.99996898,0.528934057,0.572343785,0.023173348,0.023584423,0.000411075,1.017739125,TRUE,FALSE,TRUE,4
9,unlogpred,grosscon,313,0.9788,0.427258188,0.445468606,5.558329414,1.000369694,0.281492654,0.735333946,0.040359124,0.03846637,-0.001892754,0.953102206,TRUE,TRUE,TRUE,4
10,unlogpred,grosscon,313,0.9551,0.806729322,0.788734225,4.489011574,1.000194433,0.071712713,0.917412815,0.07711941,0.075712896,-0.001406515,0.981761861,TRUE,FALSE,TRUE,4
All,unlogpred,jitterg,3137,0.9711,0.964638875,0.951258387,5.502386948,1.007522604,-0.024890929,1.034065628,0.218624513,0.20890418,-0.009720334,0.955538684,TRUE,TRUE,TRUE,5
1,unlogpred,jitterg,314,1.0124,0.529176449,0.572079577,7.319299213,1.003758708,0.069612869,0.918440133,0.073956457,0.062120481,-0.011835976,0.839960203,TRUE,TRUE,TRUE,5
2,unlogpred,jitterg,314,0.9962,0.088146569,0.137076821,6.329261762,1.000283813,0.886459548,0.501578718,0.021690647,0.017079375,-0.004611272,0.78740734,TRUE,TRUE,TRUE,5
3,unlogpred,jitterg,314,0.9731,0.065890907,0.120130453,5.001445583,1.000279117,0.878758283,0.49470439,0.016312848,0.010453731,-0.005859117,0.640828087,TRUE,TRUE,TRUE,5
4,unlogpred,jitterg,314,0.9659,0.033968591,0.049194698,4.768267269,1.000326501,0.91987183,0.484207595,0.014453488,0.006962914,-0.007490574,0.481746272,TRUE,FALSE,TRUE,5
5,unlogpred,jitterg,314,0.9665,0.161943833,0.175924646,5.021708866,0.999921075,0.845785682,0.394559083,0.015027472,0.016920173,0.001892701,1.125949388,TRUE,TRUE,TRUE,5
6,unlogpred,jitterg,314,0.9617,0.071089495,0.131779881,5.150938045,1.000133593,0.968527907,0.447590064,0.014925536,0.01201483,-0.002910707,0.804984794,TRUE,TRUE,TRUE,5
7,unlogpred,jitterg,314,0.9644,0.112989699,0.151183857,4.146962802,1.00006543,0.848924979,0.445530307,0.013832813,0.012314018,-0.001518795,0.890203431,TRUE,FALSE,TRUE,5
8,unlogpred,jitterg,313,0.9581,0.296695137,0.327978569,4.670379247,0.999969988,0.528712275,0.569180027,0.023184807,0.023607337,0.00042253,1.018224441,TRUE,FALSE,TRUE,5
9,unlogpred,jitterg,313,0.9789,0.427327552,0.445032952,5.556943475,1.00036962,0.281427241,0.733959103,0.04036247,0.038515964,-0.001846506,0.954251908,TRUE,TRUE,TRUE,5
10,unlogpred,jitterg,313,0.9553,0.80673288,0.788858924,4.488263777,1.000194881,0.071677927,0.917458449,0.077121723,0.075721829,-0.001399894,0.98184825,TRUE,FALSE,TRUE,5
