"nbhd","predicted","actual","n","median_sales_ratio","r","spearmans","cod","prd","prb","clapp","gini","ci","ki","mki","accuracy","uniformity","vertical_equity","boro"
"All","unlogpred","grosscon",10011,1.0135,0.986148561095692,0.989540959438159,7.23331917618296,1.01299294864774,-0.00971239616663061,1.0173574173848,0.420257970080615,0.412017859843047,-0.0082401102375681,0.980392732977824,TRUE,TRUE,TRUE,1
"1010","unlogpred","grosscon",53,1.0084,0.91104432069575,0.922801934159821,6.90455965771298,1.01494670184272,-0.0424148790383297,1.07161528583004,0.218215737719913,0.195722107652909,-0.022493630067004,0.896920220777682,TRUE,TRUE,TRUE,1
"1030","unlogpred","grosscon",732,1.0093,0.971403412487554,0.98101676647761,7.02512730302714,1.01570210603304,-0.011366129993501,1.01312401099819,0.403531962989568,0.392515921455614,-0.0110160415339545,0.972700944301061,TRUE,TRUE,TRUE,1
"1040","unlogpred","grosscon",72,1.0269,0.989239422399254,0.978968076825113,5.62924590130698,1.0065220002318,-0.00962844189058038,1.01719724164852,0.358602942578005,0.355237558746884,-0.00336538383112051,0.99061529220333,TRUE,TRUE,TRUE,1
"1050","unlogpred","grosscon",195,1.0175,0.978783247604206,0.972541630393127,5.83784154799631,1.00798227932966,-0.0123965720261895,1.01526199980197,0.301967515536918,0.295601066055539,-0.00636644948137888,0.978916773646798,TRUE,TRUE,TRUE,1
"1060","unlogpred","grosscon",233,1.0133,0.952732645638627,0.959894051818269,6.8440338837257,1.01152009684819,-0.0239894165553435,1.03682333074828,0.25614237729128,0.243346680961294,-0.012795696329986,0.950044594473975,TRUE,TRUE,TRUE,1
"1070","unlogpred","grosscon",101,1.0178,0.985698161432344,0.974006206414584,5.08547063680637,1.00689776506481,-0.0209336013153757,1.03996147948527,0.265704168673424,0.256780207390012,-0.0089239612834125,0.966413920684922,TRUE,TRUE,TRUE,1
"1080","unlogpred","grosscon",112,1.0274,0.934057777131041,0.934628597629412,5.61912587844427,1.01315046257035,-0.0272708105768207,1.0387651941752,0.236213656895751,0.217656858446838,-0.0185567984489136,0.921440619933744,TRUE,TRUE,TRUE,1
"1090","unlogpred","grosscon",408,1.0106,0.980951199526162,0.954485227042754,7.27683483896677,1.01023356982504,-0.0091202467871635,1.01063836916268,0.335781849265071,0.326248268227145,-0.00953358103792656,0.971607813052454,TRUE,TRUE,TRUE,1
"1100","unlogpred","grosscon",294,1.017,0.961213597699745,0.967520587730707,8.21221024505141,1.01287955941605,-0.0170859633371605,1.02439548185179,0.367305826985984,0.358162673024693,-0.0091431539612909,0.975107517252538,TRUE,TRUE,TRUE,1
