block,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity
568,prediction,GROSSCON,22,0.9745,0.9650384197694647,0.8945250364983748,6.618743393171868,1.0178250864942062,-0.0513188286782651,1.1316688264476626,0.24521578369674593,0.21685992921578257,-0.028355854480963366,0.8843636651218563,TRUE,TRUE,TRUE
569,prediction,GROSSCON,4,,,,,,,,,,,,,,
572,prediction,GROSSCON,7,0.9517,0.5874977942692428,0.4284297520661157,4.666354913228053,1.0016035570139903,0.08566237220976974,1.0722144552241342,0.05306326224948294,0.046282082866866095,-0.006781179382616846,0.872205757898292,TRUE,FALSE,TRUE
573,prediction,GROSSCON,53,1.0007,0.9733196422267468,0.8433328434515596,8.910687378452192,1.030821335175585,-0.031444886821100144,1.0513723142517832,0.38690207503765806,0.3593201612621629,-0.02758191377549518,0.9287108662500438,TRUE,TRUE,TRUE
574,prediction,GROSSCON,12,0.9848,0.9277566105607067,0.760655134339345,14.275716182293724,1.0609489135682344,-0.08153087166130948,1.208481675285707,0.3690386101759593,0.3215669885249361,-0.0474716216510232,0.8713640786030803,TRUE,TRUE,FALSE
575,prediction,GROSSCON,2,,,,,,,,,,,,,,
576,prediction,GROSSCON,36,1.0187,0.8570915962597255,0.9027140492593437,13.109228103666831,1.0470144744283887,-0.045262414585856066,1.1114662387118268,0.35619422155133607,0.3172273209446477,-0.03896690060668839,0.8906020978190621,TRUE,TRUE,TRUE
577,prediction,GROSSCON,23,0.9995,0.9282221026805055,0.8336483931947068,10.496414653546614,1.0349617054955922,-0.030672635320767815,1.0538683202512935,0.37294465579511454,0.34263575837545973,-0.030308897419654812,0.9187308439772746,TRUE,TRUE,TRUE
584,prediction,GROSSCON,8,0.97,0.9394195199676876,0.9070294784580502,10.14555307531574,1.0295348894951595,-0.09347836718351261,1.0698626660297148,0.2462962735959633,0.22075053004664325,-0.025545743549320044,0.896280430165068,TRUE,TRUE,TRUE
585,prediction,GROSSCON,9,1.0129,0.930535971486694,0.7720588235294118,5.971646796909596,1.013035596856165,-0.0669449206774246,1.09283627976439,0.1690685632291472,0.1464546003921975,-0.02261396283694972,0.866243833832669,TRUE,TRUE,TRUE
586,prediction,GROSSCON,2,,,,,,,,,,,,,,
588,prediction,GROSSCON,5,,,,,,,,,,,,,,
589,prediction,GROSSCON,4,,,,,,,,,,,,,,
590,prediction,GROSSCON,9,1.0887,0.38570143099729703,0.7061648188687242,14.423113082411366,1.1216863610067425,-0.3016924042869743,1.3328761490110292,0.22358740993553283,0.1039913077431576,-0.11959610219237524,0.4651035931457031,TRUE,TRUE,FALSE
591,prediction,GROSSCON,8,0.9275,0.9081655046793374,0.8185941043083904,20.098833381007328,1.0675801958770665,-0.1323733770840944,1.1884559599146958,0.2990167170914313,0.2433830265238146,-0.05563369056761669,0.8139445476200402,TRUE,FALSE,FALSE
592,prediction,GROSSCON,4,,,,,,,,,,,,,,
595,prediction,GROSSCON,4,,,,,,,,,,,,,,
602,prediction,GROSSCON,2,,,,,,,,,,,,,,
603,prediction,GROSSCON,3,,,,,,,,,,,,,,
607,prediction,GROSSCON,13,1.0021,0.8148794715397283,0.357360228885398,12.936440402504859,1.0335627593574803,-0.22229491773220986,1.3604548319902088,0.16612970005253686,0.1003625967634553,-0.06576710328908156,0.6041219404580676,TRUE,TRUE,FALSE
608,prediction,GROSSCON,47,1.0166,0.9379444698613439,0.7758539488423855,10.87541331091773,1.0447675818506719,-0.05799092944586096,1.0740629211915425,0.362823018445106,0.3229299873131214,-0.03989303113198461,0.8900482353546697,TRUE,TRUE,FALSE
609,prediction,GROSSCON,17,1.0151,0.9793017199736204,0.9043637062668208,9.598113559606512,1.02855478603642,-0.06314119210575066,1.1302610296825044,0.3261691518181608,0.30385243814675306,-0.02231671367140775,0.9315793245712908,TRUE,TRUE,TRUE
610,prediction,GROSSCON,1,,,,,,,,,,,,,,
611,prediction,GROSSCON,14,0.9744,0.4376697281254131,0.3373965241806652,13.577599727378164,1.027070933294594,-0.858207482825664,2.9256107018093815,0.10331223912750787,0.02278273988516918,-0.08052949924233868,0.22052314495914416,TRUE,TRUE,TRUE
612,prediction,GROSSCON,1,,,,,,,,,,,,,,
613,prediction,GROSSCON,5,,,,,,,,,,,,,,
614,prediction,GROSSCON,4,,,,,,,,,,,,,,
615,prediction,GROSSCON,10,1.0251,0.9210988484421887,0.24848507801848205,23.78676820016941,1.2019007771415118,-0.1320349043645996,1.3520820912159441,0.5182051164706423,0.4198860406090358,-0.09831907586160649,0.8102699631157028,TRUE,FALSE,FALSE
616,prediction,GROSSCON,20,0.995,0.8278024806837195,0.7493299941640085,15.770493511898847,1.0598048234838837,-0.24281228850374056,1.2622902083890046,0.2319482840613052,0.17720313619438438,-0.05474514786692081,0.7639769223192383,TRUE,FALSE,FALSE
619,prediction,GROSSCON,1,,,,,,,,,,,,,,
620,prediction,GROSSCON,27,1.019,0.6682099139086864,0.5805212600808146,12.790625202512274,1.0447422881578818,-0.30805328110237995,1.4344914276039344,0.1726804024312777,0.08996906877738882,-0.08271133365388887,0.5210149357463663,TRUE,TRUE,FALSE
621,prediction,GROSSCON,4,,,,,,,,,,,,,,
622,prediction,GROSSCON,16,0.921,0.9447105192459073,0.6589619377162628,18.011357845142996,1.069877469980817,-0.19194137664399621,1.1475453523726509,0.28934185993290584,0.2300651044536579,-0.05927675547924793,0.7951324585630529,TRUE,FALSE,FALSE
623,prediction,GROSSCON,1,,,,,,,,,,,,,,
624,prediction,GROSSCON,13,0.9722,0.8763849326128297,0.7340193824040557,13.520234817265534,1.0402547598893201,-0.1562233714654765,1.113360366756124,0.2191349852819785,0.1657366025940464,-0.053398382687932094,0.7563219646592709,TRUE,TRUE,FALSE
625,prediction,GROSSCON,1,,,,,,,,,,,,,,
626,prediction,GROSSCON,29,1.0077,0.9100587543269335,0.9699302286350222,7.364891876045809,1.0200604328319864,-0.032372811280811965,1.0630018927830778,0.28542373682522504,0.2651705084449882,-0.020253228380236854,0.9290415415146828,TRUE,TRUE,TRUE
628,prediction,GROSSCON,2,,,,,,,,,,,,,,
629,prediction,GROSSCON,2,,,,,,,,,,,,,,
